baseItemId,rarity,versionKey,faMenTag,qiLeiTag,primaryStatId,secondaryStatId,statCount,fixedAffixId,randomPoolId,coreEligibleCount,coreVisibleCount,buildNoneWeight,buildFaMenWeight,buildQiLeiWeight,buildDualWeight,dataMaturity,validationResult
I001,white,I001@white,zhenlei,fu,damage,break,4,affix_damage_up,candidate_pool_i001,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I001,green,I001@green,zhenlei,fu,damage,break,4,affix_damage_up,candidate_pool_i001,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I001,blue,I001@blue,zhenlei,fu,damage,break,4,affix_damage_up,candidate_pool_i001,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I001,purple,I001@purple,zhenlei,fu,damage,break,4,affix_damage_up,candidate_pool_i001,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I001,orange,I001@orange,zhenlei,fu,damage,break,4,affix_damage_up,candidate_pool_i001,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I002,white,I002@white,zhenlei,fu,damage,control,4,affix_damage_up,candidate_pool_i002,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I002,green,I002@green,zhenlei,fu,damage,control,4,affix_damage_up,candidate_pool_i002,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I002,blue,I002@blue,zhenlei,fu,damage,control,4,affix_damage_up,candidate_pool_i002,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I002,purple,I002@purple,zhenlei,fu,damage,control,4,affix_damage_up,candidate_pool_i002,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I002,orange,I002@orange,zhenlei,fu,damage,control,4,affix_damage_up,candidate_pool_i002,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I003,white,I003@white,zhenlei,yin,break,damage,4,affix_break_up,candidate_pool_i003,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I003,green,I003@green,zhenlei,yin,break,damage,4,affix_break_up,candidate_pool_i003,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I003,blue,I003@blue,zhenlei,yin,break,damage,4,affix_break_up,candidate_pool_i003,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I003,purple,I003@purple,zhenlei,yin,break,damage,4,affix_break_up,candidate_pool_i003,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I003,orange,I003@orange,zhenlei,yin,break,damage,4,affix_break_up,candidate_pool_i003,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I004,white,I004@white,zhenlei,ling,control,damage,4,affix_control_up,candidate_pool_i004,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I004,green,I004@green,zhenlei,ling,control,damage,4,affix_control_up,candidate_pool_i004,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I004,blue,I004@blue,zhenlei,ling,control,damage,4,affix_control_up,candidate_pool_i004,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I004,purple,I004@purple,zhenlei,ling,control,damage,4,affix_control_up,candidate_pool_i004,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I004,orange,I004@orange,zhenlei,ling,control,damage,4,affix_control_up,candidate_pool_i004,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I005,white,I005@white,zhenlei,jing,break,control,4,affix_break_up,candidate_pool_i005,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I005,green,I005@green,zhenlei,jing,break,control,4,affix_break_up,candidate_pool_i005,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I005,blue,I005@blue,zhenlei,jing,break,control,4,affix_break_up,candidate_pool_i005,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I005,purple,I005@purple,zhenlei,jing,break,control,4,affix_break_up,candidate_pool_i005,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I005,orange,I005@orange,zhenlei,jing,break,control,4,affix_break_up,candidate_pool_i005,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I006,white,I006@white,zhenlei,fa,damage,control,4,affix_damage_up,candidate_pool_i006,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I006,green,I006@green,zhenlei,fa,damage,control,4,affix_damage_up,candidate_pool_i006,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I006,blue,I006@blue,zhenlei,fa,damage,control,4,affix_damage_up,candidate_pool_i006,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I006,purple,I006@purple,zhenlei,fa,damage,control,4,affix_damage_up,candidate_pool_i006,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I006,orange,I006@orange,zhenlei,fa,damage,control,4,affix_damage_up,candidate_pool_i006,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I007,white,I007@white,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i007,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I007,green,I007@green,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i007,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I007,blue,I007@blue,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i007,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I007,purple,I007@purple,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i007,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I007,orange,I007@orange,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i007,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I008,white,I008@white,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i008,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I008,green,I008@green,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i008,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I008,blue,I008@blue,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i008,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I008,purple,I008@purple,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i008,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I008,orange,I008@orange,lihuo,fu,damage,duration,4,affix_damage_up,candidate_pool_i008,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I009,white,I009@white,lihuo,yin,damage,duration,4,affix_damage_up,candidate_pool_i009,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I009,green,I009@green,lihuo,yin,damage,duration,4,affix_damage_up,candidate_pool_i009,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I009,blue,I009@blue,lihuo,yin,damage,duration,4,affix_damage_up,candidate_pool_i009,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I009,purple,I009@purple,lihuo,yin,damage,duration,4,affix_damage_up,candidate_pool_i009,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I009,orange,I009@orange,lihuo,yin,damage,duration,4,affix_damage_up,candidate_pool_i009,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I010,white,I010@white,lihuo,ling,damage,duration,4,affix_damage_up,candidate_pool_i010,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I010,green,I010@green,lihuo,ling,damage,duration,4,affix_damage_up,candidate_pool_i010,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I010,blue,I010@blue,lihuo,ling,damage,duration,4,affix_damage_up,candidate_pool_i010,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I010,purple,I010@purple,lihuo,ling,damage,duration,4,affix_damage_up,candidate_pool_i010,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I010,orange,I010@orange,lihuo,ling,damage,duration,4,affix_damage_up,candidate_pool_i010,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I011,white,I011@white,lihuo,jing,damage,duration,4,affix_damage_up,candidate_pool_i011,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I011,green,I011@green,lihuo,jing,damage,duration,4,affix_damage_up,candidate_pool_i011,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I011,blue,I011@blue,lihuo,jing,damage,duration,4,affix_damage_up,candidate_pool_i011,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I011,purple,I011@purple,lihuo,jing,damage,duration,4,affix_damage_up,candidate_pool_i011,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I011,orange,I011@orange,lihuo,jing,damage,duration,4,affix_damage_up,candidate_pool_i011,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I012,white,I012@white,lihuo,fa,damage,duration,4,affix_damage_up,candidate_pool_i012,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I012,green,I012@green,lihuo,fa,damage,duration,4,affix_damage_up,candidate_pool_i012,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I012,blue,I012@blue,lihuo,fa,damage,duration,4,affix_damage_up,candidate_pool_i012,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I012,purple,I012@purple,lihuo,fa,damage,duration,4,affix_damage_up,candidate_pool_i012,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I012,orange,I012@orange,lihuo,fa,damage,duration,4,affix_damage_up,candidate_pool_i012,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I013,white,I013@white,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i013,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
