caseId,baseItemId,rarity,rootSeed,itemInstanceId,expected,result,actual
"catalog-asset","","",0,"","Workbench catalog asset exists","PASS","present"
"ordinary-list-30","","",0,"","30 ordinary base items","PASS","30"
"ordinary-list-excludes-I031","","",0,"","I031 excluded","PASS","I001|I002|I003|I004|I005|I006|I007|I008|I009|I010|I011|I012|I013|I014|I015|I016|I017|I018|I019|I020|I021|I022|I023|I024|I025|I026|I027|I028|I029|I030"
"base-query-I001","","",0,"","catalog base item query succeeds","PASS","I001"
"candidate-I001@white","","",0,"","candidate instance generated","PASS","Success:wb_i001_white_77041201"
"projection-I001@white","","",0,"","exact read-only projection","PASS","wb_i001_white_77041201"
"viewmodel-I001@white","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I001@white-0","I001","white",77041201,"wb_i001_white_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I001@white-1","I001","white",77041201,"wb_i001_white_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I001@white-2","I001","white",77041201,"wb_i001_white_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I001@white-3","I001","white",77041201,"wb_i001_white_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I001@white","","",0,"","same base+rarity+seed is identical","PASS","wb_i001_white_77041201"
"seed-switch-I001@white","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i001_white_77041202"
"candidate-I001@green","","",0,"","candidate instance generated","PASS","Success:wb_i001_green_77041201"
"projection-I001@green","","",0,"","exact read-only projection","PASS","wb_i001_green_77041201"
"viewmodel-I001@green","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I001@green-0","I001","green",77041201,"wb_i001_green_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I001@green-1","I001","green",77041201,"wb_i001_green_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I001@green-2","I001","green",77041201,"wb_i001_green_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I001@green-3","I001","green",77041201,"wb_i001_green_77041201","candidate range readable with final roll","PASS","range index 3"
