baseItemId,rarity,statId,minUnits,maxUnits,direction,unitKey,stepUnits,role,dataMaturity
I001,white,damage,8,12,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I001,white,break,5,8,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I001,white,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I001,white,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I001,green,damage,11,16,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I001,green,break,7,10,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I001,green,nianCost,4,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I001,green,cooldown,5,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I001,blue,damage,15,20,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I001,blue,break,9,13,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I001,blue,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I001,blue,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I001,purple,damage,18,22,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I001,purple,break,11,14,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I001,purple,nianCost,2,3,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I001,purple,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I001,orange,damage,22,24,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I001,orange,break,14,15,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I001,orange,nianCost,2,3,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I001,orange,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I002,white,damage,12,18,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I002,white,control,1,3,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I002,white,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I002,white,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I002,green,damage,16,23,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I002,green,control,3,6,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I002,green,nianCost,5,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I002,green,cooldown,5,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I002,blue,damage,22,29,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I002,blue,control,5,8,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I002,blue,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I002,blue,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I002,purple,damage,26,32,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I002,purple,control,7,9,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I002,purple,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I002,purple,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I002,orange,damage,31,34,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I002,orange,control,9,10,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I002,orange,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I002,orange,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I003,white,break,16,23,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I003,white,damage,13,18,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I003,white,nianCost,6,7,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I003,white,cooldown,6,7,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I003,green,break,21,30,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I003,green,damage,17,24,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I003,green,nianCost,6,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I003,green,cooldown,6,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I003,blue,break,28,36,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I003,blue,damage,22,29,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I003,blue,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I003,blue,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I003,purple,break,34,40,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I003,purple,damage,27,32,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I003,purple,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I003,purple,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I003,orange,break,39,43,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I003,orange,damage,31,34,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I003,orange,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I003,orange,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I004,white,control,1,3,HigherIsBetter,point,1,primary,BALANCE_CANDIDATE
I004,white,damage,10,14,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I004,white,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I004,white,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I004,green,control,3,6,HigherIsBetter,point,1,primary,BALANCE_CANDIDATE
I004,green,damage,13,19,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I004,green,nianCost,5,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I004,green,cooldown,4,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I004,blue,control,5,8,HigherIsBetter,point,1,primary,BALANCE_CANDIDATE
I004,blue,damage,18,23,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I004,blue,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I004,blue,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I004,purple,control,7,9,HigherIsBetter,point,1,primary,BALANCE_CANDIDATE
I004,purple,damage,21,25,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I004,purple,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I004,purple,cooldown,2,3,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I004,orange,control,9,10,HigherIsBetter,point,1,primary,BALANCE_CANDIDATE
I004,orange,damage,24,27,HigherIsBetter,flat,1,secondary,BALANCE_CANDIDATE
I004,orange,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I004,orange,cooldown,2,3,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I005,white,break,14,21,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I005,white,control,1,3,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I005,white,nianCost,6,7,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I005,white,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I005,green,break,19,27,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I005,green,control,3,6,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I005,green,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I005,green,cooldown,5,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I005,blue,break,26,34,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I005,blue,control,5,8,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I005,blue,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I005,blue,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I005,purple,break,31,37,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I005,purple,control,7,9,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I005,purple,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I005,purple,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I005,orange,break,36,40,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I005,orange,control,9,10,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I005,orange,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I005,orange,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I006,white,damage,24,34,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I006,white,control,1,3,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I006,white,nianCost,8,9,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I006,white,cooldown,7,8,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I006,green,damage,32,44,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I006,green,control,3,6,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I006,green,nianCost,7,8,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I006,green,cooldown,7,7,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I006,blue,damage,42,54,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I006,blue,control,5,8,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I006,blue,nianCost,6,7,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I006,blue,cooldown,6,7,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I006,purple,damage,50,60,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I006,purple,control,7,9,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I006,purple,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I006,purple,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I006,orange,damage,58,64,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I006,orange,control,9,10,HigherIsBetter,point,1,secondary,BALANCE_CANDIDATE
I006,orange,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I006,orange,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I007,white,damage,8,12,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I007,white,duration,1,2,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I007,white,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I007,white,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I007,green,damage,11,16,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I007,green,duration,2,4,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I007,green,nianCost,4,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I007,green,cooldown,5,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I007,blue,damage,15,20,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I007,blue,duration,3,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I007,blue,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I007,blue,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I007,purple,damage,18,22,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I007,purple,duration,4,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I007,purple,nianCost,2,3,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I007,purple,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I007,orange,damage,22,24,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I007,orange,duration,5,6,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I007,orange,nianCost,2,3,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I007,orange,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I008,white,damage,12,18,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I008,white,duration,1,2,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I008,white,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I008,white,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I008,green,damage,16,23,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I008,green,duration,2,4,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I008,green,nianCost,5,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I008,green,cooldown,5,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I008,blue,damage,22,29,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I008,blue,duration,3,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I008,blue,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I008,blue,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I008,purple,damage,26,32,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I008,purple,duration,4,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I008,purple,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I008,purple,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I008,orange,damage,31,34,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I008,orange,duration,5,6,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I008,orange,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I008,orange,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I009,white,damage,18,26,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I009,white,duration,1,2,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I009,white,nianCost,6,7,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I009,white,cooldown,6,7,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I009,green,damage,24,33,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I009,green,duration,2,4,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I009,green,nianCost,6,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I009,green,cooldown,6,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I009,blue,damage,31,41,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I009,blue,duration,3,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I009,blue,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I009,blue,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I009,purple,damage,37,45,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I009,purple,duration,4,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I009,purple,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I009,purple,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I009,orange,damage,44,48,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I009,orange,duration,5,6,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I009,orange,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I009,orange,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I010,white,damage,14,20,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I010,white,duration,1,2,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I010,white,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I010,white,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I010,green,damage,19,26,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I010,green,duration,2,4,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I010,green,nianCost,5,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I010,green,cooldown,4,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I010,blue,damage,25,32,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I010,blue,duration,3,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I010,blue,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I010,blue,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I010,purple,damage,30,36,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I010,purple,duration,4,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I010,purple,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I010,purple,cooldown,2,3,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I010,orange,damage,34,38,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I010,orange,duration,5,6,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I010,orange,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I010,orange,cooldown,2,3,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I011,white,damage,16,23,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I011,white,duration,1,2,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I011,white,nianCost,6,7,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I011,white,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I011,green,damage,22,30,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I011,green,duration,2,4,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I011,green,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I011,green,cooldown,5,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I011,blue,damage,29,37,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I011,blue,duration,3,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I011,blue,nianCost,4,5,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I011,blue,cooldown,4,5,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I011,purple,damage,34,41,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I011,purple,duration,4,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I011,purple,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I011,purple,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I011,orange,damage,40,44,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I011,orange,duration,5,6,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I011,orange,nianCost,3,4,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I011,orange,cooldown,3,4,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I012,white,damage,24,34,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I012,white,duration,1,2,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I012,white,nianCost,8,9,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I012,white,cooldown,7,8,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I012,green,damage,32,44,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I012,green,duration,2,4,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I012,green,nianCost,7,8,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I012,green,cooldown,7,7,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I012,blue,damage,42,54,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I012,blue,duration,3,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I012,blue,nianCost,6,7,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I012,blue,cooldown,6,7,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I012,purple,damage,50,60,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I012,purple,duration,4,5,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I012,purple,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I012,purple,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I012,orange,damage,58,64,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
I012,orange,duration,5,6,HigherIsBetter,turn,1,secondary,BALANCE_CANDIDATE
I012,orange,nianCost,5,6,LowerIsBetter,point,1,base,BALANCE_CANDIDATE
I012,orange,cooldown,5,6,LowerIsBetter,turn,1,base,BALANCE_CANDIDATE
I013,white,guard,9,14,HigherIsBetter,flat,1,primary,BALANCE_CANDIDATE
