targetCapabilityKey,mappingStatus,sourceContract,sourceFieldOrStableKey,calculationRuleId,availabilityPolicy,valueScale,sourceCategoryId,notes
"capability.break_power","SUPPORTED","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","Affixes.affixId=affix_break_up","AFFIX_BREAK_BASIS_POINT_SUM_V1","KNOWN_WHEN_PROJECTION_SET_AND_AFFIX_SCHEMA_ARE_COMPLETE","DIRECT_BASIS_POINT_SATURATING_SUM_0_10000","item.affix.basis_point","Direct basis-point sources are summed deterministically and saturated at 10000."
"capability.burst_window","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.caster_interrupt","OUT_OF_SCOPE","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","Runtime timing or caster-state evidence is outside this read-only adapter."
"capability.chain_reaction","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.cleanse_power","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.clear_power","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.control_power","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.cooldown_recovery","SUPPORTED","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","Affixes.affixId=affix_cooldown_reduction","AFFIX_COOLDOWN_REDUCTION_BASIS_POINT_SUM_V1","KNOWN_WHEN_PROJECTION_SET_AND_AFFIX_SCHEMA_ARE_COMPLETE","DIRECT_BASIS_POINT_SATURATING_SUM_0_10000","item.affix.basis_point","Direct basis-point sources are summed deterministically and saturated at 10000."
"capability.debuff_counter","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.energy_stability","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.guard_power","SUPPORTED","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","Affixes.affixId=affix_guard_up","AFFIX_GUARD_BASIS_POINT_SUM_V1","KNOWN_WHEN_PROJECTION_SET_AND_AFFIX_SCHEMA_ARE_COMPLETE","DIRECT_BASIS_POINT_SATURATING_SUM_0_10000","item.affix.basis_point","Direct basis-point sources are summed deterministically and saturated at 10000."
"capability.interrupt_timing","OUT_OF_SCOPE","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","Runtime timing or caster-state evidence is outside this read-only adapter."
"capability.placement_shape","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.spirit_lock","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.sustained_damage","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"capability.thunder_chain","UNKNOWN_NOT_MAPPED","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","UNKNOWN_SPARSE_OMISSION","NONE","NONE","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
