affixId,displayName,description,effectCategory,operation,triggerEventId,conditionId,targetStatId,valueUnitKey,valueUnits,secondaryValueUnits,mutexGroupId,repeatPolicy,dataMaturity
"affix_adjacent_damage","邻攻","每有一个相邻同法门道具，伤害提高X%，最多Y层。","SpatialEffect","AddPercent","on_layout_evaluate","adjacent_same_famen","damage","basisPoint","250","3","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_adjacent_guard","邻护","每有一个相邻道具，护势提高X%，最多Y层。","SpatialEffect","AddPercent","on_layout_evaluate","orthogonal_adjacent","guard","basisPoint","250","3","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_array_guard","镇位","占据阵位点且已点亮时获得X点护势。","SpatialEffect","AddFlat","on_turn_start","lit_on_array_cell","guard","flat","3","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_break_cooldown","破壳回转","破盾成功后冷却推进X回合。","CooldownEffect","ReduceFlat","on_break_success","break_success","cooldown","turn","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_break_to_damage","破势成伤","溢出的破盾转为伤害。","MechanicConversion","Convert","on_break_overflow","break_overflow_gt_0","break_to_damage","basisPoint","3000","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_break_up","破盾提升","破盾提高X%。","NumericModifier","AddPercent","always","NONE","break","basisPoint","300","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_chain_target","连应","连续触发达到三次时额外影响一个目标。","TriggeredEffect","ExtraTarget","on_consecutive_trigger","chain_count_3","targetCount","count","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_cleanse_refund","净后回念","净化成功后返还X点念。","ResourceEffect","Refund","on_cleanse","cleanse_success","nian","point","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_cleanse_to_heal","清秽回生","多余净化层数转为回复。","MechanicConversion","Convert","on_cleanse","cleanse_overflow_gt_0","cleanse_to_heal","flat","4","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_cleanse_up","净化增量","每次净化额外移除X层。","NumericModifier","AddFlat","on_cleanse","cleanse_success","cleanse","stack","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_control_up","控制增量","控制强度提高X点。","NumericModifier","AddFlat","always","NONE","control","point","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_cooldown_reduction","回转","冷却缩短X回合。","CooldownEffect","ReduceFlat","after_trigger","cooldown_gt_0","cooldown","turn","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_core_cooldown","窍后回转","核心效果激活后冷却推进X回合。","CoreEffect","ReduceFlat","on_core_active","core_effect_active","cooldown","turn","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_core_next_power","窍后蓄势","核心效果激活时，下一次基础效果提高X%。","CoreEffect","AddPercent","on_core_active","next_basic_effect","basicEffect","basisPoint","600","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_damage_cost_trade","烈性","伤害提高X%，但耗念增加Y。","TradeoffEffect","AddPercent","always","NONE","damage","basisPoint","900","1","TRADEOFF","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_damage_up","伤害提升","伤害提高X%。","NumericModifier","AddPercent","always","NONE","damage","basisPoint","300","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_debuff_target_power","逐秽","目标有负面状态时效果提高X%。","ConditionalModifier","AddPercent","on_trigger","target_has_debuff","basicEffect","basisPoint","650","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_direct_lit_power","明点","直接点亮时基础效果提高X%。","ConditionalModifier","AddPercent","on_direct_lit","is_direct_lit","basicEffect","basisPoint","400","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_duration_up","持续延长","持续时间延长X回合。","NumericModifier","AddFlat","on_apply_duration","duration_gt_0","duration","turn","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_famen2_power","法门初成","法门Build2激活时基础效果提高X%。","BuildSynergyEffect","AddPercent","on_build_change","famen_stage_2","basicEffect","basisPoint","500","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_famen4_trigger","法门合式","法门Build4激活时每轮追加一次候选触发。","BuildSynergyEffect","ExtraTrigger","on_round","famen_stage_4","basicEffect","count","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
