baseItemId,candidateDefinitionId,nodeKind,unlockLevel,requiredRarity,isUltimate,semanticHash,displayName,description,status
I001,candidate_core_i001_01,Core1,10,white,false,089560073d1aec9d7c4d6c117ca2fd2b7b5b21e1056337c80e3d627c4e75f6ef,震雷符·初识,震雷符点亮后，“引雷”的基础候选效果获得第一层强化。,PASS
I001,candidate_core_i001_02,Core2,20,green,false,72c02987441aacc1ea1b09c7e35db0cbeae2a8406891f0383893a47ef08950a7,震雷符·承式,触发“引雷”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I001,candidate_core_i001_03,Core3,30,blue,false,a20deb302f8ae976f9b8fef9bfd2013c410934291384c87b94e4f6438ab8f132,震雷符·合脉,同属zhenlei法门的已点亮道具达到Build2时，“引雷”追加协同数值。,PASS
I001,candidate_core_i001_ultimate,Ultimate,40,orange,true,5786a0255f5e01c59c798a22837e59e1f550cba1aacc57af6b4421adad6d3541,震雷符·成法,震雷符完成成法后，将“引雷”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。,PASS
I002,candidate_core_i002_01,Core1,10,white,false,b44b932607df0aa6edca46cff7f2a8fd81aa3ccf97561b2b0f4129e0c46c85e7,五雷急符·初识,五雷急符点亮后，“急引”的基础候选效果获得第一层强化。,PASS
I002,candidate_core_i002_02,Core2,20,green,false,7e9eeef79db9b42234a021af96d207160e7b2861293d54290c7d902d14d74173,五雷急符·承式,触发“急引”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I002,candidate_core_i002_03,Core3,30,blue,false,8a4176563c7947ab20343e929e31946bbfa82ceea6600d6ee28001415a8d8464,五雷急符·合脉,同属zhenlei法门的已点亮道具达到Build2时，“急引”追加协同数值。,PASS
I002,candidate_core_i002_ultimate,Ultimate,40,orange,true,b46d2ab2f7fbc37efab19ef461709d6a918f3eee7894d8eee31c4142fb987767,五雷急符·成法,五雷急符完成成法后，将“急引”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。,PASS
I003,candidate_core_i003_01,Core1,10,white,false,a08a90a609d97cd558ee18426f0a592d36a67e0b5794efb8f0b62e3deaf89551,震雷破壳印·初识,震雷破壳印点亮后，“破壳”的基础候选效果获得第一层强化。,PASS
I003,candidate_core_i003_02,Core2,20,green,false,f4c4ae41820c4246e5aa8b1b16221ad0d94741ed0b0128275b6a9758a820c7a4,震雷破壳印·承式,触发“破壳”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I003,candidate_core_i003_03,Core3,30,blue,false,bdbf5e24bebee58dfa5b2b83cdae028d1f3cb5fdfad8651d41275794768c23cf,震雷破壳印·合脉,同属zhenlei法门的已点亮道具达到Build2时，“破壳”追加协同数值。,PASS
I003,candidate_core_i003_ultimate,Ultimate,40,orange,true,c394127d74a5ac2d4b9b129d771bc1f5a6b0d0e30d051dcfc75ce9d42e252b32,震雷破壳印·成法,震雷破壳印完成成法后，将“破壳”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。,PASS
I004,candidate_core_i004_01,Core1,10,white,false,11eb96090f2098fed037995cff7cc7120d087ce33bef2333d579916be16abf86,五雷急令·初识,五雷急令点亮后，“催雷”的基础候选效果获得第一层强化。,PASS
I004,candidate_core_i004_02,Core2,20,green,false,8b8e330a273ddf02dcf329e9a1de6ae07d40cad05ecada3cb543f43042b3684a,五雷急令·承式,触发“催雷”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I004,candidate_core_i004_03,Core3,30,blue,false,0f8f288e7c0b819544219921c4ffc1d05dbd685ce39706c3ea6d42855ddd20a4,五雷急令·合脉,同属zhenlei法门的已点亮道具达到Build2时，“催雷”追加协同数值。,PASS
I004,candidate_core_i004_ultimate,Ultimate,40,orange,true,b8a3e1141e072ff7c4531bc0e3f12a532167db5ba816e257bcda374cb4788565,五雷急令·成法,五雷急令完成成法后，将“催雷”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。,PASS
I005,candidate_core_i005_01,Core1,10,white,false,23ac41db3359a4ed2443c079f31df7a2d2417c7ed93c07db3653c06274373c6a,照壳雷镜·初识,照壳雷镜点亮后，“照壳”的基础候选效果获得第一层强化。,PASS
I005,candidate_core_i005_02,Core2,20,green,false,2d7d0305f2b1627615e060d2582d995420e69ecdf2e5219465a28e565548f862,照壳雷镜·承式,触发“照壳”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I005,candidate_core_i005_03,Core3,30,blue,false,57fc9f1472cf686e070271b43dab87ed105c476faef313d85e386c28a18fc936,照壳雷镜·合脉,同属zhenlei法门的已点亮道具达到Build2时，“照壳”追加协同数值。,PASS
I005,candidate_core_i005_ultimate,Ultimate,40,orange,true,2a2d3d11bc449ca062bb53ad9f5238e490f8e489dcc622e2486d2301c149c280,照壳雷镜·成法,照壳雷镜完成成法后，将“照壳”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。,PASS
I006,candidate_core_i006_01,Core1,10,white,false,e2571b1e222e7a4c36fadb7ff954fd003af135bcd6d086f39eab2d56971b0be8,天鼓槌·初识,天鼓槌点亮后，“天鼓”的基础候选效果获得第一层强化。,PASS
I006,candidate_core_i006_02,Core2,20,green,false,9f8430d1380a04544973ef6684c1dbf72d0505045e546fdc448d5fab5a32cb30,天鼓槌·承式,触发“天鼓”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I006,candidate_core_i006_03,Core3,30,blue,false,74e60bff818c7f426179d936abb4af172b5ac4b2e102ca05d9a3bd464185ca47,天鼓槌·合脉,同属zhenlei法门的已点亮道具达到Build2时，“天鼓”追加协同数值。,PASS
I006,candidate_core_i006_ultimate,Ultimate,40,orange,true,3a503a37935f6b69fb40be17b754c124f5e780867fd7ed10604b403074157951,天鼓槌·成法,天鼓槌完成成法后，将“天鼓”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。,PASS
I007,candidate_core_i007_01,Core1,10,white,false,7cf9fc8febc2a3914e4c663dad64ae5e3f9027c24db3fd9ba97e52518bd6e2c3,离火符·初识,离火符点亮后，“燃符”的基础候选效果获得第一层强化。,PASS
I007,candidate_core_i007_02,Core2,20,green,false,68954cf86fa89a26e2c336f1ab5a0a6a95d66705fd3645c53c6b6927a8ef3f6c,离火符·承式,触发“燃符”后返还一部分节奏资源，并保留下一次触发条件。,PASS
I007,candidate_core_i007_03,Core3,30,blue,false,1c933cdc56fa604462e63e0cb55daf1921b36de0bda4d43075aba9039fda6454,离火符·合脉,同属lihuo法门的已点亮道具达到Build2时，“燃符”追加协同数值。,PASS
