baseItemId,itemName,affixId,displayName,description,effectId,category,operation,fiveRarityRanges,dataMaturity
"I001","震雷符","signature_i001","引雷","首次命中有护盾的目标时，额外提高破盾并标记一道雷隙。","signature_i001","TriggeredEffect","AddPercent","white:500..625|green:625..750|blue:750..875|purple:875..1000|orange:1000..1125","BALANCE_CANDIDATE"
"I002","五雷急符","signature_i002","急引","连续两次触发间隔不超过两回合时，返还念并推进下一次触发。","signature_i002","CooldownEffect","Refund","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I003","震雷破壳印","signature_i003","破壳","压印命中护盾时，使本次破盾结果额外提高并延长雷隙。","signature_i003","ConditionalModifier","AddPercent","white:650..812|green:812..974|blue:974..1136|purple:1136..1298|orange:1298..1460","BALANCE_CANDIDATE"
"I004","五雷急令","signature_i004","催雷","直接点亮后，下一次震雷触发额外追加一个近邻目标。","signature_i004","TriggeredEffect","ExtraTarget","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I005","照壳雷镜","signature_i005","照壳","镜照出护盾弱处后，下一次雷击将部分伤害转换为破盾。","signature_i005","MechanicConversion","Convert","white:3000..3750|green:3750..4500|blue:4500..5250|purple:5250..6000|orange:6000..6750","BALANCE_CANDIDATE"
"I006","天鼓槌","signature_i006","天鼓","每完成三次震雷触发，天鼓额外震鸣一次范围破盾。","signature_i006","TriggeredEffect","ExtraTrigger","white:4000..5000|green:5000..6000|blue:6000..7000|purple:7000..8000|orange:8000..9000","BALANCE_CANDIDATE"
"I007","离火符","signature_i007","燃符","点亮后首次命中附加一层余焰，余焰在下回合结算。","signature_i007","TriggeredEffect","AddFlat","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I008","焚邪长符","signature_i008","焚邪","目标身上每有一层余焰，长符持续伤害提高，最多四层。","signature_i008","ConditionalModifier","AddPercent","white:350..437|green:437..524|blue:524..611|purple:611..698|orange:698..785","BALANCE_CANDIDATE"
"I009","离火焚邪印","signature_i009","落火","压印命中带余焰目标时延长余焰，并立即结算一小段伤害。","signature_i009","TriggeredEffect","ExtraTrigger","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I010","风火令旗","signature_i010","风助","令旗点亮时为相邻离火道具增加持续时间，并降低一次耗念。","signature_i010","SpatialEffect","ReduceFlat","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I011","照焚铜镜","signature_i011","回光","镜照触发后复制目标身上一层余焰到另一名敌人。","signature_i011","MechanicConversion","Convert","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I012","长明灯","signature_i012","长明","离火效果自然结束时保留一枚火种，下一次点燃消耗火种追加触发。","signature_i012","ResourceEffect","ExtraTrigger","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I013","护身符","signature_i013","护身","受到伤害后若护势低于阈值，立即获得一层轻护。","signature_i013","ConditionalModifier","AddFlat","white:4..5|green:5..6|blue:6..7|purple:7..8|orange:8..9","BALANCE_CANDIDATE"
"I014","镇宅长符","signature_i014","镇宅","每有一个横向相邻道具，护势提高，最多两个相邻来源。","signature_i014","SpatialEffect","AddPercent","white:400..500|green:500..600|blue:600..700|purple:700..800|orange:800..900","BALANCE_CANDIDATE"
"I015","中岳镇守章","signature_i015","镇守","直接点亮时获得护势；护势未耗尽前减少一次控制。","signature_i015","ResourceEffect","AddFlat","white:8..10|green:10..12|blue:12..14|purple:14..16|orange:16..18","BALANCE_CANDIDATE"
"I016","护坛令旗","signature_i016","护坛","同法门道具首次受到伤害时，令旗分担部分伤害并获得护势。","signature_i016","TradeoffEffect","Convert","white:2000..2500|green:2500..3000|blue:3000..3500|purple:3500..4000|orange:4000..4500","BALANCE_CANDIDATE"
"I017","照邪八卦镜","signature_i017","定影","镜照成功后记录本次伤害，下一次受击按记录值生成护势。","signature_i017","MechanicConversion","Convert","white:2500..3125|green:3125..3750|blue:3750..4375|purple:4375..5000|orange:5000..5625","BALANCE_CANDIDATE"
"I018","镇山铜鼎","signature_i018","镇山","占据阵位点并已点亮时，每回合获得护势；移动后效果重置。","signature_i018","SpatialEffect","AddFlat","white:6..7|green:7..8|blue:8..9|purple:9..10|orange:10..11","BALANCE_CANDIDATE"
"I019","净水符","signature_i019","净水","完成一次净化后恢复生命，溢出的恢复转为护势。","signature_i019","MechanicConversion","Convert","white:2500..3125|green:3125..3750|blue:3750..4375|purple:4375..5000|orange:5000..5625","BALANCE_CANDIDATE"
"I020","涤秽长符","signature_i020","涤秽","连续净化同一目标时，第二次起额外移除一层负面状态。","signature_i020","ConditionalModifier","AddFlat","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I021","玄水涤秽印","signature_i021","涤心","印心完成净化时，返还念并使下一次回复提高。","signature_i021","ResourceEffect","Refund","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I022","玄水流令","signature_i022","回流","玄水效果结束时推进相邻道具冷却，若其已点亮则再返还念。","signature_i022","CooldownEffect","ReduceFlat","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I023","照秽水镜","signature_i023","照秽","镜照到负面状态时复制其剩余持续时间，转化为回复持续时间。","signature_i023","MechanicConversion","Convert","white:2..3|green:3..4|blue:4..5|purple:5..6|orange:6..7","BALANCE_CANDIDATE"
"I024","净水盂","signature_i024","蓄水","每次净化积蓄一滴净水；三滴时自动治疗生命最低的目标。","signature_i024","ResourceEffect","ExtraTrigger","white:12..15|green:15..18|blue:18..21|purple:21..24|orange:24..27","BALANCE_CANDIDATE"
"I025","封煞符","signature_i025","封煞","命中正在施法的目标时延缓其施法，并暴露一层破绽。","signature_i025","TriggeredEffect","ReduceFlat","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I026","太白斩符","signature_i026","太白","对带破绽目标的首次斩击提高伤害，并消耗一层破绽。","signature_i026","ConditionalModifier","AddPercent","white:800..1000|green:1000..1200|blue:1200..1400|purple:1400..1600|orange:1600..1800","BALANCE_CANDIDATE"
"I027","太白斩煞印","signature_i027","斩煞","压印命中带破绽目标时追加一次小斩击；目标低血量时倍率提高。","signature_i027","TriggeredEffect","ExtraTrigger","white:3000..3750|green:3750..4500|blue:4500..5250|purple:5250..6000|orange:6000..6750","BALANCE_CANDIDATE"
"I028","断煞令","signature_i028","断令","令文触发后锁定目标，下一次太白伤害优先指向该目标。","signature_i028","ConditionalModifier","Override","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
"I029","照煞镜","signature_i029","照煞","首次命中有护盾目标时照出弱点，使下一次攻击额外造成破盾。","signature_i029","TriggeredEffect","AddPercent","white:700..875|green:875..1050|blue:1050..1225|purple:1225..1400|orange:1400..1575","BALANCE_CANDIDATE"
"I030","桃木剑","signature_i030","桃木","击败带破绽目标后保留剑势，下一次斩击改为贯穿相邻目标。","signature_i030","MechanicConversion","ExtraTarget","white:1..2|green:2..3|blue:3..4|purple:4..5|orange:5..6","BALANCE_CANDIDATE"
