baseItemId,itemName,rarity,candidateItemPower,overridden,dataMaturity,sandboxOnly
"I001","震雷符","white","47","False","BALANCE_CANDIDATE","True"
"I001","震雷符","green","65","False","BALANCE_CANDIDATE","True"
"I001","震雷符","blue","85","False","BALANCE_CANDIDATE","True"
"I001","震雷符","purple","101","False","BALANCE_CANDIDATE","True"
"I001","震雷符","orange","120","False","BALANCE_CANDIDATE","True"
"I002","五雷急符","white","48","False","BALANCE_CANDIDATE","True"
"I002","五雷急符","green","68","False","BALANCE_CANDIDATE","True"
"I002","五雷急符","blue","89","False","BALANCE_CANDIDATE","True"
"I002","五雷急符","purple","106","False","BALANCE_CANDIDATE","True"
"I002","五雷急符","orange","125","False","BALANCE_CANDIDATE","True"
"I003","震雷破壳印","white","68","False","BALANCE_CANDIDATE","True"
"I003","震雷破壳印","green","92","False","BALANCE_CANDIDATE","True"
"I003","震雷破壳印","blue","117","False","BALANCE_CANDIDATE","True"
"I003","震雷破壳印","purple","138","False","BALANCE_CANDIDATE","True"
"I003","震雷破壳印","orange","159","False","BALANCE_CANDIDATE","True"
"I004","五雷急令","white","44","False","BALANCE_CANDIDATE","True"
"I004","五雷急令","green","64","False","BALANCE_CANDIDATE","True"
"I004","五雷急令","blue","83","False","BALANCE_CANDIDATE","True"
"I004","五雷急令","purple","99","False","BALANCE_CANDIDATE","True"
"I004","五雷急令","orange","117","False","BALANCE_CANDIDATE","True"
"I005","照壳雷镜","white","52","False","BALANCE_CANDIDATE","True"
"I005","照壳雷镜","green","72","False","BALANCE_CANDIDATE","True"
"I005","照壳雷镜","blue","94","False","BALANCE_CANDIDATE","True"
"I005","照壳雷镜","purple","111","False","BALANCE_CANDIDATE","True"
"I005","照壳雷镜","orange","131","False","BALANCE_CANDIDATE","True"
"I006","天鼓槌","white","67","False","BALANCE_CANDIDATE","True"
"I006","天鼓槌","green","91","False","BALANCE_CANDIDATE","True"
"I006","天鼓槌","blue","116","False","BALANCE_CANDIDATE","True"
"I006","天鼓槌","purple","136","False","BALANCE_CANDIDATE","True"
"I006","天鼓槌","orange","158","False","BALANCE_CANDIDATE","True"
"I007","离火符","white","42","False","BALANCE_CANDIDATE","True"
"I007","离火符","green","60","False","BALANCE_CANDIDATE","True"
"I007","离火符","blue","78","False","BALANCE_CANDIDATE","True"
"I007","离火符","purple","93","False","BALANCE_CANDIDATE","True"
"I007","离火符","orange","111","False","BALANCE_CANDIDATE","True"
"I008","焚邪长符","white","48","False","BALANCE_CANDIDATE","True"
"I008","焚邪长符","green","67","False","BALANCE_CANDIDATE","True"
"I008","焚邪长符","blue","87","False","BALANCE_CANDIDATE","True"
"I008","焚邪长符","purple","103","False","BALANCE_CANDIDATE","True"
"I008","焚邪长符","orange","121","False","BALANCE_CANDIDATE","True"
"I009","离火焚邪印","white","57","False","BALANCE_CANDIDATE","True"
"I009","离火焚邪印","green","78","False","BALANCE_CANDIDATE","True"
"I009","离火焚邪印","blue","99","False","BALANCE_CANDIDATE","True"
"I009","离火焚邪印","purple","117","False","BALANCE_CANDIDATE","True"
"I009","离火焚邪印","orange","137","False","BALANCE_CANDIDATE","True"
"I010","风火令旗","white","49","False","BALANCE_CANDIDATE","True"
"I010","风火令旗","green","69","False","BALANCE_CANDIDATE","True"
"I010","风火令旗","blue","89","False","BALANCE_CANDIDATE","True"
"I010","风火令旗","purple","106","False","BALANCE_CANDIDATE","True"
"I010","风火令旗","orange","124","False","BALANCE_CANDIDATE","True"
"I011","照焚铜镜","white","53","False","BALANCE_CANDIDATE","True"
"I011","照焚铜镜","green","74","False","BALANCE_CANDIDATE","True"
"I011","照焚铜镜","blue","94","False","BALANCE_CANDIDATE","True"
"I011","照焚铜镜","purple","111","False","BALANCE_CANDIDATE","True"
"I011","照焚铜镜","orange","131","False","BALANCE_CANDIDATE","True"
"I012","长明灯","white","67","False","BALANCE_CANDIDATE","True"
"I012","长明灯","green","90","False","BALANCE_CANDIDATE","True"
"I012","长明灯","blue","113","False","BALANCE_CANDIDATE","True"
"I012","长明灯","purple","133","False","BALANCE_CANDIDATE","True"
"I012","长明灯","orange","154","False","BALANCE_CANDIDATE","True"
"I013","护身符","white","43","False","BALANCE_CANDIDATE","True"
"I013","护身符","green","62","False","BALANCE_CANDIDATE","True"
"I013","护身符","blue","81","False","BALANCE_CANDIDATE","True"
"I013","护身符","purple","96","False","BALANCE_CANDIDATE","True"
"I013","护身符","orange","114","False","BALANCE_CANDIDATE","True"
"I014","镇宅长符","white","50","False","BALANCE_CANDIDATE","True"
"I014","镇宅长符","green","70","False","BALANCE_CANDIDATE","True"
"I014","镇宅长符","blue","90","False","BALANCE_CANDIDATE","True"
"I014","镇宅长符","purple","107","False","BALANCE_CANDIDATE","True"
"I014","镇宅长符","orange","126","False","BALANCE_CANDIDATE","True"
"I015","中岳镇守章","white","61","False","BALANCE_CANDIDATE","True"
"I015","中岳镇守章","green","84","False","BALANCE_CANDIDATE","True"
"I015","中岳镇守章","blue","107","False","BALANCE_CANDIDATE","True"
"I015","中岳镇守章","purple","127","False","BALANCE_CANDIDATE","True"
"I015","中岳镇守章","orange","147","False","BALANCE_CANDIDATE","True"
"I016","护坛令旗","white","51","False","BALANCE_CANDIDATE","True"
"I016","护坛令旗","green","72","False","BALANCE_CANDIDATE","True"
"I016","护坛令旗","blue","93","False","BALANCE_CANDIDATE","True"
"I016","护坛令旗","purple","110","False","BALANCE_CANDIDATE","True"
"I016","护坛令旗","orange","130","False","BALANCE_CANDIDATE","True"
"I017","照邪八卦镜","white","56","False","BALANCE_CANDIDATE","True"
"I017","照邪八卦镜","green","79","False","BALANCE_CANDIDATE","True"
"I017","照邪八卦镜","blue","102","False","BALANCE_CANDIDATE","True"
"I017","照邪八卦镜","purple","121","False","BALANCE_CANDIDATE","True"
"I017","照邪八卦镜","orange","141","False","BALANCE_CANDIDATE","True"
"I018","镇山铜鼎","white","72","False","BALANCE_CANDIDATE","True"
"I018","镇山铜鼎","green","96","False","BALANCE_CANDIDATE","True"
"I018","镇山铜鼎","blue","121","False","BALANCE_CANDIDATE","True"
"I018","镇山铜鼎","purple","141","False","BALANCE_CANDIDATE","True"
"I018","镇山铜鼎","orange","163","False","BALANCE_CANDIDATE","True"
"I019","净水符","white","37","False","BALANCE_CANDIDATE","True"
"I019","净水符","green","53","False","BALANCE_CANDIDATE","True"
"I019","净水符","blue","69","False","BALANCE_CANDIDATE","True"
"I019","净水符","purple","84","False","BALANCE_CANDIDATE","True"
"I019","净水符","orange","99","False","BALANCE_CANDIDATE","True"
"I020","涤秽长符","white","34","False","BALANCE_CANDIDATE","True"
"I020","涤秽长符","green","50","False","BALANCE_CANDIDATE","True"
"I020","涤秽长符","blue","65","False","BALANCE_CANDIDATE","True"
"I020","涤秽长符","purple","78","False","BALANCE_CANDIDATE","True"
"I020","涤秽长符","orange","93","False","BALANCE_CANDIDATE","True"
"I021","玄水涤秽印","white","52","False","BALANCE_CANDIDATE","True"
"I021","玄水涤秽印","green","72","False","BALANCE_CANDIDATE","True"
"I021","玄水涤秽印","blue","92","False","BALANCE_CANDIDATE","True"
"I021","玄水涤秽印","purple","109","False","BALANCE_CANDIDATE","True"
"I021","玄水涤秽印","orange","127","False","BALANCE_CANDIDATE","True"
"I022","玄水流令","white","45","False","BALANCE_CANDIDATE","True"
