baseItemId,itemName,poolId,affixId,weight,mutexGroupId,repeatPolicy,designNote
"I001","震雷符","candidate_pool_i001","affix_break_up","4","NONE","NO_DUPLICATE",""
"I001","震雷符","candidate_pool_i001","affix_nian_efficiency","3","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_cooldown_reduction","3","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_adjacent_damage","8","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_break_cooldown","7","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_trigger_refund","4","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_direct_lit_power","3","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_core_next_power","2","NONE","NO_DUPLICATE","震雷符定向候选池"
"I001","震雷符","candidate_pool_i001","affix_first_trigger_bonus","1","NONE","NO_DUPLICATE","震雷符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_control_up","4","NONE","NO_DUPLICATE",""
"I002","五雷急符","candidate_pool_i002","affix_nian_efficiency","3","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_cooldown_reduction","3","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_adjacent_damage","8","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_break_cooldown","7","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_trigger_refund","4","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_direct_lit_power","3","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_core_next_power","2","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I002","五雷急符","candidate_pool_i002","affix_first_trigger_bonus","1","NONE","NO_DUPLICATE","五雷急符定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_damage_up","4","NONE","NO_DUPLICATE",""
"I003","震雷破壳印","candidate_pool_i003","affix_nian_efficiency","3","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_cooldown_reduction","3","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_array_guard","8","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_break_cooldown","7","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_trigger_refund","4","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_direct_lit_power","3","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_core_next_power","2","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I003","震雷破壳印","candidate_pool_i003","affix_first_trigger_bonus","1","NONE","NO_DUPLICATE","震雷破壳印定向候选池"
"I004","五雷急令","candidate_pool_i004","affix_damage_up","4","NONE","NO_DUPLICATE",""
