rowType,id,valueDomainId,unitKey,operationKey,minUnits,maxUnits,inputValue,expectedStatus,actualStatus,validationCode,result
"contract","affix_chain_target","target_count","count","ExtraTarget","1","6","","","","","PASS"
"contract","affix_cleanse_up","cleanse_stack","stack","AddFlat","1","5","","","","","PASS"
"contract","affix_control_up","control_point","point","AddFlat","1","10","","","","","PASS"
"contract","affix_first_trigger_bonus","effect_basis_point","basisPoint","ExtraTrigger","3000","8000","","","","","PASS"
"contract","affix_nian_efficiency","nian_cost_basis_point","basisPoint","ReducePercent","200","1800","","","","","PASS"
"contract","affix_trigger_refund","nian_point","point","Refund","1","6","","","","","PASS"
"scenario","known-value.control","","point","AddFlat","","","5","KnownValue","KnownValue","NONE","PASS"
"scenario","known-value.nian","","basisPoint","ReducePercent","","","200","KnownValue","KnownValue","NONE","PASS"
"scenario","known-zero.explicit","","point","Refund","","","0","KnownZero","KnownZero","NONE","PASS"
"scenario","unknown.value-missing","","point","AddFlat","","","Unknown","Unknown","Unknown","VALUE_MISSING","PASS"
"scenario","unknown.unit-missing","","","AddFlat","","","1","Unknown","Unknown","UNIT_MISSING","PASS"
"scenario","unknown.capability","","point","AddFlat","","","1","Unknown","Unknown","CAPABILITY_UNKNOWN","PASS"
"scenario","invalid.negative","","stack","AddFlat","","","-1","Invalid","Invalid","NEGATIVE_VALUE","PASS"
"scenario","invalid.out-of-range","","basisPoint","ReducePercent","","","1801","Invalid","Invalid","VALUE_OUT_OF_RANGE","PASS"
"scenario","invalid.unit-conflict","","basisPoint","Refund","","","1","Invalid","Invalid","UNIT_CONFLICT","PASS"
"scenario","invalid.operation-conflict","","basisPoint","ReduceFlat","","","200","Invalid","Invalid","OPERATION_CONFLICT","PASS"
