path,sha256,length
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\ItemBalanceWorkbenchCatalog.asset",5cc59ab0bb20e3b054c98b73676a9173fda0451f24441e877e08ba53b2350d45,110092
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I001.asset",ecbb1e9523557f9d72350430e7a91c32f2e097bf34aad4c537958b1c93493f43,17834
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I002.asset",9e0709245cb9efdd985f75a2192f1b21ee94c3780789a696ba162b8adfe5ed8a,17952
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I003.asset",f75ad7151f671d2ca0d600d5d44401bf9ab9dc9a3175bae6faa3a95374ce77b5,18116
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I004.asset",596f48699e51712b2309a0ff17925a30fbdb3078629bec50060875708b6e6374,17951
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I005.asset",2542d1674b90c06d09b350b0d60e8c4915b8c6deecb3ed29d1662021e5d20ad3,17967
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I006.asset",ab774c35bfe16a4c4c9995dab3c21aab0292b253296d8c6f91a404d576596686,17802
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I007.asset",ef4148abd55d5a0dadde878a26295f5f1717c302cfc8f5aff60c5c0423616797,17603
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I008.asset",7cc1f6346f910d581fe68706796de27e58338d09de3e7f5f74a45ac76f6085bc,17921
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I009.asset",d5152479b4d399e201a2a389d13782d55525f0cee561ad4891728b1624ba4f8d,18084
