surface,field,editable,playerVisible,debugVisible,formalConnected
"Item Balance Workbench","candidateItemPower","True","True","True","False"
"Item Balance Workbench","signatureAffix","True","True","True","False"
"Item Balance Workbench","randomAffixDictionary","True","True","True","False"
"Item Balance Workbench","randomPool","True","True","True","False"
"Item Balance Workbench","effectPayload","True","True","True","False"
"Item Balance Workbench","coreEffects","True","True","True","False"
"Item Balance Workbench","faMenBuildEffects","True","True","True","False"
"Item Balance Workbench","qiLeiBuildEffects","True","True","True","False"
"Item Balance Workbench","triggerDescription","True","True","True","False"
"Item Balance Workbench","basicEffectDescription","True","True","True","False"
"Item Balance Workbench","placementRecommendation","True","True","True","False"
"Item Balance Workbench","flavorText","True","True","True","False"
"Item Balance Workbench","balanceDataRevision","True","False","True","False"
