scenarioId,marker,result,detail
"S01","COMPONENT_FIXTURE_PASS","PASS","PASS"
"S02","IDENTITY_MAPPING_150_OF_150_PASS","PASS","PASS"
"S03","CORE4_ULTIMATE_SEPARATION_PASS","PASS","PASS"
"S04","REAL_RUNTIME_STATE_ASSEMBLY_PASS","PASS","PASS"
"S05","EXPLICIT_DEV_CULTIVATION_SOURCE_PASS","PASS","PASS"
"S06","MISSING_CULTIVATION_REMAINS_UNKNOWN_PASS","PASS","PASS"
"S07","INVENTORY_BOARD_TRANSITIONS_PASS","PASS","PASS"
"S08","I031_EXCLUSION_PASS","PASS","PASS"
"S09","ATOMIC_COMMIT_PASS","PASS","PASS"
"S10","NO_OP_STABILITY_PASS","PASS","PASS"
"S11","Canonical/Ordinal/immutable PASS","PASS","PASS"
"S12","Invalid contradictions PASS","PASS","PASS"
"S13","White/Green/Blue/Purple/Orange Projection facts PASS","PASS","PASS"
"S14","Real sample identities PASS","PASS","PASS"
"S14A","DEPENDENCY_REGRESSION_PASS","PASS","PASS"
"S15","PROTECTED_HASHES_PASS","PASS","PASS"
"S16","LEAKCHECK_PASS","PASS","PASS"
"S17","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","PASS"
