caseId,category,expected,actual,validationCode,result
default-schema-valid,default,true,true,NONE,PASS
schema-id-v1,default,true,true,NONE,PASS
default-core-profile-zero,default,true,true,NONE,PASS
default-qualification-instance-zero,default,true,true,NONE,PASS
default-probability-profile-zero,default,true,true,NONE,PASS
fixture-isolation-markers,default,true,true,NONE,PASS
core-policy-stable-order,core-policy,true,true,NONE,PASS
build-policy-stable-order,build-policy,true,true,NONE,PASS
orange-allows-ultimate,core-policy,true,true,NONE,PASS
non-orange-forbids-ultimate,core-policy,true,true,NONE,PASS
core-policies-unresolved,core-policy,true,true,NONE,PASS
defined-standard-profile-valid,core-profile,valid,valid,NONE,PASS
orange-ultimate-profile-valid,core-profile,valid,valid,NONE,PASS
visible-subset-valid,core-profile,true,true,NONE,PASS
purple-ultimate-invalid,core-profile,ULTIMATE_EFFECT_NOT_ALLOWED,ULTIMATE_EFFECT_NOT_ALLOWED,ULTIMATE_EFFECT_NOT_ALLOWED,PASS
visible-not-eligible-invalid,core-profile,VISIBLE_EFFECT_NOT_ELIGIBLE,VISIBLE_EFFECT_NOT_ELIGIBLE,VISIBLE_EFFECT_NOT_ELIGIBLE,PASS
empty-core-effect-id,core-profile,CORE_EFFECT_ID_EMPTY,CORE_EFFECT_ID_EMPTY,CORE_EFFECT_ID_EMPTY,PASS
duplicate-core-effect-id,core-profile,CORE_EFFECT_ID_DUPLICATE,CORE_EFFECT_ID_DUPLICATE,CORE_EFFECT_ID_DUPLICATE,PASS
duplicate-profile-id,core-profile,CORE_PROFILE_ID_DUPLICATE,CORE_PROFILE_ID_DUPLICATE,CORE_PROFILE_ID_DUPLICATE,PASS
duplicate-base-rarity-profile,core-profile,CORE_PROFILE_DUPLICATE,CORE_PROFILE_DUPLICATE,CORE_PROFILE_DUPLICATE,PASS
profile-i031-invalid,core-profile,BASE_ITEM_NOT_ORDINARY,BASE_ITEM_NOT_ORDINARY,BASE_ITEM_NOT_ORDINARY,PASS
profile-i999-invalid,core-profile,BASE_ITEM_UNKNOWN,BASE_ITEM_UNKNOWN,BASE_ITEM_UNKNOWN,PASS
profile-empty-base-invalid,core-profile,BASE_ITEM_ID_EMPTY,BASE_ITEM_ID_EMPTY,BASE_ITEM_ID_EMPTY,PASS
unresolved-with-effects-invalid,core-profile,UNRESOLVED_PROFILE_HAS_EFFECTS,UNRESOLVED_PROFILE_HAS_EFFECTS,UNRESOLVED_PROFILE_HAS_EFFECTS,PASS
missing-core-policy,core-policy,CORE_POLICY_MISSING,CORE_POLICY_MISSING,CORE_POLICY_MISSING,PASS
duplicate-core-policy,core-policy,CORE_POLICY_DUPLICATE,CORE_POLICY_DUPLICATE,CORE_POLICY_DUPLICATE,PASS
purple-policy-allows-ultimate-invalid,core-policy,CORE_ULTIMATE_POLICY_INVALID,CORE_ULTIMATE_POLICY_INVALID,CORE_ULTIMATE_POLICY_INVALID,PASS
orange-policy-forbids-ultimate-invalid,core-policy,CORE_ULTIMATE_POLICY_INVALID,CORE_ULTIMATE_POLICY_INVALID,CORE_ULTIMATE_POLICY_INVALID,PASS
illegal-core-policy-rarity,core-policy,RARITY_INVALID,RARITY_INVALID,RARITY_INVALID,PASS
white-policy-locked-none,build-policy,true,true,NONE,PASS
green-orange-policy-unresolved,build-policy,true,true,NONE,PASS
default-probability-ids-empty,build-policy,true,true,NONE,PASS
defined-policy-default-invalid,build-policy,BUILD_POLICY_CONTRACT_INVALID,BUILD_POLICY_CONTRACT_INVALID,BUILD_POLICY_CONTRACT_INVALID,PASS
probability-profile-reference-invalid,build-policy,PROBABILITY_PROFILE_FORBIDDEN,PROBABILITY_PROFILE_FORBIDDEN,PROBABILITY_PROFILE_FORBIDDEN,PASS
missing-build-policy,build-policy,BUILD_POLICY_MISSING,BUILD_POLICY_MISSING,BUILD_POLICY_MISSING,PASS
duplicate-build-policy,build-policy,BUILD_POLICY_DUPLICATE,BUILD_POLICY_DUPLICATE,BUILD_POLICY_DUPLICATE,PASS
illegal-build-policy-rarity,build-policy,RARITY_INVALID,RARITY_INVALID,RARITY_INVALID,PASS
white-none-valid,build-qualification,valid,None,NONE,PASS
white-famen-invalid,build-qualification,WHITE_QUALIFICATION_MUST_BE_NONE,WHITE_QUALIFICATION_MUST_BE_NONE,WHITE_QUALIFICATION_MUST_BE_NONE,PASS
white-qilei-invalid,build-qualification,WHITE_QUALIFICATION_MUST_BE_NONE,WHITE_QUALIFICATION_MUST_BE_NONE,WHITE_QUALIFICATION_MUST_BE_NONE,PASS
white-dual-invalid,build-qualification,WHITE_QUALIFICATION_MUST_BE_NONE,WHITE_QUALIFICATION_MUST_BE_NONE,WHITE_QUALIFICATION_MUST_BE_NONE,PASS
build-i031-invalid,build-qualification,BASE_ITEM_NOT_ORDINARY,BASE_ITEM_NOT_ORDINARY,BASE_ITEM_NOT_ORDINARY,PASS
build-empty-instance-invalid,build-qualification,ITEM_INSTANCE_ID_EMPTY,ITEM_INSTANCE_ID_EMPTY,ITEM_INSTANCE_ID_EMPTY,PASS
build-i999-invalid,build-qualification,BASE_ITEM_UNKNOWN,BASE_ITEM_UNKNOWN,BASE_ITEM_UNKNOWN,PASS
build-illegal-rarity-invalid,build-qualification,RARITY_INVALID,RARITY_INVALID,RARITY_INVALID,PASS
build-illegal-qualification-invalid,build-qualification,QUALIFICATION_INVALID,QUALIFICATION_INVALID,QUALIFICATION_INVALID,PASS
green-enum-roundtrip-Unresolved,build-qualification,valid,Unresolved,NONE,PASS
green-enum-roundtrip-None,build-qualification,valid,None,NONE,PASS
green-enum-roundtrip-FaMenOnly,build-qualification,valid,FaMenOnly,NONE,PASS
green-enum-roundtrip-QiLeiOnly,build-qualification,valid,QiLeiOnly,NONE,PASS
green-enum-roundtrip-Dual,build-qualification,valid,Dual,NONE,PASS
qualification-does-not-change-cultural-tags,build-qualification,true,true,NONE,PASS
query-core-policy-success,query,true,true,NONE,PASS
query-profile-id-success,query,true,true,NONE,PASS
query-profile-base-rarity-success,query,true,true,NONE,PASS
query-build-policy-success,query,true,true,NONE,PASS
query-core-policy-failure,query,QUERY_CORE_POLICY_NOT_FOUND,QUERY_CORE_POLICY_NOT_FOUND,QUERY_CORE_POLICY_NOT_FOUND,PASS
query-profile-id-failure,query,QUERY_CORE_PROFILE_NOT_FOUND,QUERY_CORE_PROFILE_NOT_FOUND,QUERY_CORE_PROFILE_NOT_FOUND,PASS
query-profile-key-failure,query,QUERY_CORE_PROFILE_NOT_FOUND,QUERY_CORE_PROFILE_NOT_FOUND,QUERY_CORE_PROFILE_NOT_FOUND,PASS
query-build-policy-failure,query,QUERY_BUILD_POLICY_NOT_FOUND,QUERY_BUILD_POLICY_NOT_FOUND,QUERY_BUILD_POLICY_NOT_FOUND,PASS
query-invalid-rarity-failure,query,QUERY_INPUT_INVALID,QUERY_INPUT_INVALID,QUERY_INPUT_INVALID,PASS
canonical-input-reversal-stable,determinism,true,true,NONE,PASS
source-collection-mutation-blocked,readonly,true,true,NONE,PASS
top-level-collections-readonly,readonly,true,true,NONE,PASS
