field,source,playerChapter,debugChapter,semantics
itemInstanceId,projection.itemInstanceId,no,yes,generated instance identity
baseItemId,projection.baseItemId,no,yes,catalog prototype identity
rarity,projection.rarity/rarityKey,display name/key,yes,generated rarity
stats,projection.stats + Stat Schema,formatted name/value/unit,raw statId/rawUnits,generated facts
fixedAffixes,projection.affixes slotKind=Fixed,formatted,raw affixId/rawUnits,instance result
randomAffixes,projection.affixes slotKind=Random,formatted,raw affixId/rawUnits,instance result
eligibleCoreEffectIds,projection eligible,count only,ids,rarity potential not unlocked
visibleCoreEffectIds,projection visible,count only,ids,rarity visibility not active
buildQualification,projection qualification,qualification only,enum,not Build activation
generationVersion/rootSeed/sourceSchema/sourceAlgorithm/status/signature,projection,no,yes,QA provenance only
placementId,existing placement composer,no,existing debug,not bound in this package
