category,slot_name,scene_path,asset_path,status,notes
"header","cardBackgroundImage","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel","Assets/_Game/Resources/item/弹窗背景/background-道品.png","BOUND","Dao background"
"header","rarityBadgeImage","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader","Assets/_Game/Resources/item/品阶icon/品阶icon_道品.png","BOUND","Dao rarity"
"body-art","daoju","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/daoju","MISSING_ART_I001","GREYBOX","original object; no core substitution"
"text-slot","FaMenNameText","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/FaMenNameText","N/A","BOUND","阵法 · 震雷法"
"text-slot","QiLeiNameText","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/QiLeiNameText","N/A","BOUND","qiLeiTag=符; not seven-star"
"text-slot","PreviewComplianceText","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/PreviewComplianceText","N/A","BOUND","preview-only labels"
"text-slot","ItemArtworkText","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/ItemArtworkText","N/A","BOUND","explicit missing body-art label"
"text-slot","ItemArtworkKeyText","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/ItemArtworkKeyPlate/ItemArtworkKeyText","N/A","BOUND","MISSING_ART_I001"
"art-slot","zhenfaicon","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/zhenfaicon","Assets/_Game/Resources/item/阵法icon/震雷法.png","BOUND","header"
"art-slot","qixingicon","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemArtworkFrame/qixingicon","Assets/_Game/Resources/item/器类icon/符类.png","BOUND","header"
