fieldKey,playerLabel,dataOwner,runtimeProducer,snapshotField,projector,viewModelField,viewSection,realSampleId,sourceValue/rowCount,snapshotValue/rowCount,viewModelValue/rowCount,componentFixtureResult,realRuntimeResult,userHandtestResult,firstMissingLayer
"I001.buildQualification","Build资格","Generated Item Projection","Package A assembler","item.buildQualification","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.buildQualification","famenBuild/qileiBuild","I001","QiLeiOnly","QiLeiOnly","QiLeiOnly","PASS","PASS","WAITING","None"
"I001.qilei:fu.activeStagePieceCount","2/4/6阶段","Package A","Package A assembler","track.activeStagePieceCount + nextStagePieceCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].StageRows","qileiBuild","I001","0/2","0/2","0/2/rows=2","PASS","PASS","WAITING","None"
"I001.qilei:fu.qualifiedItemCount","当前进度","Package A","Package A assembler","track.qualifiedItemCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].qualifiedItemCount","qileiBuild","I001","1/rows=1","1/rows=1","1/rows=2","PASS","PASS","WAITING","None"
"I004.buildQualification","Build资格","Generated Item Projection","Package A assembler","item.buildQualification","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.buildQualification","famenBuild/qileiBuild","I004","Dual","Dual","Dual","PASS","PASS","WAITING","None"
"I004.famen:zhenlei.activeStagePieceCount","2/4/6阶段","Package A","Package A assembler","track.activeStagePieceCount + nextStagePieceCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].StageRows","famenBuild","I004","0/2","0/2","0/2/rows=3","PASS","PASS","WAITING","None"
"I004.famen:zhenlei.qualifiedItemCount","当前进度","Package A","Package A assembler","track.qualifiedItemCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].qualifiedItemCount","famenBuild","I004","1/rows=1","1/rows=1","1/rows=3","PASS","PASS","WAITING","None"
"I004.qilei:ling.activeStagePieceCount","2/4/6阶段","Package A","Package A assembler","track.activeStagePieceCount + nextStagePieceCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].StageRows","qileiBuild","I004","0/2","0/2","0/2/rows=2","PASS","PASS","WAITING","None"
"I004.qilei:ling.qualifiedItemCount","当前进度","Package A","Package A assembler","track.qualifiedItemCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].qualifiedItemCount","qileiBuild","I004","1/rows=1","1/rows=1","1/rows=2","PASS","PASS","WAITING","None"
"I006.buildQualification","Build资格","Generated Item Projection","Package A assembler","item.buildQualification","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.buildQualification","famenBuild/qileiBuild","I006","None","None","None","PASS","PASS","WAITING","None"
"I006.unknownVsKnownZero","Build状态","Package A","ItemInstanceQualifiedBuildStateAssembler","buildFactCompleteness + nullable counts","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.*Count","famenBuild","I006","Unknown:null / Valid:0","Unknown:null / Valid:0","Unknown:null / Complete:0","PASS","PASS","WAITING","None"
"I009.buildQualification","Build资格","Generated Item Projection","Package A assembler","item.buildQualification","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.buildQualification","famenBuild/qileiBuild","I009","FaMenOnly","FaMenOnly","FaMenOnly","PASS","PASS","WAITING","None"
"I009.famen:lihuo.activeStagePieceCount","2/4/6阶段","Package A","Package A assembler","track.activeStagePieceCount + nextStagePieceCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].StageRows","famenBuild","I009","0/2","0/2","0/2/rows=3","PASS","PASS","WAITING","None"
"I009.famen:lihuo.qualifiedItemCount","当前进度","Package A","Package A assembler","track.qualifiedItemCount","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.TrackRows[].qualifiedItemCount","famenBuild","I009","1/rows=1","1/rows=1","1/rows=3","PASS","PASS","WAITING","None"
"I031.buildQualification","系统道具不适用","I031 contract","ItemSystemBattleSandboxBoardAuthority","no Package A ordinary row","ItemDetailQualifiedBuildTrackProjector","qualifiedBuildTrack.buildQualification","famenBuild/qileiBuild","I031","ordinaryProjectionRows=0","qualifiedRows=0","NotApplicable/trackRows=0","PASS","PASS","WAITING","None"
