scenarioId,result,marker,detail
"S01","PASS","COMPONENT_FIXTURE_PASS","verified"
"S02","PASS","I001_REAL_SAMPLE_PASS","verified"
"S03","PASS","I004_REAL_SAMPLE_PASS","verified"
"S04","PASS","I006_REAL_SAMPLE_PASS","verified"
"S05","PASS","I009_REAL_SAMPLE_PASS","verified"
"S06","PASS","I031_REAL_SAMPLE_PASS","verified"
"S07","PASS","UNKNOWN_KNOWN_ZERO_SEPARATION_PASS","verified"
"S08","PASS","STRICT_CONTROLLER_PATH_PASS","verified"
"S09","PASS","PACKAGE_A_DIRECT_STAGE_LINEAGE_PASS","verified"
"S10","PASS","PROTECTED_HASHES_PASS","verified"
"S11","PASS","LEAK_CHECK_PASS","verified"
"S12","PASS","PACKAGE_SCOPED_DIFF_CHECK_PASS","verified"
