modifierId,baseItemId,rarityVersionKey,sourceKind,sourceCellScope,sourceCellId,targetKind,targetId,targetParameterKey,operation,rawUnits,unitKey,formattedDelta,stackingPolicy,dataMaturity
"array_candidate_i001_blue_randomaffix","I001","I001@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i001_green_signature","I001","I001@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i001","signaturePayload","AddFlat",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i001_orange_famenbuildstage","I001","I001@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:6","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i001_purple_coreeffect","I001","I001@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i001_04","corePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i001_white_stat","I001","I001@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",1,"point","+1点","Additive","BALANCE_CANDIDATE"
"array_candidate_i002_blue_coreeffect","I002","I002@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i002_03","corePayload","AddPercent",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i002_green_randomaffix","I002","I002@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",125,"basisPoint","+1.25%","Additive","BALANCE_CANDIDATE"
"array_candidate_i002_orange_qileibuildstage","I002","I002@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i002_purple_famenbuildstage","I002","I002@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i002_white_signature","I002","I002@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i002","signaturePayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i003_blue_famenbuildstage","I003","I003@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i003_green_coreeffect","I003","I003@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i003_02","corePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
