caseId,area,result,evidence
"candidateModifierCount150","inventory",PASS,"150"
"candidateModifierBaseCount30","inventory",PASS,"30"
"candidateModifierRarityVersionCount150","inventory",PASS,"150"
"candidateModifierMaturity","inventory",PASS,"BALANCE_CANDIDATE"
"candidateModifierUniqueIds","inventory",PASS,"unique=150"
"targetCoverage_Stat","target-coverage",PASS,"Stat=25"
"targetCoverage_Signature","target-coverage",PASS,"Signature=25"
"targetCoverage_RandomAffix","target-coverage",PASS,"RandomAffix=25"
"targetCoverage_CoreEffect","target-coverage",PASS,"CoreEffect=25"
"targetCoverage_FaMenBuildStage","target-coverage",PASS,"FaMenBuildStage=25"
"targetCoverage_QiLeiBuildStage","target-coverage",PASS,"QiLeiBuildStage=25"
"basisPoint500FormatsPlus5Percent","format",PASS,"+5%"
"inactiveArrayReturnsZero","resolve",PASS,"resolved=0"
"activeArrayReturnsInlineModifier","resolve",PASS,"伤害：18 <color=#55C6B3><b>[Icon_ArrayVeinModifier] +1点</b></color>"
"coreLockedDoesNotShowModifier","resolve",PASS,"core target requires active core id"
"buildInactiveDoesNotShowModifier","resolve",PASS,"build stage target requires active stage"
"arrayModifierColorDefault","theme",PASS,"#55C6B3"
"arrayModifierIconKey","theme",PASS,"Icon_ArrayVeinModifier"
"headerClearsThirdBadge","source-guard",PASS,"third badge cleared at bind time"
"headerHasNoAwakeningBadgeText","source-guard",PASS,"SetStatusBadges no longer emits awakening badge labels"
"currentStateHasOnlyLightingAndArray","source-guard",PASS,"BuildCurrentStateSection excludes awakening/build/relay status rows"
"noStandaloneArrayModifierSection","source-guard",PASS,"no standalone player section created"
"noEmojiOrUnicodeIconFallback","source-guard",PASS,"icon token is key-based, not emoji/unicode art"
"arrayModifierTokenRenderedAsSprite","source-guard",PASS,"ItemDetailSectionView consumes Icon_ArrayVeinModifier key and renders a Sprite overlay instead of player-visible text."
"workbenchCanViewAndEditCandidateModifiers","source-guard",PASS,"Workbench exposes BALANCE_CANDIDATE array modifiers and supports idempotent modifierId edits."
"protectedPrefabHashStable","protected-hash",PASS,"2A6924DA0823B74E2639B593926D8C2F8422101B01EDBE4073AF33CD424E027C -> 2A6924DA0823B74E2639B593926D8C2F8422101B01EDBE4073AF33CD424E027C"
"protectedSceneHashStable","protected-hash",PASS,"B9FE67C65710200DD987E09A617CCC73E58BC00C59153A1D8CB6361AAF29434F -> B9FE67C65710200DD987E09A617CCC73E58BC00C59153A1D8CB6361AAF29434F"
"protectedBuildSettingsHashStable","protected-hash",PASS,"08A277E3CA465A44E792318C0D3C210AFDBA61069F1170B74FA5A1A18598FE59 -> 08A277E3CA465A44E792318C0D3C210AFDBA61069F1170B74FA5A1A18598FE59"
