category,dropRequestId,stageNumber,rootSeed,selectedBaseItemId,selectedRarity,buildQualification,generatedSchema,result
"candidate","DROP-CAND-0",1,0,"I020","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-1",1,1,"I022","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-2",1,2,"I022","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-3",1,3,"I013","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-4",1,4,"I015","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-5",1,5,"I021","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-6",1,6,"I011","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-7",1,7,"I016","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-8",1,8,"I030","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-9",1,9,"I023","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-10",1,10,"I029","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-11",1,11,"I018","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-12",1,12,"I030","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-13",1,13,"I003","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-14",1,14,"I018","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-15",1,15,"I028","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-16",1,16,"I022","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-17",1,17,"I029","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-18",1,18,"I030","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-19",1,19,"I030","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-20",1,20,"I011","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-21",1,21,"I030","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-22",1,22,"I030","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-23",1,23,"I024","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-24",1,24,"I014","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-25",1,25,"I024","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-26",1,26,"I016","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-27",1,27,"I028","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-28",1,28,"I003","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"candidate","DROP-CAND-29",1,29,"I018","white","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-0",11,0,"I001","green","FaMenOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-1",11,1,"I001","blue","QiLeiOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-2",11,2,"I001","green","FaMenOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-3",11,3,"I001","green","FaMenOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-4",11,4,"I001","blue","QiLeiOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-5",11,5,"I001","purple","Dual","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-6",11,6,"I001","green","FaMenOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-7",11,7,"I001","orange","None","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-8",11,8,"I001","blue","QiLeiOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
"stage11","DROP-HIGH-9",11,9,"I001","green","FaMenOnly","ItemGeneratedInstanceSnapshot.v1","PASS"
