scenarioId,itemSourceSignature,encounterId,chapterLabelDevOnly,evaluationStatus,readinessBand,knownRequirementCount,unknownRequirementCount,metRequirementCount,gapCount,supportedCapabilities,unknownCapabilities,resultCanonicalSignature,notes
"COOLDOWN_SUPPORTED","ibcrbba683ec5895b26197cba2d026775f091abcfded866c127bba8a6c0acab47e77","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:90d24f2e5f819f5b2f3f48cb45e2bdc7fd866b8e848e332e8938bcbb2611186c","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"COOLDOWN_SUPPORTED","ibcrbba683ec5895b26197cba2d026775f091abcfded866c127bba8a6c0acab47e77","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:cf01f9831adecc6b0b566861aa4b21bcb0742d2bdcab98210b2a29745cc7d136","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"COOLDOWN_SUPPORTED","ibcrbba683ec5895b26197cba2d026775f091abcfded866c127bba8a6c0acab47e77","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:f93823f7cc5f9635d0bab20ae3bb7d7c43c2bcf79772af792ae337d0e0ebb44b","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"COOLDOWN_SUPPORTED","ibcrbba683ec5895b26197cba2d026775f091abcfded866c127bba8a6c0acab47e77","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:5e546de434340650eba547842e991a5d4f8a567abb26ea27bb8cf11d2e64703e","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"DEFENSE_SUPPORTED","ibcrbf413ab830701d60e70a987eb79c78b67c0d038bde453302fa9945989566cacb","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","capability.guard_power","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:14e22781257d05bf84dbea5c2dc68b7cde0903907982c999df6d4e147a99fd29","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"DEFENSE_SUPPORTED","ibcrbf413ab830701d60e70a987eb79c78b67c0d038bde453302fa9945989566cacb","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:2ee19bca1190ec3845062b710da9868dba2f92a431ff5980314d4b9d54006f1b","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"DEFENSE_SUPPORTED","ibcrbf413ab830701d60e70a987eb79c78b67c0d038bde453302fa9945989566cacb","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:703cf232e5fa5315f247605f5a8bf666366aba97ed29b393502e4f73b4c24812","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"DEFENSE_SUPPORTED","ibcrbf413ab830701d60e70a987eb79c78b67c0d038bde453302fa9945989566cacb","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:516689f6abd4114afaed3e50a76c4584d7d387b416030a9223473e89326f13aa","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"EMPTY","ibcr64116eeb379e47302620bbaeb13ae1794d6ebcac69b9d8600816976d327bfc82","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:5aedef0fc6f1d1abb644a1d37a41298bd78276698cd5ae474d88d852693ac541","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"EMPTY","ibcr64116eeb379e47302620bbaeb13ae1794d6ebcac69b9d8600816976d327bfc82","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:9336a77b61f686f96ddc550391e24d36f7f9cc600f7551eff17b9b1127f9a495","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
