classification,itemId,displayName,itemFamily,baseItemId,tier,relationshipToBase,devOnly,isEnabled,sourceScope,notes
v02_v03_basic_item,fire_talisman_basic,火符,fire_talisman,fire_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,thunder_talisman_basic,雷符,thunder_talisman,thunder_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,shield_talisman_basic,护身符,guardian_ward,shield_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,qi_pill_basic,丹药,pill,qi_pill_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,spirit_stone_basic,聚灵石,spirit_stone,spirit_stone_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,sword_pill_basic,剑丸,sword_pill,sword_pill_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,chain_thunder_talisman_basic,连锁雷符,chain_thunder_talisman,chain_thunder_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,purify_talisman_basic,净化符,purify_talisman,purify_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,soul_suppress_talisman_basic,镇魂符,soul_suppress_talisman,soul_suppress_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,seal_basic,法印,seal,seal_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,water_talisman_basic,水符,water_talisman,water_talisman_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,exorcism_bell_basic,驱邪铃,exorcism_bell,exorcism_bell_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v02_v03_basic_item,peach_wood_basic,桃木牌,peach_wood,peach_wood_basic,basic,base,False,True,v02_v03_formal_reference_read_only,Read-only V0.2/V0.3 base item identity; not modified by BuildSandbox.
v04_advanced_or_new_mechanic_item,preview_fire_talisman,炽火符,fire_talisman,fire_talisman_basic,advanced,advanced_variant,True,False,buildsandbox_devonly_preview,V0.4 fire escalation; keeps fire_talisman_basic as the formal base item.
v04_advanced_or_new_mechanic_item,preview_thunder_sword,雷引剑符,thunder_talisman,thunder_talisman_basic,advanced,advanced_variant,True,False,buildsandbox_devonly_preview,V0.4 thunder/sword build piece; does not replace thunder_talisman_basic or chain_thunder_talisman_basic.
v04_advanced_or_new_mechanic_item,preview_x2_wood_talisman,护阵木牌,guardian_ward,shield_talisman_basic,support,support_variant,True,False,buildsandbox_devonly_preview,V0.4 support ward plate; shield_talisman_basic remains the basic defense item.
v04_advanced_or_new_mechanic_item,preview_guard_wood,守护木牌,guardian_ward,shield_talisman_basic,support,support_variant,True,False,buildsandbox_devonly_preview,V0.4 support guard piece; not a shield_talisman_basic replacement.
v04_advanced_or_new_mechanic_item,preview_cleanse_corner,净化折符,purify_talisman,purify_talisman_basic,advanced,advanced_variant,True,False,buildsandbox_devonly_preview,V0.4 folded cleanse shape; purify_talisman_basic remains the basic cleanse item.
v04_advanced_or_new_mechanic_item,preview_stone_core,炉芯石,furnace_core,,core,new_mechanic,True,False,buildsandbox_devonly_preview,V0.4 core mechanism seed; no V0.2/V0.3 base item is replaced.
v04_advanced_or_new_mechanic_item,preview_energy_incense,醒符香,awakening_incense,,support,new_mechanic,True,False,buildsandbox_devonly_preview,V0.4 rhythm/awakening support seed; no formal consumable flow is enabled.
v04_advanced_or_new_mechanic_item,preview_old_bell,镇邪铃,exorcism_bell,exorcism_bell_basic,advanced,advanced_variant,True,False,buildsandbox_devonly_preview,V0.4 bell variant; exorcism_bell_basic remains the basic bell item.
v04_advanced_or_new_mechanic_item,preview_soul_seal,镇魂法印,soul_suppress_seal,seal_basic,core,advanced_variant,True,False,buildsandbox_devonly_preview,V0.4 soul-control seal; seal_basic and soul_suppress_talisman_basic remain separate basic items.
v04_advanced_or_new_mechanic_item,preview_taomu_sword,桃木剑,peach_wood,peach_wood_basic,advanced,advanced_variant,True,False,buildsandbox_devonly_preview,V0.4 peach-wood weapon variant; peach_wood_basic remains the basic plate item.
