scenarioId,marker,result,detail
"P2-01","AWAKENING_FOUR_DEFINITIONS_120_PASS","PASS","PASS"
"P2-02","RUNTIME_IDENTITY_CATALOG_V2_120_PASS","PASS","PASS"
"P2-03","RUNTIME_STATE_V2_FOUR_ROWS_PASS","PASS","PASS"
"P2-04","OPTION_C_ACTIVE_FORMULA_PASS","PASS","PASS"
"P2-05","CORE4_RESERVED_ZERO_FORMAL_ROWS_PASS","PASS","PASS"
"P2-06","V1_EVIDENCE_RETAINED_PASS","PASS","PASS"
"P2-07","INVENTORY_BOARD_TRANSITIONS_PASS","PASS","PASS"
"P2-08","I031_EXCLUSION_PASS","PASS","PASS"
"P2-09","ATOMIC_COMMIT_PASS","PASS","PASS"
"P2-10","NO_OP_STABILITY_PASS","PASS","PASS"
"P2-11","REAL_RUNTIME_STATE_ASSEMBLY_PASS","PASS","PASS"
"P2-12","P1_PROTECTED_HASHES_PASS","PASS","PASS"
"P2-13","PRESENTATION_PROTECTED_HASHES_PASS","PASS","PASS"
"P2-14","LEAKCHECK_PASS","PASS","PASS"
"P2-15","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","PASS"
