scenario,itemInstanceId,baseItemId,rarity,location,placementId,cultivationLevel,cultivationSource,nodeKind,candidateDefinitionId,awakeningNodeId,eligibleFact,visibleFact,unlockedFact,litFact,activeFact,stateCompleteness
"BoardLitAfterMove","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"BoardLitAfterMove","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"BoardLitAfterMove","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"BoardLitAfterMove","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"BoardUnlit","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownFalse","KnownFalse","Complete"
"BoardUnlit","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","KnownFalse","KnownFalse","Complete"
"BoardUnlit","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownTrue","KnownTrue","KnownTrue","KnownFalse","KnownFalse","Complete"
"BoardUnlit","wb_i001_orange_404310001","I001","Orange","Board","P_BOARD_I001","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownTrue","KnownTrue","KnownTrue","KnownFalse","KnownFalse","Complete"
"InventoryBaseline","wb_i001_orange_404310001","I001","Orange","Inventory","","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","NotApplicable","NotApplicable","Complete"
"InventoryBaseline","wb_i001_orange_404310001","I001","Orange","Inventory","","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","NotApplicable","NotApplicable","Complete"
"InventoryBaseline","wb_i001_orange_404310001","I001","Orange","Inventory","","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownTrue","KnownTrue","KnownTrue","NotApplicable","NotApplicable","Complete"
"InventoryBaseline","wb_i001_orange_404310001","I001","Orange","Inventory","","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownTrue","KnownTrue","KnownTrue","NotApplicable","NotApplicable","Complete"
"OptionC_blue","wb_i001_blue_404319001","I001","Blue","Board","P_OPTION_C_BLUE","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_blue","wb_i001_blue_404319001","I001","Blue","Board","P_OPTION_C_BLUE","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_blue","wb_i001_blue_404319001","I001","Blue","Board","P_OPTION_C_BLUE","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_blue","wb_i001_blue_404319001","I001","Blue","Board","P_OPTION_C_BLUE","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownFalse","KnownFalse","KnownTrue","KnownTrue","KnownFalse","Complete"
"OptionC_green","wb_i001_green_404319001","I001","Green","Board","P_OPTION_C_GREEN","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_green","wb_i001_green_404319001","I001","Green","Board","P_OPTION_C_GREEN","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_green","wb_i001_green_404319001","I001","Green","Board","P_OPTION_C_GREEN","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownFalse","KnownFalse","KnownTrue","KnownTrue","KnownFalse","Complete"
"OptionC_green","wb_i001_green_404319001","I001","Green","Board","P_OPTION_C_GREEN","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownFalse","KnownFalse","KnownTrue","KnownTrue","KnownFalse","Complete"
"OptionC_orange","wb_i001_orange_404319001","I001","Orange","Board","P_OPTION_C_ORANGE","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_orange","wb_i001_orange_404319001","I001","Orange","Board","P_OPTION_C_ORANGE","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_orange","wb_i001_orange_404319001","I001","Orange","Board","P_OPTION_C_ORANGE","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_orange","wb_i001_orange_404319001","I001","Orange","Board","P_OPTION_C_ORANGE","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_purple","wb_i001_purple_404319001","I001","Purple","Board","P_OPTION_C_PURPLE","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_purple","wb_i001_purple_404319001","I001","Purple","Board","P_OPTION_C_PURPLE","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_purple","wb_i001_purple_404319001","I001","Purple","Board","P_OPTION_C_PURPLE","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_purple","wb_i001_purple_404319001","I001","Purple","Board","P_OPTION_C_PURPLE","40","BattleSandboxDevHandtestAllLv40","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","KnownFalse","KnownFalse","KnownTrue","KnownTrue","KnownFalse","Complete"
"OptionC_white","wb_i001_white_404319001","I001","White","Board","P_OPTION_C_WHITE","40","BattleSandboxDevHandtestAllLv40","Core1","candidate_core_i001_01","I001_CORE_01","KnownTrue","KnownTrue","KnownTrue","KnownTrue","KnownTrue","Complete"
"OptionC_white","wb_i001_white_404319001","I001","White","Board","P_OPTION_C_WHITE","40","BattleSandboxDevHandtestAllLv40","Core2","candidate_core_i001_02","I001_CORE_02","KnownFalse","KnownFalse","KnownTrue","KnownTrue","KnownFalse","Complete"
"OptionC_white","wb_i001_white_404319001","I001","White","Board","P_OPTION_C_WHITE","40","BattleSandboxDevHandtestAllLv40","Core3","candidate_core_i001_03","I001_CORE_03","KnownFalse","KnownFalse","KnownTrue","KnownTrue","KnownFalse","Complete"
