sampleKey,baseItemId,rarity,rootSeed,preRollHash,postRollHash,preProjectionHash,postProjectionHash,preProtectedFactHash,postProtectedFactHash,preEligibleIds,postEligibleIds,allowedDelta,status
I001@blue,I001,blue,410012,33b57e3066eea66e7982fccb1a78c0e8f02a6880f7af3e3bbe2845a66387f9d6,33b57e3066eea66e7982fccb1a78c0e8f02a6880f7af3e3bbe2845a66387f9d6,ae650bcb42992182649d76b22e00ed73306505826df5766be4b56003fb97346b,ae650bcb42992182649d76b22e00ed73306505826df5766be4b56003fb97346b,91f67328306405f41d8406cbc6e6e3faa2d06a5abbe76d6f59e06309593cd079,91f67328306405f41d8406cbc6e6e3faa2d06a5abbe76d6f59e06309593cd079,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,NONE,PASS
I001@green,I001,green,410011,260f30bb91d0e2e23c7c8f82ee13d7ca3f62c3f970d19702044b15cabc5d875f,260f30bb91d0e2e23c7c8f82ee13d7ca3f62c3f970d19702044b15cabc5d875f,ff3db8834b99c0f746331a6df055e04422cf64b26a0eda04af30bd246b386097,ff3db8834b99c0f746331a6df055e04422cf64b26a0eda04af30bd246b386097,53be0a0779daa780c4eb309a7114b0b309e26a4da3c356accfafadacce6c4082,53be0a0779daa780c4eb309a7114b0b309e26a4da3c356accfafadacce6c4082,candidate_core_i001_01|candidate_core_i001_02,candidate_core_i001_01|candidate_core_i001_02,NONE,PASS
I001@orange,I001,orange,410014,6f3d27c5b48c412164163bfe7001421a60ea8f7f1ef6a842b095201b608aa17a,c499712011f2c64d7184851522cae53107263245ccaa305063c3dac3c01863dc,4583e1326c9ae82dfa97badbd8e1662724bcf23b17a32c850ee5d3f614ae6ffd,073017a631010ffa14ed3c8cc952f22b9f2b6336efacc7cf9d6eb1782a1ecd2d,d65a59c1b82f1ee95873a1347fc7b3ee07b0b828d94855d75c6d09fe0aa6da43,d65a59c1b82f1ee95873a1347fc7b3ee07b0b828d94855d75c6d09fe0aa6da43,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03|candidate_core_i001_04|candidate_core_i001_ultimate,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03|candidate_core_i001_ultimate,REMOVE_04_KEEP_ULT,PASS
I001@purple,I001,purple,410013,9c98d0755bfa8fe5e33b3a753857219c39178a146e42326e11294d233749ecc0,14f6fdc66783cb3f73d94bcd2c2db19cfb56e74ff641683e1bb9247928d1e22c,2c718e685b6d8ceccc8e13c5b3cf702986521fe7bf6e54f4924042529893c46e,77f46ef6454fd0b8bbf87ad1c2e68d6f6ae2ceabad7e02cbc5bf10039c2ab4e2,a3b2bea4d5cfdfa8b8580ce8fc2502aa7052768707f5387afe51c3f968e2928e,a3b2bea4d5cfdfa8b8580ce8fc2502aa7052768707f5387afe51c3f968e2928e,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03|candidate_core_i001_04,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,REMOVE_04,PASS
I001@white,I001,white,410010,ec1a188783938fa793440b2018d035116deef511fa0e0e81d4a851f7e8d27655,ec1a188783938fa793440b2018d035116deef511fa0e0e81d4a851f7e8d27655,76e598de23e9c3aada147707441ffa12d3c41f668997e23f6825aab2d9f58c71,76e598de23e9c3aada147707441ffa12d3c41f668997e23f6825aab2d9f58c71,ca9cfbc49be4c96bd8de8e73e577a0ec0c62fb4d961ff8485b11050f049641ba,ca9cfbc49be4c96bd8de8e73e577a0ec0c62fb4d961ff8485b11050f049641ba,candidate_core_i001_01,candidate_core_i001_01,NONE,PASS
I002@blue,I002,blue,410022,fa9f712fb40a4010a742a56230597ac2650bc62a8a7c415b8f99f407d93fc3e3,fa9f712fb40a4010a742a56230597ac2650bc62a8a7c415b8f99f407d93fc3e3,538854060fefbc73afdca9146179fb38a6d6df966639c2006b19e50e52ba9976,538854060fefbc73afdca9146179fb38a6d6df966639c2006b19e50e52ba9976,ce36d8619a333422d6922ba59c47ab931a7925df8e04561a1d5203e906e950f1,ce36d8619a333422d6922ba59c47ab931a7925df8e04561a1d5203e906e950f1,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,NONE,PASS
I002@green,I002,green,410021,929670a8868790d7fe6b2b012ce4a1ea3af49d1a80c204fd58bd05251b6bdb00,929670a8868790d7fe6b2b012ce4a1ea3af49d1a80c204fd58bd05251b6bdb00,c9120f8dd96ffed9c19c3e81c0b75f10617b328241a311948cf56ab45647b6f5,c9120f8dd96ffed9c19c3e81c0b75f10617b328241a311948cf56ab45647b6f5,dd9544175be9891736b00dffdf59ea61c846cf656e74888c71b35db4eb7e2bfb,dd9544175be9891736b00dffdf59ea61c846cf656e74888c71b35db4eb7e2bfb,candidate_core_i002_01|candidate_core_i002_02,candidate_core_i002_01|candidate_core_i002_02,NONE,PASS
I002@orange,I002,orange,410024,d8960e4a8e7044b0cb8a0ee84499352eb11223832c918b48fd1d16b1f362c923,e3a7e14988c216feae96733d47cc9ea6311b8044ff23cafaa6e8227d5316db14,1f82f2d189035d011c88f5839d0111eb381e45a89ea85bcd93c5db45ae628b52,42c5727370c749ae461dcde8f9b09afd50b8dac106d6f0c083a588f997960eb9,960c4fb2bbacc48c2cb8d8fc550da9b4d57f0288f13e4e2357289a2cb5b02e5f,960c4fb2bbacc48c2cb8d8fc550da9b4d57f0288f13e4e2357289a2cb5b02e5f,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03|candidate_core_i002_04|candidate_core_i002_ultimate,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03|candidate_core_i002_ultimate,REMOVE_04_KEEP_ULT,PASS
I002@purple,I002,purple,410023,8f466dd8e514ab6a0aba83d836ed12f4f781684cce563c257f244f21023fe831,854e833a84682e699406aa8e6b81b12966914e8b440b1f635c12c7da27f037eb,84dea01580d1f31a7901d4f888edc7b7395d25ac88a2054f61c76f513953509e,e9e8674d076d259476c6b91d1baa0ea2845c358b96d27ab9d898494f66cd4dc2,d5b06905e08851513c2f7a90bd04de8deea27e2959410c9bd35180d203585c27,d5b06905e08851513c2f7a90bd04de8deea27e2959410c9bd35180d203585c27,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03|candidate_core_i002_04,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,REMOVE_04,PASS
I002@white,I002,white,410020,09a90d15970f11d10388a2f07dcc4096dede7e44ee4f706016e5da8153002fd6,09a90d15970f11d10388a2f07dcc4096dede7e44ee4f706016e5da8153002fd6,32841ebd9a5c2b617754dfe52522805cf9b30976702e3411d6f3e9f678054845,32841ebd9a5c2b617754dfe52522805cf9b30976702e3411d6f3e9f678054845,3b14b5993dbebcd497798d5581443607149facb0c67394b891aeb3fadefa5c09,3b14b5993dbebcd497798d5581443607149facb0c67394b891aeb3fadefa5c09,candidate_core_i002_01,candidate_core_i002_01,NONE,PASS
