id,marker,result,detail
"P3-01","COMPONENT_FIXTURE_PASS","PASS","PASS"
"P3-02","FOUR_CORE_VISIBLE_COUNT_12334_PASS","PASS","PASS"
"P3-03","INVENTORY_BOARD_CORE_STATE_PASS","PASS","PASS"
"P3-04","REAL_RUNTIME_PATH_PASS","PASS","PASS"
"P3-05","BUILD_TRACK_COEXISTENCE_PASS","PASS","PASS"
"P3-06","ITEMSANDBOX_FOUR_CORE_BASELINE_PASS","PASS","PASS"
"P3-07","ULTIMATE_FOURTH_ROW_PASS","PASS","PASS"
"P3-08","UNKNOWN_INVALID_STALE_REJECTION_PASS","PASS","PASS"
"P3-09","I031_EXCLUSION_PASS","PASS","PASS"
"P3-10","SCENE_AUTHORED_PANEL_BIND_PASS","PASS","PASS"
"P3-11","CANONICAL_IMMUTABLE_PASS","PASS","PASS"
"P3-12","P1_P2_PROTECTED_HASHES_PASS","PASS","PASS"
"P3-13","PRESENTATION_PROTECTED_HASHES_PASS","PASS","PASS"
"P3-14","LEAKCHECK_PASS","PASS","PASS"
"P3-15","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","PASS"
