scenario,baseItemId,location,buildStatus,coreStatus,visibleRows,coreCanonical
"Rarity-white","I001","Inventory","NotApplicable","Complete",1,"456df16c9c79ec8adbba3a54fa3e40a4a6e845ac7c8454a2fc5a39522bfb43a8"
"Rarity-green","I001","Inventory","NotApplicable","Complete",2,"107ec84d28c33acecb6788c64d12a961f3b72035d9fe7324a4a52a84805fc9ac"
"Rarity-blue","I001","Inventory","NotApplicable","Complete",3,"6a12cba9837587f20b6f49ac327ceee8054de66dfb107995559ad2696dc02f29"
"Rarity-purple","I001","Inventory","NotApplicable","Complete",3,"4a4fb9b3d61d97e4d4b55e79ab49f91c6583f0203bb501db1b0804e695353eb7"
"Rarity-orange","I001","Inventory","NotApplicable","Complete",4,"af61e43a4417ddd52ff005dc6c68fc4eb3e82973946dc99fc47a78ca045c2948"
"Inventory","I001","Inventory","Complete","Complete",4,"73d9fec13673c0699065feb034d4d0fcd0a88bd8e32d0caec09cbf8627d4f521"
"BoardUnlit","I001","Board","Complete","Complete",4,"cdd7b5843f21fe01d4959027e3f7d705850a183de13bfd717562a5517162d52d"
"BoardLitAfterMove","I001","Board","Complete","Complete",4,"4e586c59d0e98a516cf19f23d9eff89b3d2ba1162f7db8b5a6e1d8311f9964b6"
"ReturnToInventory","I001","Inventory","Complete","Complete",4,"1e6ec088996172b25f060ea5992080ae91869cc51fbc27a63e05fa2819a1a5f6"
"I001-Inventory","I001","Inventory","Complete","Complete",4,"73d9fec13673c0699065feb034d4d0fcd0a88bd8e32d0caec09cbf8627d4f521"
"I004-Inventory","I004","Inventory","Complete","Complete",4,"f751e5cbee236a8a876cc52063b00eac4475f20d20dce83ec2ac0041fbaaaac0"
"I006-Inventory","I006","Inventory","Complete","Complete",4,"e0fbae8c2b74aad3607d02c04ba1a7ef53ec7dfc9e93a369db5d12390d52bc8e"
"I009-Inventory","I009","Inventory","Complete","Complete",4,"70d77e5194f02bd674ba177c45c1eb90f2efe205b235865841ed063ccb27454b"
