context,baseItemId,rarity,fieldKind,displayName,source,playerProjection,debugProjection,status
"GeneratedInstance","I001","white","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","8","候选区间：5 ～ 8","PASS"
"GeneratedInstance","I001","white","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：5回合 ～ 6回合","PASS"
"GeneratedInstance","I001","white","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","8","候选区间：8 ～ 12","PASS"
"GeneratedInstance","I001","white","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4点","候选区间：4点 ～ 5点","PASS"
"GeneratedInstance","I001","white","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+2.82%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","white","affix","冷却缩减","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+3.4%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","white","identity","震雷符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I001","white","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I001","white","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I001","green","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","9","候选区间：7 ～ 10","PASS"
"GeneratedInstance","I001","green","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：5回合 ～ 5回合","PASS"
"GeneratedInstance","I001","green","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","15","候选区间：11 ～ 16","PASS"
"GeneratedInstance","I001","green","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4点","候选区间：4点 ～ 4点","PASS"
"GeneratedInstance","I001","green","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+4.36%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","green","affix","破盾提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+4.45%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","green","identity","震雷符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I001","green","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I001","green","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I001","blue","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","9","候选区间：9 ～ 13","PASS"
"GeneratedInstance","I001","blue","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4回合","候选区间：4回合 ～ 5回合","PASS"
"GeneratedInstance","I001","blue","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","18","候选区间：15 ～ 20","PASS"
"GeneratedInstance","I001","blue","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3点","候选区间：3点 ～ 4点","PASS"
"GeneratedInstance","I001","blue","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+6.43%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","blue","affix","冷却缩减","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+5.77%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","blue","identity","震雷符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I001","blue","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I001","blue","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
