token,hex,serializedSource,status
"page","#171613","ItemDetailVisualTheme.pageBackground","PASS"
"card","#242019","ItemDetailVisualTheme.cardBackground","PASS"
"secondaryCard","#30291F","ItemDetailVisualTheme.secondaryCardBackground","PASS"
"title","#B99A61","ItemDetailVisualTheme.titleText","PASS"
"body","#D8CCB7","ItemDetailVisualTheme.bodyText","PASS"
"secondary","#998F7C","ItemDetailVisualTheme.secondaryText","PASS"
"weak","#81796D","ItemDetailVisualTheme.weakText","PASS"
"restriction","#C94E3B","ItemDetailVisualTheme.restrictionText","PASS"
"buildActive","#82AE4F","ItemDetailVisualTheme.buildActive","PASS"
"buildNear","#C0A45E","ItemDetailVisualTheme.buildNearActive","PASS"
"buildInactive","#716F69","ItemDetailVisualTheme.buildInactive","PASS"
"white","#E3D8C3","ItemDetailVisualTheme.rarityWhite","PASS"
"green","#87B66A","ItemDetailVisualTheme.rarityGreen","PASS"
"blue","#68A9E6","ItemDetailVisualTheme.rarityBlue","PASS"
"purple","#B27DDF","ItemDetailVisualTheme.rarityPurple","PASS"
"orange","#E4A14B","ItemDetailVisualTheme.rarityOrange","PASS"
