caseId,firstRootSeed,domain,expectedSignature,actualSignature,repeatCount,result
"affix-entry-reversal",410000,"affix pool entries reversed","7D5DFD2258D7B3AC","7D5DFD2258D7B3AC",4096,"PASS"
"batched-vs-single-by-seed",100000,"two 15000 batches aggregated by seed","6771E937C9C84B95","6771E937C9C84B95",30000,"PASS"
"build-entry-reversal",400000,"Build profile entries reversed","0AEF6F02423EFAB0","0AEF6F02423EFAB0",4096,"PASS"
"candidate-entry-reversal",100000,"candidate entries reversed","56A0236F64311074","56A0236F64311074",30000,"PASS"
"extreme-seed-0000000000000000",0,"extreme rootSeed","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY",1,"PASS"
"extreme-seed-0000000000000001",1,"extreme rootSeed","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY",1,"PASS"
"extreme-seed-7FFFFFFFFFFFFFFF",9223372036854775807,"extreme rootSeed","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY",1,"PASS"
"extreme-seed-8000000000000000",9223372036854775808,"extreme rootSeed","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY",1,"PASS"
"extreme-seed-FFFFFFFFFFFFFFFF",18446744073709551615,"extreme rootSeed","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY","schemaId=29:ItemDropGenerationSnapshot.v1 / dropAlgorithmId=23:item-drop-generation-v1 / generationDataStatus=63:QA_FIXTURE_ONLY",1,"PASS"
"rarity-entry-reversal",300000,"rarity entries reversed","9878CC0C90A80AF2","9878CC0C90A80AF2",30000,"PASS"
"same-complete-input-replay",100000,"same complete simulation input","56A0236F64311074","56A0236F64311074",30000,"PASS"
"ulong-sequence-wrap",18446744073709551613,"unchecked ulong wrap","3E771C31E782A77A","3E771C31E782A77A",6,"PASS"
