scenarioId,dimensionKey,bucketKey,weight,observedCount,observedRatio,expectedCount,expectedRatio,absoluteDelta,zScore,isPass
"B_CANDIDATE_EQUAL_30","candidate","I001",1,989,0.032967,1000.000000,0.033333,11.000000,0.353797,true
"B_CANDIDATE_EQUAL_30","candidate","I002",1,1018,0.033933,1000.000000,0.033333,18.000000,0.578941,true
"B_CANDIDATE_EQUAL_30","candidate","I003",1,1037,0.034567,1000.000000,0.033333,37.000000,1.190045,true
"B_CANDIDATE_EQUAL_30","candidate","I004",1,1001,0.033367,1000.000000,0.033333,1.000000,0.032163,true
"B_CANDIDATE_EQUAL_30","candidate","I005",1,978,0.032600,1000.000000,0.033333,22.000000,0.707594,true
"B_CANDIDATE_EQUAL_30","candidate","I006",1,1014,0.033800,1000.000000,0.033333,14.000000,0.450287,true
"B_CANDIDATE_EQUAL_30","candidate","I007",1,1013,0.033767,1000.000000,0.033333,13.000000,0.418124,true
"B_CANDIDATE_EQUAL_30","candidate","I008",1,1016,0.033867,1000.000000,0.033333,16.000000,0.514614,true
"B_CANDIDATE_EQUAL_30","candidate","I009",1,995,0.033167,1000.000000,0.033333,5.000000,0.160817,true
"B_CANDIDATE_EQUAL_30","candidate","I010",1,988,0.032933,1000.000000,0.033333,12.000000,0.385961,true
"B_CANDIDATE_EQUAL_30","candidate","I011",1,970,0.032333,1000.000000,0.033333,30.000000,0.964901,true
"B_CANDIDATE_EQUAL_30","candidate","I012",1,1019,0.033967,1000.000000,0.033333,19.000000,0.611104,true
"B_CANDIDATE_EQUAL_30","candidate","I013",1,964,0.032133,1000.000000,0.033333,36.000000,1.157882,true
"B_CANDIDATE_EQUAL_30","candidate","I014",1,996,0.033200,1000.000000,0.033333,4.000000,0.128654,true
"B_CANDIDATE_EQUAL_30","candidate","I015",1,1030,0.034333,1000.000000,0.033333,30.000000,0.964901,true
"B_CANDIDATE_EQUAL_30","candidate","I016",1,1011,0.033700,1000.000000,0.033333,11.000000,0.353797,true
"B_CANDIDATE_EQUAL_30","candidate","I017",1,993,0.033100,1000.000000,0.033333,7.000000,0.225144,true
"B_CANDIDATE_EQUAL_30","candidate","I018",1,1015,0.033833,1000.000000,0.033333,15.000000,0.482451,true
"B_CANDIDATE_EQUAL_30","candidate","I019",1,964,0.032133,1000.000000,0.033333,36.000000,1.157882,true
"B_CANDIDATE_EQUAL_30","candidate","I020",1,1001,0.033367,1000.000000,0.033333,1.000000,0.032163,true
"B_CANDIDATE_EQUAL_30","candidate","I021",1,994,0.033133,1000.000000,0.033333,6.000000,0.192980,true
"B_CANDIDATE_EQUAL_30","candidate","I022",1,977,0.032567,1000.000000,0.033333,23.000000,0.739758,true
"B_CANDIDATE_EQUAL_30","candidate","I023",1,1066,0.035533,1000.000000,0.033333,66.000000,2.122783,true
"B_CANDIDATE_EQUAL_30","candidate","I024",1,952,0.031733,1000.000000,0.033333,48.000000,1.543842,true
"B_CANDIDATE_EQUAL_30","candidate","I025",1,951,0.031700,1000.000000,0.033333,49.000000,1.576005,true
"B_CANDIDATE_EQUAL_30","candidate","I026",1,1021,0.034033,1000.000000,0.033333,21.000000,0.675431,true
"B_CANDIDATE_EQUAL_30","candidate","I027",1,1030,0.034333,1000.000000,0.033333,30.000000,0.964901,true
"B_CANDIDATE_EQUAL_30","candidate","I028",1,979,0.032633,1000.000000,0.033333,21.000000,0.675431,true
"B_CANDIDATE_EQUAL_30","candidate","I029",1,976,0.032533,1000.000000,0.033333,24.000000,0.771921,true
"B_CANDIDATE_EQUAL_30","candidate","I030",1,1042,0.034733,1000.000000,0.033333,42.000000,1.350862,true
"B_CANDIDATE_WEIGHTED_QA","candidate","I001",1,2994,0.099800,3000.000000,0.100000,6.000000,0.115470,true
"B_CANDIDATE_WEIGHTED_QA","candidate","I002",3,8985,0.299500,9000.000000,0.300000,15.000000,0.188982,true
"B_CANDIDATE_WEIGHTED_QA","candidate","I003",6,18021,0.600700,18000.000000,0.600000,21.000000,0.247487,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","buildQualification","Dual",56,11198,0.373267,11200.000000,0.373333,2.000000,0.023873,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","buildQualification","FaMenOnly",28,5538,0.184600,5600.000000,0.186667,62.000000,0.918678,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","buildQualification","None",24,4729,0.157633,4800.000000,0.160000,71.000000,1.118145,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","buildQualification","QiLeiOnly",42,8535,0.284500,8400.000000,0.280000,135.000000,1.735913,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","randomAffix","qa_random_a",1,3024,0.100800,3000.000000,0.100000,24.000000,0.461880,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","randomAffix","qa_random_b",3,8851,0.295033,9000.000000,0.300000,149.000000,1.877224,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","randomAffix","qa_random_c",6,18125,0.604167,18000.000000,0.600000,125.000000,1.473139,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","randomAffix","qa_random_zero",0,0,0.000000,0.000000,0.000000,0.000000,0.000000,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","rarity","blue",3,6020,0.200667,6000.000000,0.200000,20.000000,0.288675,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","rarity","green",2,4010,0.133667,4000.000000,0.133333,10.000000,0.169842,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","rarity","orange",5,10094,0.336467,10000.000000,0.333333,94.000000,1.151260,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","rarity","purple",4,7958,0.265267,8000.000000,0.266667,42.000000,0.548345,true
"C_STAGE_11_RARITY_AND_RICH_ROLL","rarity","white",1,1918,0.063933,2000.000000,0.066667,82.000000,1.897931,true
