caseId,category,expected,actual,validationCode,result
"allow-duplicate","scenario","true","true","NONE","PASS"
"build-exact-blue-profile","scenario","true","true","NONE","PASS"
"build-exact-green-profile","scenario","true","true","NONE","PASS"
"build-exact-orange-profile","scenario","true","true","NONE","PASS"
"build-exact-purple-profile","scenario","true","true","NONE","PASS"
"build-profile-corresponding-missing-rejected","build-exact","true","true","NONE","PASS"
"build-profile-mismatched-rejected","build-exact","true","true","NONE","PASS"
"build-profile-swapped-rejected","build-exact","true","true","NONE","PASS"
"candidate-all-30-covered","candidate","true","true","NONE","PASS"
"candidate-equal-distribution","scenario","true","true","NONE","PASS"
"candidate-i031-leak-zero","i031","true","true","NONE","PASS"
"candidate-no-unknown-id","candidate","true","true","NONE","PASS"
"candidate-weight-order-observed","candidate","true","true","NONE","PASS"
"candidate-weighted-distribution","scenario","true","true","NONE","PASS"
"canonical-signature-no-runtime-metadata","canonical","true","true","NONE","PASS"
"core-build-boundaries","core-build","true","true","NONE","PASS"
"core-eligible-visible-boundary","core","true","true","NONE","PASS"
"default-formal-empty-cannot-pass","expected-failure","CORE_PROFILE_MISSING","CORE_PROFILE_MISSING","CORE_PROFILE_MISSING","PASS"
"distribution-collection-read-only","readonly","true","true","NONE","PASS"
"drop-fixture-status-invalid","expected-failure","GENERATION_DATA_STATUS_INVALID","GENERATION_DATA_STATUS_INVALID","GENERATION_DATA_STATUS_INVALID","PASS"
"drop-generation-version-invalid","expected-failure","GENERATION_VERSION_UNSUPPORTED","GENERATION_VERSION_UNSUPPORTED","GENERATION_VERSION_UNSUPPORTED","PASS"
"drop-request-null","expected-failure","REQUEST_NULL","REQUEST_NULL","REQUEST_NULL","PASS"
"duplicate-disallowed","repeat","true","true","NONE","PASS"
"duplicate-independent-values","repeat","true","true","NONE","PASS"
"duplicate-observed","repeat","true","true","NONE","PASS"
"early-stage-i031-leak-zero","i031","true","true","NONE","PASS"
"early-stage-white-lock","scenario","true","true","NONE","PASS"
"endpoint-buckets-all-maximum-covered","range-bucket","true","true","NONE","PASS"
"endpoint-buckets-all-minimum-covered","range-bucket","true","true","NONE","PASS"
"endpoint-buckets-present","range-bucket","true","true","NONE","PASS"
"endpoint-buckets-step-violation-zero","range-bucket","true","true","NONE","PASS"
"expected-failure-codes-exact","failure","true","true","NONE","PASS"
"expected-failure-collection-read-only","readonly","true","true","NONE","PASS"
"expected-failure-suite-canonical-stable","canonical","true","true","NONE","PASS"
"expected-failure-suite-fields-complete","readonly","true","true","NONE","PASS"
"expected-failure-suite-nonempty-count-11","readonly","true","true","NONE","PASS"
"failure-snapshot-null","failure","true","true","NONE","PASS"
"fixed-affix-same-profile-rarity-multiple-values","affix-bucket","true","true","NONE","PASS"
"fixed-affix-value-varies","affix","true","true","NONE","PASS"
"higher-rarity-build-profile-duplicate","expected-failure","BUILD_ROLL_PROFILE_DUPLICATE","BUILD_ROLL_PROFILE_DUPLICATE","BUILD_ROLL_PROFILE_DUPLICATE","PASS"
"higher-rarity-build-profile-match","build","true","true","NONE","PASS"
"higher-rarity-build-profile-missing","expected-failure","BUILD_ROLL_PROFILE_MISSING","BUILD_ROLL_PROFILE_MISSING","BUILD_ROLL_PROFILE_MISSING","PASS"
"i031-injection-explicit-failure","expected-failure","I031_FORBIDDEN","I031_FORBIDDEN","I031_FORBIDDEN","PASS"
"mutex-both-branches-live","mutex","true","true","NONE","PASS"
"mutex-exhaustion-explicit-failure","expected-failure","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","PASS"
"mutex-rules","scenario","true","true","NONE","PASS"
"random-affix-weight-distribution","affix","true","true","NONE","PASS"
"range-endpoints-covered","range","true","true","NONE","PASS"
"rarity-and-rich-roll-distribution","scenario","true","true","NONE","PASS"
"repeat-pool-capacity-insufficient","expected-failure","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","PASS"
"scenario-result-suite-read-only","readonly","true","true","NONE","PASS"
"simulation-fixture-status-invalid","input","SIMULATION_FIXTURE_STATUS_INVALID","SIMULATION_FIXTURE_STATUS_INVALID","SIMULATION_FIXTURE_STATUS_INVALID","PASS"
"simulation-request-null","input","SIMULATION_REQUEST_NULL","SIMULATION_REQUEST_NULL","SIMULATION_REQUEST_NULL","PASS"
"simulation-sample-count-invalid","input","SIMULATION_SAMPLE_COUNT_INVALID","SIMULATION_SAMPLE_COUNT_INVALID","SIMULATION_SAMPLE_COUNT_INVALID","PASS"
"simulation-schema-missing","input","SIMULATION_SCHEMA_INVALID","SIMULATION_SCHEMA_INVALID","SIMULATION_SCHEMA_INVALID","PASS"
"simulation-version-invalid","input","SIMULATION_VERSION_UNSUPPORTED","SIMULATION_VERSION_UNSUPPORTED","SIMULATION_VERSION_UNSUPPORTED","PASS"
"stage11-rarity-policy-unresolved","expected-failure","RARITY_POLICY_UNRESOLVED","RARITY_POLICY_UNRESOLVED","RARITY_POLICY_UNRESOLVED","PASS"
"stat-affix-maximum-endpoint","range","true","true","NONE","PASS"
"stat-affix-minimum-endpoint","range","true","true","NONE","PASS"
"stat-affix-step-alignment","range","true","true","NONE","PASS"
"ultimate-orange-only","core","true","true","NONE","PASS"
"violation-collection-read-only","readonly","true","true","NONE","PASS"
"white-build-none","build","true","true","NONE","PASS"
"zero-weight-bucket-observed-zero","affix","true","true","NONE","PASS"
"zero-weight-entry-rejected-and-never-generated","expected-failure","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","PASS"
