itemId,displayName,itemFamily,faMenTag,qiLeiTag,shapeId,shapeCells,coreCellLocal,displayRarityName,rarityDefault,allowedRarities,itemPower,isLightingSource,iconPlaceholderKey,validation
I001,震雷符,famenCombat,zhenlei,fu,shape_single_1,"(0,0)","(0,0)",白,bai,bai|qing|lan|zi|cheng,,false,i001_placeholder,PASS
I002,五雷急符,famenCombat,zhenlei,fu,shape_line2_h,"(0,0);(1,0)","(0,0)",青,qing,bai|qing|lan|zi|cheng,,false,i002_placeholder,PASS
I003,震雷破壳印,famenCombat,zhenlei,yin,shape_line2_v,"(0,0);(0,1)","(0,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i003_placeholder,PASS
I004,五雷急令,famenCombat,zhenlei,ling,shape_line2_h,"(0,0);(1,0)","(1,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i004_placeholder,PASS
I005,照壳雷镜,famenCombat,zhenlei,jing,shape_line2_v,"(0,0);(0,1)","(0,1)",蓝,lan,bai|qing|lan|zi|cheng,,false,i005_placeholder,PASS
I006,天鼓槌,famenCombat,zhenlei,fa,shape_line2_h,"(0,0);(1,0)","(0,0)",紫,zi,bai|qing|lan|zi|cheng,,false,i006_placeholder,PASS
I007,离火符,famenCombat,lihuo,fu,shape_single_1,"(0,0)","(0,0)",白,bai,bai|qing|lan|zi|cheng,,false,i007_placeholder,PASS
I008,焚邪长符,famenCombat,lihuo,fu,shape_line2_v,"(0,0);(0,1)","(0,0)",青,qing,bai|qing|lan|zi|cheng,,false,i008_placeholder,PASS
I009,离火焚邪印,famenCombat,lihuo,yin,shape_line2_h,"(0,0);(1,0)","(0,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i009_placeholder,PASS
I010,风火令旗,famenCombat,lihuo,ling,shape_line2_v,"(0,0);(0,1)","(0,1)",蓝,lan,bai|qing|lan|zi|cheng,,false,i010_placeholder,PASS
I011,照焚铜镜,famenCombat,lihuo,jing,shape_line2_h,"(0,0);(1,0)","(1,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i011_placeholder,PASS
I012,长明灯,famenCombat,lihuo,fa,shape_line2_v,"(0,0);(0,1)","(0,0)",紫,zi,bai|qing|lan|zi|cheng,,false,i012_placeholder,PASS
I013,护身符,famenCombat,zhongyue,fu,shape_single_1,"(0,0)","(0,0)",白,bai,bai|qing|lan|zi|cheng,,false,i013_placeholder,PASS
I014,镇宅长符,famenCombat,zhongyue,fu,shape_line3_h,"(0,0);(1,0);(2,0)","(1,0)",青,qing,bai|qing|lan|zi|cheng,,false,i014_placeholder,PASS
I015,中岳镇守章,famenCombat,zhongyue,yin,shape_corner3,"(0,0);(1,0);(0,1)","(0,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i015_placeholder,PASS
I016,护坛令旗,famenCombat,zhongyue,ling,shape_line2_v,"(0,0);(0,1)","(0,1)",蓝,lan,bai|qing|lan|zi|cheng,,false,i016_placeholder,PASS
I017,照邪八卦镜,famenCombat,zhongyue,jing,shape_line3_v,"(0,0);(0,1);(0,2)","(0,1)",蓝,lan,bai|qing|lan|zi|cheng,,false,i017_placeholder,PASS
I018,镇山铜鼎,famenCombat,zhongyue,fa,shape_block2x2,"(0,0);(1,0);(0,1);(1,1)","(1,1)",紫,zi,bai|qing|lan|zi|cheng,,false,i018_placeholder,PASS
I019,净水符,famenCombat,xuanshui,fu,shape_single_1,"(0,0)","(0,0)",白,bai,bai|qing|lan|zi|cheng,,false,i019_placeholder,PASS
I020,涤秽长符,famenCombat,xuanshui,fu,shape_line2_v,"(0,0);(0,1)","(0,0)",青,qing,bai|qing|lan|zi|cheng,,false,i020_placeholder,PASS
I021,玄水涤秽印,famenCombat,xuanshui,yin,shape_line2_h,"(0,0);(1,0)","(0,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i021_placeholder,PASS
I022,玄水流令,famenCombat,xuanshui,ling,shape_line2_v,"(0,0);(0,1)","(0,1)",蓝,lan,bai|qing|lan|zi|cheng,,false,i022_placeholder,PASS
I023,照秽水镜,famenCombat,xuanshui,jing,shape_line2_h,"(0,0);(1,0)","(1,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i023_placeholder,PASS
I024,净水盂,famenCombat,xuanshui,fa,shape_corner3,"(0,0);(1,0);(0,1)","(0,0)",紫,zi,bai|qing|lan|zi|cheng,,false,i024_placeholder,PASS
I025,封煞符,famenCombat,taibai,fu,shape_single_1,"(0,0)","(0,0)",白,bai,bai|qing|lan|zi|cheng,,false,i025_placeholder,PASS
I026,太白斩符,famenCombat,taibai,fu,shape_line2_h,"(0,0);(1,0)","(0,0)",青,qing,bai|qing|lan|zi|cheng,,false,i026_placeholder,PASS
I027,太白斩煞印,famenCombat,taibai,yin,shape_line2_v,"(0,0);(0,1)","(0,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i027_placeholder,PASS
I028,断煞令,famenCombat,taibai,ling,shape_line2_h,"(0,0);(1,0)","(1,0)",蓝,lan,bai|qing|lan|zi|cheng,,false,i028_placeholder,PASS
I029,照煞镜,famenCombat,taibai,jing,shape_line2_v,"(0,0);(0,1)","(0,1)",蓝,lan,bai|qing|lan|zi|cheng,,false,i029_placeholder,PASS
I030,桃木剑,famenCombat,taibai,fa,shape_line3_h,"(0,0);(1,0);(2,0)","(1,0)",紫,zi,bai|qing|lan|zi|cheng,,false,i030_placeholder,PASS
I031,聚念石,zhonggongSource,zhonggong,zhonggongQi,shape_single_1,"(0,0)","(0,0)",青,qing,bai|qing|lan|zi|cheng,,true,i031_junian_stone_placeholder,PASS
