caseId,category,expectedStatus,actualStatus,bindingCount,validationCodes,canonicalSignature,result,evidence
"legal.explicit-three-way","legal","Valid","Valid",2,"","sha256:3d747ae0d365a3df0383c43cf8df7db80d6a9b4fb6a5e8d7e9bf0d7264cae428",PASS,"Two explicit non-equal IDs bind to matching base identities."
"legal.ordinal-invariant-order","legal","Valid","Valid",2,"","sha256:3d747ae0d365a3df0383c43cf8df7db80d6a9b4fb6a5e8d7e9bf0d7264cae428",PASS,"Reversed inputs under tr-TR/fr-FR retain the same Canonical Signature."
"missing.equal-ids-not-guessed","abnormal","Unknown","Unknown",0,"PLACEMENT_BINDING_MISSING;PROJECTION_BINDING_MISSING","sha256:b767130954eb31fe3d6d7f6a93a1713da6b0c9b8ea54fa7167159b2ddf08c22e",PASS,"itemInstanceId == placementId is still Unknown without an explicit row."
"duplicate.item-instance","abnormal","Invalid","Invalid",0,"BINDING_ITEM_INSTANCE_ID_DUPLICATE;PROJECTION_BINDING_MISSING","sha256:8eaa065787ac43d1786d34acebd61da42754dd835cf5b3002ec365728b37938f",PASS,"Duplicate itemInstanceId is Invalid."
"duplicate.placement","abnormal","Invalid","Invalid",0,"BINDING_PLACEMENT_ID_DUPLICATE;PLACEMENT_BINDING_MISSING","sha256:604078b190a82bcf114f6d4b0ae257014f92bd3a106bfb7602459864f1671476",PASS,"Duplicate placementId is Invalid."
"orphan.item-instance","abnormal","Unknown","Unknown",1,"PROJECTION_BINDING_MISSING;PROJECTION_ORPHAN","sha256:7ea1273206fc60a1549871412e38cad998d0f2a8a7ba963ea3b7b4a3e79ac408",PASS,"Binding without a matching Instance Projection stays Unknown."
"orphan.placement","abnormal","Unknown","Unknown",1,"PLACEMENT_BINDING_MISSING;PLACEMENT_ORPHAN","sha256:e81871dab3f96499106979b7cb66b6d40c41eba023ac391f668086e2e0eaad5a",PASS,"Binding without a matching Placement stays Unknown."
"mismatch.projection-base","abnormal","Invalid","Invalid",0,"PROJECTION_BASE_ITEM_ID_MISMATCH","sha256:4da48ce80ca081f499adc270b95b7cab7014da917ae6376bfe3800911df96ff1",PASS,"baseItemId mismatch against Instance Projection is Invalid."
"mismatch.placement-item","abnormal","Invalid","Invalid",0,"PLACEMENT_BASE_ITEM_ID_MISMATCH","sha256:51e3f102709e1765aa39b24aa05138ea8dd63e18e6a5e136338c1fd15382818b",PASS,"baseItemId mismatch against Placement.itemId is Invalid."
"i031.binding-forbidden","abnormal","Invalid","Invalid",0,"I031_ORDINARY_INSTANCE_FORBIDDEN","sha256:e991f583f88732f1332595152727a47e320e24c31c4a947fe7454478c1713afd",PASS,"I031 system placement cannot receive an ordinary instance binding."
"i031.projection-forbidden","abnormal","Invalid","Invalid",0,"I031_ORDINARY_INSTANCE_FORBIDDEN","sha256:0b462c392d502a505ba043c49e88db4777af4c9d9490331ed3637cd50755cbef",PASS,"I031 cannot be forged into the ordinary Instance Projection line."
"legal.immutable-output","legal","Valid","Valid",2,"","sha256:3d747ae0d365a3df0383c43cf8df7db80d6a9b4fb6a5e8d7e9bf0d7264cae428",PASS,"Input mutation cannot alter the snapshot; exposed collections reject writes."
