caseId,category,expected,actual,validationCode,result
"normal-qa-generated-instance","projection","success","success","NONE","PASS"
"single-schema","projection","ItemInstanceProjectionContractSnapshot.v1","ItemInstanceProjectionContractSnapshot.v1","NONE","PASS"
"source-schema","projection","ItemGeneratedInstanceSnapshot.v1","ItemGeneratedInstanceSnapshot.v1","NONE","PASS"
"source-algorithm","projection","item-instance-roll-v1","item-instance-roll-v1","NONE","PASS"
"generation-status-pass-through","projection","QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA","QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA","NONE","PASS"
"identity-item-instance","projection","QA-I001-green-A","QA-I001-green-A","NONE","PASS"
"identity-base-item","projection","I001","I001","NONE","PASS"
"identity-rarity","projection","Green","Green","NONE","PASS"
"rarity-key","projection","green","green","NONE","PASS"
"generation-version","projection","1","1","NONE","PASS"
"root-seed","projection","202","202","NONE","PASS"
"cultivation-profile","projection","qa_core_i001_green","qa_core_i001_green","NONE","PASS"
"stats-full-copy","projection","2","2","NONE","PASS"
"affixes-full-copy","projection","3","3","NONE","PASS"
"affix-fixed-random-distinct","projection","fixed+random","Fixed|Random","NONE","PASS"
"eligible-core-full-copy","projection","qa_core_green_01|qa_core_green_02","qa_core_green_01|qa_core_green_02","NONE","PASS"
"visible-core-full-copy","projection","qa_core_green_01","qa_core_green_01","NONE","PASS"
"visible-core-subset","projection","subset","qa_core_green_01","NONE","PASS"
"build-qualification-pass-through","projection","FaMenOnly","FaMenOnly","NONE","PASS"
"source-canonical-signature","projection","79F9095842B8CD47","79F9095842B8CD47","NONE","PASS"
"rarity-white","projection","white/None","white/None","NONE","PASS"
"rarity-green","projection","green/FaMenOnly","green/FaMenOnly","NONE","PASS"
"rarity-blue","projection","blue/QiLeiOnly","blue/QiLeiOnly","NONE","PASS"
"rarity-purple","projection","purple/Dual","purple/Dual","NONE","PASS"
"rarity-orange","projection","orange/None","orange/None","NONE","PASS"
"white-build-none","projection","None","None","NONE","PASS"
"readonly-item-consumer","consumer","both read-only consumers can read","item+detail","NONE","PASS"
"set-success","set","success","success","NONE","PASS"
"set-schema","set","ItemInstanceProjectionSetSnapshot.v1","ItemInstanceProjectionSetSnapshot.v1","NONE","PASS"
"set-is-valid","set","valid/no-errors","True/0","NONE","PASS"
"set-all-instances","set","6","6","NONE","PASS"
"set-stable-order","set","Ordinal","QA-I001-blue|QA-I001-green-A|QA-I001-green-B|QA-I001-orange|QA-I001-purple|QA-I001-white","NONE","PASS"
"query-item-instance","query","QA-I001-green-A","QA-I001-green-A","NONE","PASS"
"query-base-multiple","query","6","6","NONE","PASS"
"query-base-rarity-multiple","query","2","2","NONE","PASS"
"same-base-rarity-multi-instance","set","2 distinct","QA-I001-green-A|QA-I001-green-B","NONE","PASS"
"single-canonical-repeat-1000","determinism","1000/1000","1000/1000","NONE","PASS"
"set-reversed-stable","determinism","F7BE30B5F6A3348F","F7BE30B5F6A3348F","NONE","PASS"
"different-instance-different-signature","determinism","different","different","NONE","PASS"
"canonical-stat-branch","determinism","different","different","NONE","PASS"
"canonical-affix-branch","determinism","different","different","NONE","PASS"
"canonical-eligible-core-branch","determinism","different","different","NONE","PASS"
