fieldPath,sourceField,itemSystemConsumer,detailConsumer,playerVisibleAllowed,debugOnly,forbiddenDerivedMeaning,notes
"schemaId","contract constant","schema dispatch","schema dispatch","false","true","none","Projection schema only"
"sourceSchemaId","generated.schemaId","source compatibility","debug diagnostics","false","true","none","Must remain ItemGeneratedInstanceSnapshot.v1"
"sourceGenerationAlgorithmId","generated.generationAlgorithmId","generation provenance","debug diagnostics","false","true","none","Passed through exactly"
"generationDataStatus","generated.generationDataStatus","data maturity guard","debug diagnostics","false","true","formal approval","QA status is not promoted"
"itemInstanceId","generated.itemInstanceId","distinguish actual instances","strict instance context","false","true","placement identity","Never placementId"
"baseItemId","generated.baseItemId","Catalog prototype lookup","name/tags/shape/visual lookup","false","false","legacy itemId alias","I001-I030 only"
"rarity","generated.rarity","instance rarity","rarity presentation input","false","false","cultivation level","Raw enum fact"
"rarityKey","rarity stable mapping","stable rarity key","rarity label/color lookup","false","false","localized label","white/green/blue/purple/orange"
"generationVersion","generated.generationVersion","generation provenance","debug diagnostics","false","true","save version","Not persistence schema"
"rootSeed","generated.rootSeed","deterministic provenance","debug diagnostics","false","true","reroll authorization","Read only; never consumed"
"cultivationPotentialProfileId","generated.cultivationPotentialProfileId","future cultivation lookup","potential explanation","false","false","unlocked state","Profile identity only"
"stats[].statId","generatedStats[].statId","instance stat identity","future stat label lookup","false","false","localized text","Raw fact"
"stats[].rawUnits","generatedStats[].rawUnits","instance birth value","future formatted value","false","false","itemPower","No formatting in this package"
"affixes[].slotId","generatedAffixes[].slotId","stable affix slot","fixed/random line identity","false","false","reroll slot","Original slot preserved"
"affixes[].slotKind","generatedAffixes[].slotKind","fixed/random query","fixed/random section","false","false","new roll","No reroll"
"affixes[].affixId","generatedAffixes[].affixId","affix fact","future affix label lookup","false","false","localized text","Raw fact"
"affixes[].affixValueProfileId","generatedAffixes[].affixValueProfileId","value provenance","debug diagnostics","false","true","formal balance approval","QA fixture profile remains QA"
"affixes[].rawUnits","generatedAffixes[].rawUnits","instance affix value","future formatted value","false","false","itemPower","No player text"
"eligibleCoreEffectIds[]","generatedCorePotential.eligible","future cultivation eligibility","potential list","false","false","unlocked/active state","Eligibility only"
"visibleCoreEffectIds[]","generatedCorePotential.visible","future visible potential","visible potential list","false","false","unlocked/active state","Subset of eligible"
"buildQualification","generated.buildQualification","future prototype+lighting combination","qualification explanation","false","false","Build count/activation","Qualification only"
"sourceCanonicalSignature","generated.BuildCanonicalSignature","source correspondence","debug diagnostics","false","true","runtime object hash","Exact source signature"
