caseId,category,expected,actual,validationCode,result
"fnv-empty","golden","CBF29CE484222325","CBF29CE484222325","NONE","PASS"
"fnv-a","golden","AF63DC4C8601EC8C","AF63DC4C8601EC8C","NONE","PASS"
"fnv-hello","golden","A430D84680AABD0B","A430D84680AABD0B","NONE","PASS"
"splitmix-state-0","golden","E220A8397B1DCDAF","E220A8397B1DCDAF","NONE","PASS"
"splitmix-stream-1","golden","E220A8397B1DCDAF","E220A8397B1DCDAF","NONE","PASS"
"splitmix-stream-2","golden","6E789E6AA1B965F4","6E789E6AA1B965F4","NONE","PASS"
"splitmix-stream-3","golden","06C45D188009454F","06C45D188009454F","NONE","PASS"
"splitmix-wraparound-vector","golden","E4D971771B652C20","E4D971771B652C20","NONE","PASS"
"domain-hash-vector","golden","54AE2882BEECC218","54AE2882BEECC218","NONE","PASS"
"segmented-domain-golden","golden","54AE2882BEECC218","54AE2882BEECC218","NONE","PASS"
"domain-segments-collision-separated","domain","8A5DD51B6600C50E/0A300F4D71EB3380","8A5DD51B6600C50E/0A300F4D71EB3380","NONE","PASS"
"domain-null-segment-invalid","domain","true","true","NONE","PASS"
"domain-empty-segment-invalid","domain","true","true","NONE","PASS"
"same-input-1000","determinism","true","true","NONE","PASS"
"input-collections-reversed","determinism","true","true","NONE","PASS"
"instance-domain-separated","determinism","true","true","NONE","PASS"
"multiple-seeds-diverge","determinism","true","true","NONE","PASS"
"seed-edge--9223372036854775808","determinism","true","true","NONE","PASS"
"seed-edge-0","determinism","true","true","NONE","PASS"
"seed-edge-9223372036854775807","determinism","true","true","NONE","PASS"
"green-generation-success","generation","true","true","NONE","PASS"
"qa-status-in-output","isolation","true","true","NONE","PASS"
"algorithm-id-v1","generation","true","true","NONE","PASS"
"two-stats-generated","stat","true","true","NONE","PASS"
"stat-ranges-and-steps","stat","true","true","NONE","PASS"
"fixed-affix-type-stable","fixed-affix","true","true","NONE","PASS"
"all-affix-values-valid","affix","true","true","NONE","PASS"
"random-results-from-pool","random-affix","true","true","NONE","PASS"
"disallow-duplicate-effective","random-affix","true","true","NONE","PASS"
"mutex-effective","random-affix","true","true","NONE","PASS"
"core-potential-projected","core","true","true","NONE","PASS"
"build-result-from-profile","build","true","true","NONE","PASS"
"rarity-generates-white","stat","true","true","NONE","PASS"
"rarity-generates-green","stat","true","true","NONE","PASS"
"rarity-generates-blue","stat","true","true","NONE","PASS"
"rarity-generates-purple","stat","true","true","NONE","PASS"
"rarity-generates-orange","stat","true","true","NONE","PASS"
"white-build-none","build","true","true","NONE","PASS"
"white-build-branch-consumes-no-input","build","true","true","NONE","PASS"
"allow-duplicate-structure-executes","random-affix","true","true","NONE","PASS"
"unrelated-stat-does-not-disturb","domain","true","true","NONE","PASS"
"request-null","request","REQUEST_NULL","REQUEST_NULL","REQUEST_NULL","PASS"
"identity-null","request","IDENTITY_NULL","IDENTITY_NULL","IDENTITY_NULL","PASS"
