caseId,baseItemId,rarityKey,itemInstanceId,ordinaryEligible,coreProgressionItem,rarityVersionKey,generationVersion,rootSeed,expectedValid,actualValid,validationCode,canonicalSignatureStable,passed
version-001,I001,white,QA-I001-white,true,false,I001@white,1,100000,true,true,NONE,true,true
version-002,I001,green,QA-I001-green,true,false,I001@green,1,100001,true,true,NONE,true,true
version-003,I001,blue,QA-I001-blue,true,false,I001@blue,1,100002,true,true,NONE,true,true
version-004,I001,purple,QA-I001-purple,true,false,I001@purple,1,100003,true,true,NONE,true,true
version-005,I001,orange,QA-I001-orange,true,false,I001@orange,1,100004,true,true,NONE,true,true
version-006,I002,white,QA-I002-white,true,false,I002@white,1,100005,true,true,NONE,true,true
version-007,I002,green,QA-I002-green,true,false,I002@green,1,100006,true,true,NONE,true,true
version-008,I002,blue,QA-I002-blue,true,false,I002@blue,1,100007,true,true,NONE,true,true
version-009,I002,purple,QA-I002-purple,true,false,I002@purple,1,100008,true,true,NONE,true,true
version-010,I002,orange,QA-I002-orange,true,false,I002@orange,1,100009,true,true,NONE,true,true
version-011,I003,white,QA-I003-white,true,false,I003@white,1,100010,true,true,NONE,true,true
version-012,I003,green,QA-I003-green,true,false,I003@green,1,100011,true,true,NONE,true,true
version-013,I003,blue,QA-I003-blue,true,false,I003@blue,1,100012,true,true,NONE,true,true
version-014,I003,purple,QA-I003-purple,true,false,I003@purple,1,100013,true,true,NONE,true,true
version-015,I003,orange,QA-I003-orange,true,false,I003@orange,1,100014,true,true,NONE,true,true
version-016,I004,white,QA-I004-white,true,false,I004@white,1,100015,true,true,NONE,true,true
version-017,I004,green,QA-I004-green,true,false,I004@green,1,100016,true,true,NONE,true,true
version-018,I004,blue,QA-I004-blue,true,false,I004@blue,1,100017,true,true,NONE,true,true
version-019,I004,purple,QA-I004-purple,true,false,I004@purple,1,100018,true,true,NONE,true,true
version-020,I004,orange,QA-I004-orange,true,false,I004@orange,1,100019,true,true,NONE,true,true
version-021,I005,white,QA-I005-white,true,false,I005@white,1,100020,true,true,NONE,true,true
version-022,I005,green,QA-I005-green,true,false,I005@green,1,100021,true,true,NONE,true,true
version-023,I005,blue,QA-I005-blue,true,false,I005@blue,1,100022,true,true,NONE,true,true
version-024,I005,purple,QA-I005-purple,true,false,I005@purple,1,100023,true,true,NONE,true,true
version-025,I005,orange,QA-I005-orange,true,false,I005@orange,1,100024,true,true,NONE,true,true
version-026,I006,white,QA-I006-white,true,false,I006@white,1,100025,true,true,NONE,true,true
version-027,I006,green,QA-I006-green,true,false,I006@green,1,100026,true,true,NONE,true,true
version-028,I006,blue,QA-I006-blue,true,false,I006@blue,1,100027,true,true,NONE,true,true
version-029,I006,purple,QA-I006-purple,true,false,I006@purple,1,100028,true,true,NONE,true,true
version-030,I006,orange,QA-I006-orange,true,false,I006@orange,1,100029,true,true,NONE,true,true
version-031,I007,white,QA-I007-white,true,false,I007@white,1,100030,true,true,NONE,true,true
version-032,I007,green,QA-I007-green,true,false,I007@green,1,100031,true,true,NONE,true,true
version-033,I007,blue,QA-I007-blue,true,false,I007@blue,1,100032,true,true,NONE,true,true
version-034,I007,purple,QA-I007-purple,true,false,I007@purple,1,100033,true,true,NONE,true,true
version-035,I007,orange,QA-I007-orange,true,false,I007@orange,1,100034,true,true,NONE,true,true
version-036,I008,white,QA-I008-white,true,false,I008@white,1,100035,true,true,NONE,true,true
version-037,I008,green,QA-I008-green,true,false,I008@green,1,100036,true,true,NONE,true,true
version-038,I008,blue,QA-I008-blue,true,false,I008@blue,1,100037,true,true,NONE,true,true
version-039,I008,purple,QA-I008-purple,true,false,I008@purple,1,100038,true,true,NONE,true,true
version-040,I008,orange,QA-I008-orange,true,false,I008@orange,1,100039,true,true,NONE,true,true
version-041,I009,white,QA-I009-white,true,false,I009@white,1,100040,true,true,NONE,true,true
version-042,I009,green,QA-I009-green,true,false,I009@green,1,100041,true,true,NONE,true,true
version-043,I009,blue,QA-I009-blue,true,false,I009@blue,1,100042,true,true,NONE,true,true
version-044,I009,purple,QA-I009-purple,true,false,I009@purple,1,100043,true,true,NONE,true,true
version-045,I009,orange,QA-I009-orange,true,false,I009@orange,1,100044,true,true,NONE,true,true
version-046,I010,white,QA-I010-white,true,false,I010@white,1,100045,true,true,NONE,true,true
version-047,I010,green,QA-I010-green,true,false,I010@green,1,100046,true,true,NONE,true,true
version-048,I010,blue,QA-I010-blue,true,false,I010@blue,1,100047,true,true,NONE,true,true
version-049,I010,purple,QA-I010-purple,true,false,I010@purple,1,100048,true,true,NONE,true,true
version-050,I010,orange,QA-I010-orange,true,false,I010@orange,1,100049,true,true,NONE,true,true
version-051,I011,white,QA-I011-white,true,false,I011@white,1,100050,true,true,NONE,true,true
version-052,I011,green,QA-I011-green,true,false,I011@green,1,100051,true,true,NONE,true,true
version-053,I011,blue,QA-I011-blue,true,false,I011@blue,1,100052,true,true,NONE,true,true
version-054,I011,purple,QA-I011-purple,true,false,I011@purple,1,100053,true,true,NONE,true,true
version-055,I011,orange,QA-I011-orange,true,false,I011@orange,1,100054,true,true,NONE,true,true
version-056,I012,white,QA-I012-white,true,false,I012@white,1,100055,true,true,NONE,true,true
version-057,I012,green,QA-I012-green,true,false,I012@green,1,100056,true,true,NONE,true,true
version-058,I012,blue,QA-I012-blue,true,false,I012@blue,1,100057,true,true,NONE,true,true
version-059,I012,purple,QA-I012-purple,true,false,I012@purple,1,100058,true,true,NONE,true,true
version-060,I012,orange,QA-I012-orange,true,false,I012@orange,1,100059,true,true,NONE,true,true
version-061,I013,white,QA-I013-white,true,false,I013@white,1,100060,true,true,NONE,true,true
version-062,I013,green,QA-I013-green,true,false,I013@green,1,100061,true,true,NONE,true,true
version-063,I013,blue,QA-I013-blue,true,false,I013@blue,1,100062,true,true,NONE,true,true
version-064,I013,purple,QA-I013-purple,true,false,I013@purple,1,100063,true,true,NONE,true,true
version-065,I013,orange,QA-I013-orange,true,false,I013@orange,1,100064,true,true,NONE,true,true
version-066,I014,white,QA-I014-white,true,false,I014@white,1,100065,true,true,NONE,true,true
version-067,I014,green,QA-I014-green,true,false,I014@green,1,100066,true,true,NONE,true,true
version-068,I014,blue,QA-I014-blue,true,false,I014@blue,1,100067,true,true,NONE,true,true
version-069,I014,purple,QA-I014-purple,true,false,I014@purple,1,100068,true,true,NONE,true,true
version-070,I014,orange,QA-I014-orange,true,false,I014@orange,1,100069,true,true,NONE,true,true
version-071,I015,white,QA-I015-white,true,false,I015@white,1,100070,true,true,NONE,true,true
version-072,I015,green,QA-I015-green,true,false,I015@green,1,100071,true,true,NONE,true,true
version-073,I015,blue,QA-I015-blue,true,false,I015@blue,1,100072,true,true,NONE,true,true
version-074,I015,purple,QA-I015-purple,true,false,I015@purple,1,100073,true,true,NONE,true,true
version-075,I015,orange,QA-I015-orange,true,false,I015@orange,1,100074,true,true,NONE,true,true
version-076,I016,white,QA-I016-white,true,false,I016@white,1,100075,true,true,NONE,true,true
version-077,I016,green,QA-I016-green,true,false,I016@green,1,100076,true,true,NONE,true,true
version-078,I016,blue,QA-I016-blue,true,false,I016@blue,1,100077,true,true,NONE,true,true
version-079,I016,purple,QA-I016-purple,true,false,I016@purple,1,100078,true,true,NONE,true,true
version-080,I016,orange,QA-I016-orange,true,false,I016@orange,1,100079,true,true,NONE,true,true
version-081,I017,white,QA-I017-white,true,false,I017@white,1,100080,true,true,NONE,true,true
version-082,I017,green,QA-I017-green,true,false,I017@green,1,100081,true,true,NONE,true,true
version-083,I017,blue,QA-I017-blue,true,false,I017@blue,1,100082,true,true,NONE,true,true
version-084,I017,purple,QA-I017-purple,true,false,I017@purple,1,100083,true,true,NONE,true,true
version-085,I017,orange,QA-I017-orange,true,false,I017@orange,1,100084,true,true,NONE,true,true
version-086,I018,white,QA-I018-white,true,false,I018@white,1,100085,true,true,NONE,true,true
version-087,I018,green,QA-I018-green,true,false,I018@green,1,100086,true,true,NONE,true,true
version-088,I018,blue,QA-I018-blue,true,false,I018@blue,1,100087,true,true,NONE,true,true
version-089,I018,purple,QA-I018-purple,true,false,I018@purple,1,100088,true,true,NONE,true,true
version-090,I018,orange,QA-I018-orange,true,false,I018@orange,1,100089,true,true,NONE,true,true
version-091,I019,white,QA-I019-white,true,false,I019@white,1,100090,true,true,NONE,true,true
version-092,I019,green,QA-I019-green,true,false,I019@green,1,100091,true,true,NONE,true,true
version-093,I019,blue,QA-I019-blue,true,false,I019@blue,1,100092,true,true,NONE,true,true
version-094,I019,purple,QA-I019-purple,true,false,I019@purple,1,100093,true,true,NONE,true,true
version-095,I019,orange,QA-I019-orange,true,false,I019@orange,1,100094,true,true,NONE,true,true
version-096,I020,white,QA-I020-white,true,false,I020@white,1,100095,true,true,NONE,true,true
version-097,I020,green,QA-I020-green,true,false,I020@green,1,100096,true,true,NONE,true,true
version-098,I020,blue,QA-I020-blue,true,false,I020@blue,1,100097,true,true,NONE,true,true
version-099,I020,purple,QA-I020-purple,true,false,I020@purple,1,100098,true,true,NONE,true,true
version-100,I020,orange,QA-I020-orange,true,false,I020@orange,1,100099,true,true,NONE,true,true
version-101,I021,white,QA-I021-white,true,false,I021@white,1,100100,true,true,NONE,true,true
version-102,I021,green,QA-I021-green,true,false,I021@green,1,100101,true,true,NONE,true,true
version-103,I021,blue,QA-I021-blue,true,false,I021@blue,1,100102,true,true,NONE,true,true
version-104,I021,purple,QA-I021-purple,true,false,I021@purple,1,100103,true,true,NONE,true,true
version-105,I021,orange,QA-I021-orange,true,false,I021@orange,1,100104,true,true,NONE,true,true
version-106,I022,white,QA-I022-white,true,false,I022@white,1,100105,true,true,NONE,true,true
version-107,I022,green,QA-I022-green,true,false,I022@green,1,100106,true,true,NONE,true,true
