kind,idOrPath,fieldOrCheckId,oldValue,newValue,fileCount,inputScope,reason,result
aggregate,Assets/_Game/Scripts/TalismanBag/Items/InnerCatalog/ItemInnerDataCatalog.cs,catalog-aggregate,AF6E7C38B466B268DCF318D07DA3B9998E7F7667615077ECD0C6F82D9059F8E3,A18DA1B5575C87281BF233AB690709A3FEE94F9F17153A60242E8D9E22550DB8,1,Assets/_Game/Scripts/TalismanBag/Items/InnerCatalog/ItemInnerDataCatalog.cs,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,CHANGED_AS_APPROVED
aggregate,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles,profiles-I001-I030-aggregate,24074D6E801BD9967C2CC04CA1EBF812AA0638407A08D03B6356403FAC11C81C,A4546761DFDB4837579E9C7EAA55A4D4C07059632C548B59BDCEB93C6EAAC7FC,30,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I001..I030.asset,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,CHANGED_AS_APPROVED
canonical,Roll150,roll-canonical,sha256:d0e226d250adbff8d490d627215363e74262d6cacfc478480becc42de59938a8,sha256:d0e226d250adbff8d490d627215363e74262d6cacfc478480becc42de59938a8,150,I001-I030 x white/green/blue/purple/orange,PROTECTED_CANONICAL,UNCHANGED
canonical,Projection150,projection-canonical,sha256:f137d20d107b39715c1fe2c66e2938010b8d52e9f528f9cc1982991e91843ac2,sha256:f137d20d107b39715c1fe2c66e2938010b8d52e9f528f9cc1982991e91843ac2,150,I001-I030 x white/green/blue/purple/orange,PROTECTED_CANONICAL,UNCHANGED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/EnemySystem/EnemyRequirementChannelApplicabilitySchemaContractVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/LayoutResilienceItemFactProjectionAdapterVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/LayoutResilienceStructuralPredicateContractVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/LayoutResilienceStructuralReadinessConsumerVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/DevEncounterLayoutPressureAuthoringVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/LayoutResilienceRequirementChannelMigrationVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
