itemId,decisionStatus,oldShapeId,newShapeId,oldOrderedCells,newOrderedCells,oldCoreCellLocal,newTechnicalCoreCellLocal,catalogChanged,candidateDescriptionChanged,oldCatalogSignature,newCatalogSignature,oldSnapshotSignature,newSnapshotSignature,evidence,result
I001,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:f366224d555a781e2a61f16819a60a3ee4ad1dd5a6278426addb73e9dbc891c9,sha256:f366224d555a781e2a61f16819a60a3ee4ad1dd5a6278426addb73e9dbc891c9,sha256:73a68f31153e9b227de09a9694105e76f6156e0c5b4564bb0d203a508c71c01a,sha256:73a68f31153e9b227de09a9694105e76f6156e0c5b4564bb0d203a508c71c01a,screenshot+authored_image,PASS
I002,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(0,0)","(0,0)",true,true,sha256:d60bf792a12d5222fc3fad7174c0f0e2128fd8898c339f4f2a1d2d06378b5806,sha256:536ae5f03e4d33ea9963790e81acb6948c9971005adc2861562a66a060ab85ff,sha256:455de49a2a3d37d7d8d1dd1851eb730813978adffb192613c861bce5c764adc9,sha256:a36ec342b2797a05e6b5b1b0c197471d1a5662ad23d59e46f75c604cda14c1dd,screenshot+authored_image,PASS
I003,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0);(0,1)","(0,0)","(0,0)",false,false,sha256:87e57514811c655f19f4c7b77e6a5ee8849d9cd4493d9e349a5145db93d3f938,sha256:87e57514811c655f19f4c7b77e6a5ee8849d9cd4493d9e349a5145db93d3f938,sha256:2fed01ffd3ce60e53f7c92b8700b2df2b8cd9baa0d0118daa496be955c273627,sha256:2fed01ffd3ce60e53f7c92b8700b2df2b8cd9baa0d0118daa496be955c273627,screenshot+authored_image,PASS
I004,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(1,0)","(0,1)",true,true,sha256:4084c8c6a25597a0fd83703910f961a476fd4baec34f18b0d25ffeb50b832116,sha256:9e8801a0892d88c3f04c047ad902357406fdeea3f6465e29d7bbe3fd28b3d488,sha256:ce51360a9ec88ffe789e95b3019654040685465207520d2b72bee8730006abcf,sha256:a564ab1549a4717d84d475bee17894d91f7549a214f0d0e6c9010af617421a57,screenshot+authored_image,PASS
I005,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0);(0,1)","(0,1)","(0,1)",false,false,sha256:025db28dc6d5b4c3d2ed65284291ef85bcea03b3146caf1903c7abda3b7f19e8,sha256:025db28dc6d5b4c3d2ed65284291ef85bcea03b3146caf1903c7abda3b7f19e8,sha256:738d462c65ec382104e1e3b848fd80a1a3f0a629df11e2f96af72bd092b956ae,sha256:738d462c65ec382104e1e3b848fd80a1a3f0a629df11e2f96af72bd092b956ae,screenshot+authored_image,PASS
I006,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(0,0)","(0,0)",true,true,sha256:922acbb01dafb02765cdaa072d39062d88c9edd85f6fff571907449e51aad4e2,sha256:9ae7b855fcb15d839cfed3005601cee63364cd9392f03a0dfe28521328567c00,sha256:741e7bdaab7c03327c0e25470fb2647a3b62e0d106c2de09d6eea4e5ed8bbb84,sha256:6a3a58ee47cbf5b2bdd8d1383cc881108fba5463383f5ebf6b40a4aa0e844cf1,screenshot+authored_image,PASS
I007,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:982b501d0eea39e1c24a9b0931dd84dc839c98a7ca9cd76b31eae639c38a9700,sha256:982b501d0eea39e1c24a9b0931dd84dc839c98a7ca9cd76b31eae639c38a9700,sha256:c31b77478a1fc8ea6ff6ace676045b0554516d68a99f680165d3b9728c5e710a,sha256:c31b77478a1fc8ea6ff6ace676045b0554516d68a99f680165d3b9728c5e710a,screenshot+authored_image,PASS
I008,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0);(0,1)","(0,0)","(0,0)",false,false,sha256:bb924c3840871dea1cb96abcff1b8dfe4b4cb78fc5bd7077036340871fec4ef2,sha256:bb924c3840871dea1cb96abcff1b8dfe4b4cb78fc5bd7077036340871fec4ef2,sha256:e5fd681ed602d46ff717deceaa7c114ca5fb5bc778f5e3092b441bce3b4fd1ca,sha256:e5fd681ed602d46ff717deceaa7c114ca5fb5bc778f5e3092b441bce3b4fd1ca,screenshot+authored_image,PASS
I009,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:377a7e7ece7c0f128195c75d2480176cdf94b8eee354e8f8301e53b859672709,sha256:377a7e7ece7c0f128195c75d2480176cdf94b8eee354e8f8301e53b859672709,sha256:629425f41a842e3295cf5d4ee2c262ee0652b2d30e0f8e4d2cde2118a473e2a9,sha256:629425f41a842e3295cf5d4ee2c262ee0652b2d30e0f8e4d2cde2118a473e2a9,user_confirmed_i009_fix+authored_image,PASS
I010,APPROVED_CHANGE,shape_line2_v,shape_corner3,"(0,0);(0,1)","(0,0);(1,0);(0,1)","(0,1)","(0,1)",true,true,sha256:75607337218984108ee7d9a94109f71a9ffa765f3a40014b171e6d45ab5b851c,sha256:98e22b35a33eb8b3caefdf31227fe542e57d041028c974f8548f0cb16615ba32,sha256:12298d152cacdcc1729ac8d7170d443497ceed33e215610a81d4431bc9c4ca83,sha256:8a6443d90b257e0be6b709582d5db16e43e958f56733b9e6a75e28e93d6052bd,screenshot+authored_image,PASS
