itemId,displayName,decisionStatus,newShapeId,orderedCells,technicalCoreCellLocal,coreCellStatus,defaultOrientation,evidence,result
I001,震雷符,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image,PASS
I002,五雷急符,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I003,震雷破壳印,APPROVED_KEEP,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I004,五雷急令,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I005,照壳雷镜,APPROVED_KEEP,shape_line2_v,"(0,0);(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I006,天鼓槌,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I007,离火符,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image,PASS
I008,焚邪长符,APPROVED_KEEP,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I009,离火焚邪印,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,user_confirmed_i009_fix+authored_image,PASS
I010,风火令旗,APPROVED_CHANGE,shape_corner3,"(0,0);(1,0);(0,1)","(0,1)",TECHNICAL_RESERVED,corner,screenshot+authored_image,PASS
I011,照焚铜镜,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I012,长明灯,APPROVED_KEEP,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I013,护身符,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image,PASS
I014,镇宅长符,APPROVED_CHANGE,shape_line3_v,"(0,0);(0,1);(0,2)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I015,中岳镇守章,APPROVED_CHANGE,shape_line3_v,"(0,0);(0,1);(0,2)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I016,护坛令旗,APPROVED_CHANGE,shape_corner3,"(0,0);(1,0);(0,1)","(0,1)",TECHNICAL_RESERVED,corner,screenshot+authored_image,PASS
I017,照邪八卦镜,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I018,镇山铜鼎,APPROVED_KEEP,shape_block2x2,"(0,0);(1,0);(0,1);(1,1)","(1,1)",TECHNICAL_RESERVED,block,screenshot+authored_image,PASS
I019,净水符,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image,PASS
I020,涤秽长符,APPROVED_KEEP,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I021,玄水涤秽印,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I022,玄水流令,APPROVED_CHANGE,shape_line3_v,"(0,0);(0,1);(0,2)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I023,照秽水镜,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I024,净水盂,APPROVED_CHANGE,shape_line2_h,"(0,0);(1,0)","(0,0)",TECHNICAL_RESERVED,horizontal,user_confirmed_authored_image_priority,PASS
I025,封煞符,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image,PASS
I026,太白斩符,APPROVED_CHANGE,shape_line3_v,"(0,0);(0,1);(0,2)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I027,太白斩煞印,APPROVED_KEEP,shape_line2_v,"(0,0);(0,1)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I028,断煞令,APPROVED_CHANGE,shape_line2_v,"(0,0);(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
I029,照煞镜,APPROVED_KEEP,shape_single_1,"(0,0)","(0,0)",TECHNICAL_RESERVED,single,user_confirmed_i029_fix+authored_image,PASS
I030,桃木剑,APPROVED_CHANGE,shape_line3_v,"(0,0);(0,1);(0,2)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image,PASS
