caseId,selectedMainBuildId,buildCount,activeStage,slotType,isUnlocked,isMonitoring,isTriggered,cooldown01,charge01,presentationCueId,chibiActionKey,validationErrors,expectedResult,actualResult
emptySelection,,0,0,BasicAttack,false,false,false,0,0,none_basic_attack,none_basic_attack,None,Locked,PASS
emptySelection,,0,0,Build2,false,false,false,0,0,none_build2,none_build2,None,Locked,PASS
emptySelection,,0,0,Build4,false,false,false,0,0,none_build4,none_build4,None,Locked,PASS
emptySelection,,0,0,Build6,false,false,false,0,0,none_build6,none_build6,None,Locked,PASS
validFaMenCount0,famen:zhenlei,0,0,BasicAttack,false,false,false,0,0,zhenlei_basic_attack,zhenlei_basic_attack,None,Locked,PASS
validFaMenCount0,famen:zhenlei,0,0,Build2,false,false,false,0,0,zhenlei_build2,zhenlei_build2,None,Locked,PASS
validFaMenCount0,famen:zhenlei,0,0,Build4,false,false,false,0,0,zhenlei_build4,zhenlei_build4,None,Locked,PASS
validFaMenCount0,famen:zhenlei,0,0,Build6,false,false,false,0,0,zhenlei_build6,zhenlei_build6,None,Locked,PASS
validFaMenCount1,famen:zhenlei,1,0,BasicAttack,true,true,false,0,0,zhenlei_basic_attack,zhenlei_basic_attack,None,Monitoring,PASS
validFaMenCount1,famen:zhenlei,1,0,Build2,false,false,false,0,0,zhenlei_build2,zhenlei_build2,None,Locked,PASS
validFaMenCount1,famen:zhenlei,1,0,Build4,false,false,false,0,0,zhenlei_build4,zhenlei_build4,None,Locked,PASS
validFaMenCount1,famen:zhenlei,1,0,Build6,false,false,false,0,0,zhenlei_build6,zhenlei_build6,None,Locked,PASS
validFaMenBuild2,famen:zhenlei,2,2,BasicAttack,true,true,false,0,0,zhenlei_basic_attack,zhenlei_basic_attack,None,Monitoring,PASS
validFaMenBuild2,famen:zhenlei,2,2,Build2,true,true,false,0,0,zhenlei_build2,zhenlei_build2,None,Monitoring,PASS
validFaMenBuild2,famen:zhenlei,2,2,Build4,false,false,false,0,0,zhenlei_build4,zhenlei_build4,None,Locked,PASS
validFaMenBuild2,famen:zhenlei,2,2,Build6,false,false,false,0,0,zhenlei_build6,zhenlei_build6,None,Locked,PASS
validFaMenBuild4,famen:zhenlei,4,4,BasicAttack,true,true,false,0,0,zhenlei_basic_attack,zhenlei_basic_attack,None,Monitoring,PASS
validFaMenBuild4,famen:zhenlei,4,4,Build2,true,true,false,0,0,zhenlei_build2,zhenlei_build2,None,Monitoring,PASS
validFaMenBuild4,famen:zhenlei,4,4,Build4,true,true,false,0,0,zhenlei_build4,zhenlei_build4,None,Monitoring,PASS
