ordinal,baseItemId,displayName,kind,rarity,rarityIndex,rootSeed,itemInstanceId,placementId
1,"I001","震雷符",ordinary,orange,5,404310001,"wb_i001_orange_404310001",P_BOARD_I001
2,"I002","五雷急符",ordinary,orange,5,404310002,"wb_i002_orange_404310002",P_BOARD_I002
3,"I003","震雷破壳印",ordinary,orange,5,404310003,"wb_i003_orange_404310003",P_BOARD_I003
4,"I004","五雷急令",ordinary,orange,5,404310004,"wb_i004_orange_404310004",P_BOARD_I004
5,"I005","照壳雷镜",ordinary,orange,5,404310005,"wb_i005_orange_404310005",P_BOARD_I005
6,"I006","天鼓槌",ordinary,orange,5,404310006,"wb_i006_orange_404310006",P_BOARD_I006
7,"I007","离火符",ordinary,orange,5,404310007,"wb_i007_orange_404310007",P_BOARD_I007
8,"I008","焚邪长符",ordinary,orange,5,404310008,"wb_i008_orange_404310008",P_BOARD_I008
9,"I009","离火焚邪印",ordinary,orange,5,404310009,"wb_i009_orange_404310009",P_BOARD_I009
10,"I010","风火令旗",ordinary,orange,5,404310010,"wb_i010_orange_404310010",P_BOARD_I010
11,"I011","照焚铜镜",ordinary,orange,5,404310011,"wb_i011_orange_404310011",P_BOARD_I011
12,"I012","长明灯",ordinary,orange,5,404310012,"wb_i012_orange_404310012",P_BOARD_I012
13,"I013","护身符",ordinary,orange,5,404310013,"wb_i013_orange_404310013",P_BOARD_I013
14,"I014","镇宅长符",ordinary,orange,5,404310014,"wb_i014_orange_404310014",P_BOARD_I014
15,"I015","中岳镇守章",ordinary,orange,5,404310015,"wb_i015_orange_404310015",P_BOARD_I015
16,"I016","护坛令旗",ordinary,orange,5,404310016,"wb_i016_orange_404310016",P_BOARD_I016
17,"I017","照邪八卦镜",ordinary,orange,5,404310017,"wb_i017_orange_404310017",P_BOARD_I017
18,"I018","镇山铜鼎",ordinary,orange,5,404310018,"wb_i018_orange_404310018",P_BOARD_I018
19,"I019","净水符",ordinary,orange,5,404310019,"wb_i019_orange_404310019",P_BOARD_I019
20,"I020","涤秽长符",ordinary,orange,5,404310020,"wb_i020_orange_404310020",P_BOARD_I020
21,"I021","玄水涤秽印",ordinary,orange,5,404310021,"wb_i021_orange_404310021",P_BOARD_I021
22,"I022","玄水流令",ordinary,orange,5,404310022,"wb_i022_orange_404310022",P_BOARD_I022
23,"I023","照秽水镜",ordinary,orange,5,404310023,"wb_i023_orange_404310023",P_BOARD_I023
24,"I024","净水盂",ordinary,orange,5,404310024,"wb_i024_orange_404310024",P_BOARD_I024
25,"I025","封煞符",ordinary,orange,5,404310025,"wb_i025_orange_404310025",P_BOARD_I025
26,"I026","太白斩符",ordinary,orange,5,404310026,"wb_i026_orange_404310026",P_BOARD_I026
27,"I027","太白斩煞印",ordinary,orange,5,404310027,"wb_i027_orange_404310027",P_BOARD_I027
28,"I028","断煞令",ordinary,orange,5,404310028,"wb_i028_orange_404310028",P_BOARD_I028
29,"I029","照煞镜",ordinary,orange,5,404310029,"wb_i029_orange_404310029",P_BOARD_I029
30,"I030","桃木剑",ordinary,orange,5,404310030,"wb_i030_orange_404310030",P_BOARD_I030
31,"I031","聚念石",system,none,none,none,"",P_SYSTEM_I031
