caseId,inputSummary,expectedIsValid,actualIsValid,expectedErrorCodes,actualErrorCodes,snapshotDeterministic,immutable,result,notes
"standard-valid-layout","I031 source plus three lit ordinary items, one active AP cell, no explicit main Build",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Covers schema, board, catalog count, source identity, lighting, array bonus, and no auto main Build. readonly mutation probes passed"
"deterministic-same-input-twice","Same input generated twice.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Snapshot signatures match exactly. readonly mutation probes passed"
"snapshot-immutable-after-input-mutation","Source placement list mutated after input/snapshot creation.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Old snapshot and cloned input stay isolated from source list mutation. readonly mutation probes passed"
"deterministic-reversed-input","Valid placements submitted in forward and reverse order.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Canonical ordering ignores source list order. readonly mutation probes passed"
"deterministic-invalid-input","Invalid duplicate/overlap input submitted in different order.",FALSE,FALSE,"PLACEMENT_ID_DUPLICATE|PLACEMENT_OVERLAP","PLACEMENT_ID_DUPLICATE|PLACEMENT_OVERLAP",TRUE,TRUE,"PASS","Invalid snapshots remain deterministic. readonly mutation probes passed"
"canonical-signature-covers-all-branches","Child lighting-only mutation changes canonical signature.",FALSE,FALSE,"LIGHTING_SNAPSHOT_MISMATCH","LIGHTING_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Canonical signature includes child branch state. readonly mutation probes passed"
"duplicate-placement-id","Two items share P_DUP.",FALSE,FALSE,"PLACEMENT_ID_DUPLICATE","ARRAY_BONUS_SNAPSHOT_MISMATCH|LIGHTING_SNAPSHOT_MISMATCH|PLACEMENT_ID_DUPLICATE",TRUE,TRUE,"PASS","readonly mutation probes passed"
"empty-placement-id","One placed item has an empty placementId.",FALSE,FALSE,"PLACEMENT_ID_EMPTY","PLACEMENT_ID_EMPTY",TRUE,TRUE,"PASS","readonly mutation probes passed"
"out-of-bounds","I002 line2_h starts at x=4.",FALSE,FALSE,"ITEM_OUT_OF_BOUNDS","ITEM_OUT_OF_BOUNDS|SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","readonly mutation probes passed"
"placement-overlap","I001 and I007 both occupy (1,1).",FALSE,FALSE,"PLACEMENT_OVERLAP","PLACEMENT_OVERLAP|SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","readonly mutation probes passed"
"eye-covered","I001 is placed on fixed eyeCell (2,2).",FALSE,FALSE,"EYE_CELL_COVERED","EYE_CELL_COVERED|SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","readonly mutation probes passed"
"array-bonus-coordinates-wrong","AP04 is moved away from the fixed cross.",FALSE,FALSE,"ARRAY_BONUS_CELLS_INVALID","ARRAY_BONUS_CELLS_INVALID",TRUE,TRUE,"PASS","readonly mutation probes passed"
