scenarioId,itemId,coreCellWorld,isLightingSource,isDirectLit,isLit,litByItemId,litDepth,expectedResult,actualResult
S01_DirectSingle,I031,"(0,1)",true,false,true,I031,0,source,PASS
S01_DirectSingle,I001,"(1,1)",false,true,true,I031,0,direct_lit_single,PASS
S02_MultiCoreInRange,I031,"(2,0)",true,false,true,I031,0,source,PASS
S02_MultiCoreInRange,I004,"(1,0)",false,true,true,I031,0,direct_lit_core_only,PASS
S03_MultiPartOnlyUnlit,I031,"(0,0)",true,false,true,I031,0,source,PASS
S03_MultiPartOnlyUnlit,I004,"(1,1)",false,false,false,,None,unlit_core_outside_range,PASS
S04_RelayChain,I031,"(0,1)",true,false,true,I031,0,source,PASS
S04_RelayChain,I001,"(1,1)",false,true,true,I031,0,direct_A,PASS
S04_RelayChain,I007,"(2,1)",false,false,true,I001,1,relay_B,PASS
S04_RelayChain,I013,"(3,1)",false,false,true,I007,2,relay_C,PASS
S05_DiagonalNoRelay,I031,"(0,0)",true,false,true,I031,0,source,PASS
S05_DiagonalNoRelay,I001,"(1,0)",false,true,true,I031,0,direct_A,PASS
S05_DiagonalNoRelay,I007,"(2,1)",false,false,false,,None,diagonal_unlit,PASS
S06_EmptyGapNoRelay,I031,"(0,0)",true,false,true,I031,0,source,PASS
S06_EmptyGapNoRelay,I001,"(1,0)",false,true,true,I031,0,direct_A,PASS
S06_EmptyGapNoRelay,I007,"(3,0)",false,false,false,,None,gap_unlit,PASS
S07_EyeNoBridge,I031,"(1,2)",true,false,true,I031,0,source,PASS
S07_EyeNoBridge,I001,"(0,2)",false,true,true,I031,0,direct_A,PASS
S07_EyeNoBridge,I007,"(3,2)",false,false,false,,None,eye_blocked_unlit,PASS
S08_MultiPathMinDepth,I031,"(0,0)",true,false,true,I031,0,source,PASS
S08_MultiPathMinDepth,I001,"(0,1)",false,true,true,I031,0,direct_low_id,PASS
S08_MultiPathMinDepth,I007,"(1,0)",false,true,true,I031,0,direct_high_id,PASS
S08_MultiPathMinDepth,I013,"(1,1)",false,false,true,I001,1,relay_min_depth_stable_id,PASS
S09_NoSourceAllUnlit,I001,"(0,0)",false,false,false,,None,unlit_no_source,PASS
S09_NoSourceAllUnlit,I007,"(1,0)",false,false,false,,None,unlit_no_source,PASS
S10_OrdinaryRelayOnly,I031,"(0,0)",true,false,true,I031,0,source,PASS
S10_OrdinaryRelayOnly,I001,"(1,0)",false,true,true,I031,0,direct_A,PASS
S10_OrdinaryRelayOnly,I007,"(2,0)",false,false,true,I001,1,ordinary_relay_B,PASS
S10_OrdinaryRelayOnly,I013,"(4,4)",false,false,false,,None,ordinary_no_direct_range,PASS
