checkId,category,expected,actual,result
"authority.calls.S04_COMPLETE_EMPTY_LAYOUT","authority","1/1","1/1",PASS
"authority.calls.S05_I031_ONLY_LAYOUT","authority","1/1","1/1",PASS
"authority.calls.S06_FORMATION_EYE_STABLE","authority","1/1","1/1",PASS
"authority.calls.S07_FORMATION_EYE_PRESSURED","authority","1/1","1/1",PASS
"authority.calls.S08_POLLUTED_TILE_STABLE","authority","1/1","1/1",PASS
"authority.calls.S09_POLLUTED_TILE_PRESSURED","authority","1/1","1/1",PASS
"authority.calls.S10_IF01_IDENTITY_MISSING","authority","1/1","1/1",PASS
"authority.calls.S11_INVALID_ITEM_SNAPSHOT","authority","1/1","1/1",PASS
"determinism.reverse-input","determinism","sha256:62e420000d40184002c8eb0e4789bc2d0582eb20c3110320a560e0209b5cd983","sha256:62e420000d40184002c8eb0e4789bc2d0582eb20c3110320a560e0209b5cd983",PASS
"feedback.player-mask","feedback","no ascii/internal answer","【阵势韧性】稳定 3 项／受压 1 项",PASS
"feedback.preserve-changed","feedback","latest interaction+1 suffix","格子冲突：目标形状与已有道具重叠。
【阵势韧性】稳定 3 项／受压 1 项",PASS
"feedback.preserve-first","feedback","interaction+suffix","可放置
【阵势韧性】稳定 3 项／受压 1 项",PASS
"identity.i031-not-projected","identity","0/0","0/0",PASS
"identity.missing-stays-unknown","identity","Unknown","Unknown",PASS
"leak.formal.ChapterProgress","leak","absent","absent",PASS
"leak.formal.DamageText","leak","absent","absent",PASS
"leak.formal.PlayerPrefs","leak","absent","absent",PASS
"leak.formal.RewardConfig","leak","absent","absent",PASS
"leak.formal.RunFlow","leak","absent","absent",PASS
"leak.formal.SaveData","leak","absent","absent",PASS
"leak.formal.UnifiedBattle","leak","absent","absent",PASS
"leak.formal.V02FormationGridFrame","leak","absent","absent",PASS
"leak.runtime.AuthoredLayoutPressureSourceAdapter","leak","absent","absent",PASS
"leak.runtime.BuildSandboxLayoutSnapshot","leak","absent","absent",PASS
"leak.runtime.Builder","leak","absent","absent",PASS
"leak.runtime.DefaultItemSystemSnapshotProvider","leak","absent","absent",PASS
"leak.runtime.EditorSceneManager","leak","absent","absent",PASS
"leak.runtime.LayoutResilienceEvaluationInputAssembler","leak","absent","absent",PASS
"leak.runtime.LayoutResilienceItemFactProjectionAdapter","leak","absent","absent",PASS
"leak.runtime.LayoutResilienceStructuralPredicateEvaluator","leak","absent","absent",PASS
"leak.runtime.LayoutResilienceStructuralReadinessConsumer","leak","absent","absent",PASS
"leak.runtime.RectTransform","leak","absent","absent",PASS
"leak.runtime.SaveScene","leak","absent","absent",PASS
"leak.runtime.SceneBinder","leak","absent","absent",PASS
"leak.runtime.new GameObject","leak","absent","absent",PASS
"package.assignment-hash","package","178d0fce3a56d428ea44c8eeb8b6b78f4a0f0563e449c257402e273f557d00d8","178d0fce3a56d428ea44c8eeb8b6b78f4a0f0563e449c257402e273f557d00d8",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestAdapter.cs","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestAdapter.cs.meta","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestAdapterReport.md","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestAdapterVerifier.cs","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestAdapterVerifier.cs.meta","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestChecklist.csv","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestFeedback.cs","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestFeedback.cs.meta","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestFeedbackReport.csv","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestLeakCheckReport.md","package","exists","exists",PASS
"package.exists.LayoutResilienceBattleSandboxPlaytestStateReport.csv","package","exists","exists",PASS
"package.output-count","package","11","11",PASS
