scenarioId,status,if01ValidateCalls,p6EvaluateCalls,feedbackRowCount,canonicalSignature,result
"S01_NON_TARGET_NO_INSTALL","Complete",0,0,0,"",PASS
"S02_TARGET_ADAPTER_MISSING","Invalid",0,0,0,"",PASS
"S03_TARGET_ADAPTER_DUPLICATE","Invalid",0,0,0,"",PASS
"S04_COMPLETE_EMPTY_LAYOUT","Complete",1,1,4,"sha256:8c7bc281792d930698f23883fa30434e7832e137fe38b87427cf2b61407ea22f",PASS
"S05_I031_ONLY_LAYOUT","Complete",1,1,4,"sha256:7f9696d615340bf6f2e42adae6b28b089ee593b980fc1dd765a0f48eac561ae7",PASS
"S06_FORMATION_EYE_STABLE","Complete",1,1,4,"sha256:6d7499a2c9d630530b3c6705748d51155858d088a4c7972c86cac0c584f315cb",PASS
"S07_FORMATION_EYE_PRESSURED","Complete",1,1,4,"sha256:726c42fe9623a5788e4d8db8ffd623f75ee528d924207fb2210e45afb5aadb52",PASS
"S08_POLLUTED_TILE_STABLE","Complete",1,1,4,"sha256:62e420000d40184002c8eb0e4789bc2d0582eb20c3110320a560e0209b5cd983",PASS
"S09_POLLUTED_TILE_PRESSURED","Complete",1,1,4,"sha256:6d7499a2c9d630530b3c6705748d51155858d088a4c7972c86cac0c584f315cb",PASS
"S10_IF01_IDENTITY_MISSING","Unknown",1,1,4,"sha256:48429128461294aa6265fd499a29c2bc8941a8b98abf7fedb057e52c4ef85697",PASS
"S11_INVALID_ITEM_SNAPSHOT","Invalid",1,1,0,"sha256:123c9b9749bc25b27a7897436bb4c076f823dedb0af7e21f5ae126f0a9453ca8",PASS
