sourceField,targetField,transform,eligibility,missingDisposition,owner
ItemSystemSnapshot.schemaVersion,source-envelope,ordinal-copy,required,Invalid,Item
ItemSystemSnapshot.isValid,source-envelope,copy,required,Invalid,Item
ItemSystemSnapshot.validationErrors,source-envelope,stable-copy,required,Invalid,Item
ItemSystemSnapshot.boardSize,BuildFacts.BoardSize,copy,required,Invalid,Item
ItemSystemSnapshot.eyeCell,BuildFacts.BaselineEyeCell,x-y-copy,required,Invalid,Item
catalogItems.itemId,join-key,ordinal-copy,required,Invalid,Item
catalogItems.ShapeCells,PlacedItem.ShapeCells,x-y-copy,required,Invalid,Item
placements.placementId,PlacedItem.PlacementId,ordinal-copy,required,Invalid,Item
placements.itemId,PlacedItem.ItemId,ordinal-copy,required,Invalid,Item
placements.anchorCell,PlacedItem.AnchorCell,x-y-copy,required,Invalid,Item
placements.rotation,PlacedItem.Rotation,copy,required,Invalid,Item
placements.OccupiedCells,PlacedItem.OccupiedCells,x-y-copy,required,Invalid,Item
placements.coreCellWorld,PlacedItem.CoreCellWorld,x-y-copy,required,Invalid,Item
placements.isLit,PlacedItem.IsLit,copy-unchanged,required,Invalid,Item
placements.isCountedInBuild,PlacedItem.IsCountedInBuild,copy-unchanged,required,Invalid,Item
binding.schemaId,source-envelope,ordinal-copy,ordinary-only,Invalid,IF01
binding.status,result-status,truth-table,ordinary-only,Unknown-or-Invalid,IF01
binding.isValid,result-status,consistency-check,ordinary-only,Unknown-or-Invalid,IF01
binding.Bindings.itemInstanceId,diagnostic-join,ordinal-identity,ordinary-only,Unknown-or-Invalid,IF01
binding.Bindings.placementId,placement-join,ordinal-identity,ordinary-only,Unknown-or-Invalid,IF01
binding.Bindings.baseItemId,itemId-cross-check,ordinal-equality,ordinary-only,Invalid,IF01
binding.ValidationErrors,result-issues,stable-copy,when-present,Unknown-or-Invalid,IF01
binding.canonicalSignature,canonical-input,exact-copy,when-present,Unknown-or-Invalid,IF01
I031.placementId,PlacedItem.PlacementId,copy,no-binding,Invalid-if-bound,Item
I031.itemId,PlacedItem.ItemId,copy-I031,no-binding,Invalid-if-bound,Item
I031.isLit,PlacedItem.IsLit,copy-unchanged,no-binding,Invalid-if-structural,Item
I031.isCountedInBuild,PlacedItem.IsCountedInBuild,copy-unchanged,no-binding,Invalid-if-structural,Item
projection.status,Result.Status,invalid-priority,output,n-a,Adapter
projection.completeness,Result.BuildFactsCompleteness,status-derived,output,n-a,Adapter
projection.facts,Result.BuildFacts,defensive-copy,output,n-a,N01C
projection.issues,Result.Issues,defensive-stable-copy,output,n-a,Adapter
projection.signature,Result.CanonicalSignature,ordinal-invariant-sha256,output,n-a,Adapter
