category,key,value,disposition
schema,schemaId,LayoutResilienceItemFactProjectionAdapter.v1,exact
schema,schemaVersion,1,exact
status,Complete,1,named
status,Unknown,2,named
status,Invalid,3,named
source,item.schemaVersion,ItemSystemSnapshot.v1,ordinal-exact
source,item.isValid,true,required
source,item.validationErrors,empty,required
source,item.boardSize,positive,required
source,item.eyeCell,in-bounds,required
source,item.catalogItems,public-only,eligible
source,item.placements,public-only,eligible
source,binding.schemaId,ItemInstancePlacementBindingContractSnapshot.v1,ordinal-exact
source,binding.status,Valid-or-Unknown-or-Invalid,explicit
source,binding.isValid,status-consistent,required
source,binding.Bindings,public-only,eligible
source,binding.ValidationErrors,public-only,eligible
source,binding.canonicalSignature,covered,required
mapping,boardSize,BuildFacts.BoardSize,copy
mapping,eyeCell,BuildFacts.BaselineEyeCell,copy
mapping,placementId,PlacedItem.PlacementId,copy
mapping,itemId,PlacedItem.ItemId,copy
mapping,anchorCell,PlacedItem.AnchorCell,copy
mapping,rotation,PlacedItem.Rotation,copy
mapping,catalog.ShapeCells,PlacedItem.ShapeCells,copy
mapping,OccupiedCells,PlacedItem.OccupiedCells,copy
mapping,coreCellWorld,PlacedItem.CoreCellWorld,copy
mapping,isLit,PlacedItem.IsLit,copy
mapping,isCountedInBuild,PlacedItem.IsCountedInBuild,copy
identity,ordinary-placement,exactly-one-binding,required
identity,itemInstanceId,non-empty-unique,diagnostic-join-only
identity,placementId,non-empty-unique,ordinal
identity,baseItemId,equals-placement-itemId,ordinal
identity,I031,no-ordinary-itemInstanceId,required
identity,I031-isLit,source-value,copy-unchanged
identity,I031-isCountedInBuild,source-value,copy-unchanged
payload,Complete,complete-plus-nonnull,zero-to-many-rows
payload,Unknown,incomplete-plus-safe-payload-or-null,no-defaults
payload,Invalid,incomplete-plus-null,invalid-priority
validation,ITEM_SOURCE_MISSING,Unknown,no-payload
validation,ITEM_SCHEMA_MISMATCH,Invalid,no-payload
validation,ITEM_SOURCE_INVALID,Invalid,no-payload
validation,BINDING_SOURCE_MISSING,Unknown,safe-payload
validation,BINDING_SOURCE_UNKNOWN,Unknown,safe-payload
validation,BINDING_SOURCE_INVALID,Invalid,no-payload
validation,BINDING_ITEM_INSTANCE_ID_DUPLICATE,Invalid,no-payload
validation,BINDING_PLACEMENT_ID_DUPLICATE,Invalid,no-payload
validation,ORDINARY_PLACEMENT_BINDING_MISSING,Unknown,safe-payload
validation,BINDING_PLACEMENT_ORPHAN,Unknown,safe-payload
validation,BINDING_BASE_ITEM_ID_MISMATCH,Invalid,no-payload
validation,I031_ORDINARY_BINDING_FORBIDDEN,Invalid,no-payload
validation,N01C_BUILD_FACTS_INVALID,Invalid,no-payload
canonical,sorting,Ordinal,stable
canonical,integers,InvariantCulture,stable
canonical,booleans,true-or-false,stable
canonical,format,sha256-plus-64-lowerhex,exact
boundary,N01C-validator,validation-only,allowed
boundary,N01C-evaluator,zero-calls,forbidden
boundary,pressure,null-plus-Incomplete,validation-envelope-only
boundary,requirement-readiness,zero,forbidden
boundary,BP-score-threshold,zero,forbidden
