caseId,applicability,buildCompleteness,pressureCompleteness,pressureKind,expectedState,violatedClauses,fixtureOnly
dev_layout_case_01_safe_pollution,Applicable,Complete,Complete,PollutedCellMask,KnownTrue,,true
dev_layout_case_02_counted_cell_unusable,Applicable,Complete,Complete,PollutedCellMask,KnownFalse,CountedPlacementCellsUsable,true
dev_layout_case_03_eye_relocated_connected,Applicable,Complete,Complete,EyeRelocationOrDisruption,KnownTrue,,true
dev_layout_case_04_connection_cut,Applicable,Complete,Complete,StructuralConnectionCut,KnownFalse,EyeToCountedCoreStructurallyConnected,true
dev_layout_case_05_empty_counted_required_present,Applicable,Complete,Complete,PollutedCellMask,KnownFalse,CountedLayoutPresent,true
dev_layout_case_06_empty_counted_vacuous_usable,Applicable,Complete,Complete,PollutedCellMask,KnownTrue,,true
dev_layout_case_07_applicability_unknown,Unknown,Complete,Complete,PollutedCellMask,Unknown,,true
dev_layout_case_08_build_incomplete,Applicable,Incomplete,Complete,PollutedCellMask,Unknown,,true
dev_layout_case_09_pressure_incomplete,Applicable,Complete,Incomplete,Incomplete,Unknown,,true
dev_layout_case_10_not_applicable,NotApplicable,NotRequired,NotRequired,NotRequired,NotApplicable,,true

