trayOrder,reportGroup,itemId,displayName,itemFamily,baseItemId,tier,relationshipToBase,shapeId,shapeDisplayName,occupiedCellCount,primaryCategory,categoryIds,statProfileId,attack,guard,spirit,control,shieldBreak,cleanse,manaGainPerTick,manaCostPerCast,castIntervalSeconds,statTag,identityDevOnly,identityIsEnabled,sandboxRosterDevOnly,sandboxRosterEnabled,identitySourceScope
1,v04_advanced_or_new_mechanic_item,preview_stone_core,炉芯石,furnace_core,,core,new_mechanic,Square4,方四格,4,core,core;test/devOnly,stat_stone_core_square_4,5,6,6,1,2,0,4,7,3,core_square,True,False,True,False,buildsandbox_devonly_preview
2,v04_advanced_or_new_mechanic_item,preview_soul_seal,镇魂法印,soul_suppress_seal,seal_basic,core,advanced_variant,Square4,方四格,4,core,core;artifact;test/devOnly,stat_soul_seal_square_4,3,6,4,7,1,3,2,7,2.8,soul_seal_core_square,True,False,True,False,buildsandbox_devonly_preview
3,v04_advanced_or_new_mechanic_item,preview_taomu_sword,桃木剑,peach_wood,peach_wood_basic,advanced,advanced_variant,vertical_3,竖三格,3,advanced,advanced;artifact;test/devOnly,stat_taomu_sword_vertical_3,8,5,2,1,4,2,1,9,2.6,taomu_sword_vertical_3,True,False,True,False,buildsandbox_devonly_preview
4,v04_advanced_or_new_mechanic_item,preview_cleanse_corner,净化折符,purify_talisman,purify_talisman_basic,advanced,advanced_variant,Corner3,拐角三格,3,advanced,advanced;support;test/devOnly,stat_cleanse_corner_3,2,3,4,4,0,6,2,5,2.8,cleanse_corner,True,False,True,False,buildsandbox_devonly_preview
5,v04_advanced_or_new_mechanic_item,preview_old_bell,镇邪铃,exorcism_bell,exorcism_bell_basic,advanced,advanced_variant,Corner3,拐角三格,3,advanced,advanced;artifact;test/devOnly,stat_old_bell_corner_3,3,4,2,6,1,3,2,6,2.6,old_bell_control_corner,True,False,True,False,buildsandbox_devonly_preview
6,v04_advanced_or_new_mechanic_item,preview_x2_wood_talisman,护阵木牌,guardian_ward,shield_talisman_basic,support,support_variant,Vertical2,竖二格,2,support,support;test/devOnly,stat_guard_wood_vertical_2,2,6,3,1,1,0,2,4,2.4,guard_ward_vertical,True,False,True,False,buildsandbox_devonly_preview
7,v04_advanced_or_new_mechanic_item,preview_guard_wood,守护木牌,guardian_ward,shield_talisman_basic,support,support_variant,Vertical2,竖二格,2,support,support;artifact;test/devOnly,stat_guard_wood_vertical_2,2,6,3,1,1,0,2,4,2.4,guard_ward_vertical,True,False,True,False,buildsandbox_devonly_preview
8,v04_advanced_or_new_mechanic_item,preview_energy_incense,醒符香,awakening_incense,,support,new_mechanic,Vertical2,竖二格,2,support,support;test/devOnly,stat_energy_incense_vertical_2,1,1,7,0,0,0,8,0,1,energy_vertical,True,False,True,False,buildsandbox_devonly_preview
9,v04_advanced_or_new_mechanic_item,preview_fire_talisman,炽火符,fire_talisman,fire_talisman_basic,advanced,advanced_variant,Single1,单格,1,advanced,advanced;test/devOnly,stat_fire_talisman_single_1,6,0,3,0,1,0,1,6,1.8,fire_damage_single,True,False,True,False,buildsandbox_devonly_preview
10,v04_advanced_or_new_mechanic_item,preview_thunder_sword,雷引剑符,thunder_talisman,thunder_talisman_basic,advanced,advanced_variant,Single1,单格,1,advanced,advanced;artifact;test/devOnly,stat_thunder_sword_single_1,7,1,3,1,5,0,1,8,2.1,thunder_break_single,True,False,True,False,buildsandbox_devonly_preview
11,v02_v03_basic_item,fire_talisman_basic,火符,fire_talisman,fire_talisman_basic,basic,base,Single1,单格,1,basic,basic,stat_v02_fire_talisman_single_1,12,0,0,0,0,0,0,10,2.5,v02_fire_damage_single,False,True,True,False,v02_v03_formal_reference_read_only
12,v02_v03_basic_item,thunder_talisman_basic,雷符,thunder_talisman,thunder_talisman_basic,basic,base,Single1,单格,1,basic,basic,stat_v02_thunder_talisman_single_1,18,0,0,0,8,0,0,16,3,v02_thunder_shieldbreak_single,False,True,True,False,v02_v03_formal_reference_read_only
13,v02_v03_basic_item,shield_talisman_basic,护身符,guardian_ward,shield_talisman_basic,basic,base,Single1,单格,1,basic,basic;support,stat_v02_shield_talisman_single_1,0,18,0,0,0,0,0,8,5,v02_guard_single,False,True,True,False,v02_v03_formal_reference_read_only
14,v02_v03_basic_item,qi_pill_basic,丹药,pill,qi_pill_basic,basic,base,Single1,单格,1,basic,basic;support,stat_v02_qi_pill_single_1,0,0,20,0,0,3,0,12,8,v02_heal_single,False,True,True,False,v02_v03_formal_reference_read_only
15,v02_v03_basic_item,spirit_stone_basic,聚灵石,spirit_stone,spirit_stone_basic,basic,base,Single1,单格,1,basic,basic;support,stat_v02_spirit_stone_single_1,0,0,12,0,0,0,12,0,2,v02_energy_source_single,False,True,True,False,v02_v03_formal_reference_read_only
16,v02_v03_basic_item,sword_pill_basic,剑丸,sword_pill,sword_pill_basic,basic,base,Single1,单格,1,basic,basic;artifact,stat_v02_sword_pill_single_1,8,0,0,0,2,0,0,8,2.2,v02_sword_burst_single,False,True,True,False,v02_v03_formal_reference_read_only
17,v02_v03_basic_item,chain_thunder_talisman_basic,连锁雷符,chain_thunder_talisman,chain_thunder_talisman_basic,basic,base,Single1,单格,1,basic,basic,stat_v02_chain_thunder_single_1,14,0,0,0,4,0,0,18,3.8,v02_chain_thunder_single,False,True,True,False,v02_v03_formal_reference_read_only
18,v02_v03_basic_item,purify_talisman_basic,净化符,purify_talisman,purify_talisman_basic,basic,base,Single1,单格,1,basic,basic;support,stat_v02_purify_talisman_single_1,0,2,0,0,0,8,0,8,6,v02_cleanse_single,False,True,True,False,v02_v03_formal_reference_read_only
19,v02_v03_basic_item,soul_suppress_talisman_basic,镇魂符,soul_suppress_talisman,soul_suppress_talisman_basic,basic,base,Single1,单格,1,basic,basic;support,stat_v02_soul_suppress_single_1,0,4,0,10,0,2,0,10,4.5,v02_anti_ghost_single,False,True,True,False,v02_v03_formal_reference_read_only
20,v02_v03_basic_item,seal_basic,法印,seal,seal_basic,basic,base,Single1,单格,1,basic,basic;artifact,stat_v02_seal_single_1,0,1,1,0,0,0,0,0,2,v02_enhance_single,False,True,True,False,v02_v03_formal_reference_read_only
21,v02_v03_basic_item,water_talisman_basic,水符,water_talisman,water_talisman_basic,basic,base,Single1,单格,1,basic,basic;support,stat_v02_water_talisman_single_1,0,0,10,0,0,4,0,12,4,v02_water_heal_single,False,True,True,False,v02_v03_formal_reference_read_only
22,v02_v03_basic_item,exorcism_bell_basic,驱邪铃,exorcism_bell,exorcism_bell_basic,basic,base,Single1,单格,1,basic,basic;artifact,stat_v02_exorcism_bell_single_1,12,0,0,4,0,2,0,10,4,v02_exorcism_bell_single,False,True,True,False,v02_v03_formal_reference_read_only
23,v02_v03_basic_item,peach_wood_basic,桃木牌,peach_wood,peach_wood_basic,basic,base,Single1,单格,1,basic,basic;artifact,stat_v02_peach_wood_single_1,0,2,0,4,0,1,0,0,2,v02_peach_wood_single,False,True,True,False,v02_v03_formal_reference_read_only
