applicationSequence,battleTick,sourceBaseItemId,damage,shellDamage,hpDamage,enemyHp,enemyShell,playerHp,basicResolved,accepted
1,1500,"I007",29,29,0,980,171,9999,0,true
2,3000,"I008",42,42,0,980,129,9999,0,true
3,4500,"I009",53,53,0,980,76,9999,0,true
4,6000,"I010",46,46,0,980,30,9999,0,true
5,7500,"I011",55,30,25,955,0,9987,1,true
6,9000,"I012",76,0,76,879,0,9987,1,true
7,10500,"I007",29,0,29,850,0,9987,1,true
8,12000,"I008",42,0,42,808,0,9987,1,true
9,13500,"I009",53,53,0,808,147,9975,2,true
10,15000,"I010",46,46,0,808,131,9975,2,true
11,16500,"I011",55,55,0,808,76,9975,2,true
12,18000,"I012",76,76,0,808,0,9975,2,true
13,19500,"I007",29,0,29,779,0,9963,3,true
14,21000,"I008",42,0,42,737,0,9963,3,true
15,22500,"I009",53,0,53,684,0,9963,3,true
16,24000,"I010",46,46,0,684,154,9963,3,true
17,25500,"I011",55,55,0,684,99,9963,3,true
18,27000,"I012",76,76,0,684,23,9939,3,true
19,28500,"I007",29,23,6,678,0,9927,4,true
20,30000,"I008",42,0,42,636,0,9927,4,true
21,31500,"I009",53,0,53,583,0,9915,5,true
22,33000,"I010",46,0,46,537,0,9915,5,true
23,34500,"I011",55,55,0,537,145,9915,5,true
24,36000,"I012",76,76,0,537,69,9915,5,true
25,37500,"I007",29,29,0,537,40,9879,5,true
26,39000,"I008",42,40,2,535,0,9867,6,true
27,40500,"I009",53,0,53,482,0,9867,6,true
28,42000,"I010",46,0,46,436,0,9867,6,true
29,43500,"I011",55,0,55,381,0,9855,7,true
30,45000,"I012",76,76,0,381,124,9855,7,true
31,46500,"I007",29,29,0,381,125,9855,7,true
32,48000,"I008",42,42,0,381,83,9855,7,true
33,49500,"I009",53,53,0,381,30,9843,8,true
34,51000,"I010",46,30,16,365,0,9843,8,true
35,52500,"I011",55,0,55,310,0,9843,8,true
36,54000,"I012",76,0,76,234,0,9843,8,true
37,55500,"I007",29,0,29,205,0,9831,9,true
38,57000,"I008",42,42,0,205,158,9831,9,true
39,58500,"I009",53,53,0,205,105,9831,9,true
40,60000,"I010",46,46,0,205,59,9807,9,true
41,61500,"I011",55,55,0,205,4,9795,10,true
42,63000,"I012",76,4,72,133,0,9795,10,true
43,64500,"I007",29,0,29,104,0,9795,10,true
44,66000,"I008",42,0,42,62,0,9795,10,true
45,67500,"I009",53,0,53,9,0,9783,11,true
46,69000,"I010",46,46,0,9,154,9783,11,true
47,70500,"I011",55,55,0,9,99,9783,11,true
48,72000,"I012",76,76,0,9,23,9747,11,true
49,73500,"I007",29,23,6,3,0,9735,12,true
50,75000,"I008",42,0,3,0,0,9735,12,true
