objectPath,reuseStatus,currentFingerprint,authoredRgbOrRectOverwritten,persistentDuplicate
"FloatingTextAnchors",REUSED,"21D2E8FD4A1E68D93B53B99BC1EC19E8E69BFF12664F20E6B1FCDD64D126014B",false,false
"DamageDealtAnchor",REUSED,"6AE5CA2516A7882B6C544508771CB9D0C82C01489882D5AF0DAA9EFA2F28D0FB",false,false
"DamageTakenAnchor",REUSED,"EF38B89D19AE081B519949F137CFEC83770B3EDEF4C33BCFB14A7E751398393D",false,false
"StatusDamageAnchor",REUSED,"33B0FEFE7C6AAE02B2C31F036AC8F56FD81C61FC4C7BE2DA7450C0DD4AEB49C8",false,false
"ShieldBreakAnchor",REUSED,"9208F7F16B77CCE85B5A06C98937AF5C6F2255B0A061A13B46F3A3BAEFC5960E",false,false
"MechanicFloatingText",REUSED,"595C4A5C70708A29D4A608B43D2E578CECAAF1D87309909B7F2A6F6621A186EA",false,false
"HPText",REUSED,"98B3C6CCCB40BA1B17777D76DE84A4FAA934BF54B4C4B120F974BC0837058BEC",false,false
"PlayerHPBar",REUSED,"554F2A4A87C8E5813AA5B50172A2940AEA7FF6137FAAF7FFB40DCE8648D80B1D",false,false
"PlayerHitFeedback",REUSED,"202D75852C88D90EFF5E98BDA8CE433CAFCBEDEE3EEB76E377BCD87EFFF1B7C6",false,false
"Shougunu_1",REUSED,"E5021CAF4F81253FCEDA13531179BE4C99CA03A091B2B37851DE77B80BED4BAB",false,false
