scenarioId,migrationRouteId,rowStatus,p2Status,p3Status,p4Status,p4ResultValidated,predicateState,actualResult
S01_EMPTY_LAYOUT,route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S01_EMPTY_LAYOUT,route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S01_EMPTY_LAYOUT,route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S01_EMPTY_LAYOUT,route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S02_FORMATION_CONNECTED,route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownTrue,PASS
S02_FORMATION_CONNECTED,route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S02_FORMATION_CONNECTED,route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S02_FORMATION_CONNECTED,route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S03_FORMATION_CUT,route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S03_FORMATION_CUT,route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S03_FORMATION_CUT,route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1,Complete,Complete,Complete,Complete,true,KnownTrue,PASS
S03_FORMATION_CUT,route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S04_AVOID_POLLUTED,route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownTrue,PASS
S04_AVOID_POLLUTED,route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S04_AVOID_POLLUTED,route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1,Complete,Complete,Complete,Complete,true,KnownTrue,PASS
S04_AVOID_POLLUTED,route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownTrue,PASS
S05_PRESSURE_POLLUTED,route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownTrue,PASS
S05_PRESSURE_POLLUTED,route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S05_PRESSURE_POLLUTED,route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S05_PRESSURE_POLLUTED,route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Complete,Complete,Complete,Complete,true,KnownFalse,PASS
S06_BINDING_MISSING,route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Unknown,Complete,Unknown,Unknown,true,Unknown,PASS
S06_BINDING_MISSING,route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1,Unknown,Complete,Unknown,Unknown,true,Unknown,PASS
S06_BINDING_MISSING,route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1,Unknown,Complete,Unknown,Unknown,true,Unknown,PASS
S06_BINDING_MISSING,route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1,Unknown,Complete,Unknown,Unknown,true,Unknown,PASS
