key,value,evidence
"classification","COMPLEX_GUARDED_ONCE","e1885df02293773ec9eae4bf3eaa1b632d1261102675418f755e957cb444ea1a"
"itemSchema","ItemCombatEffectRequestSnapshot.v1","sha256:e1483fb754e891636cbc192ef9703f36403d466128439f8debd3e2dc12d29b37"
"enemySchema","ShougunuPhase1RuntimeAndActionContract.v1","sha256:ef04c5618402b892be9051c9a6400ed119afd37a344cae100959e6fc9ef44188"
"pulseTicks","1500","Battle-owned deterministic clock"
"acceptedApplications","50","Nominal trace"
"finalTick","75000","Nominal trace"
"playerFixture","9999/9999;not_invulnerable","BattleSandboxPlayerCombatantSnapshot.v1"
"itemTruth.I007","True/True/True","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage"
"itemTruth.I008","True/True/True","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage"
"itemTruth.I009","True/True/True","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage"
"itemTruth.I010","True/True/True","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage"
"itemTruth.I011","True/True/False","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage"
"itemTruth.I012","True/True/True","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage"
"sceneTouched","false","P2 data-only"
"visualTouched","false","P2 data-only"
"formalRouteTouched","false","devOnly"
"saveTouched","false","static scan"
"rewardTouched","false","static scan"
"autoCombatTouched","false","static scan"
