displayEventId,ledgerEventId,battleTick,resetGeneration,sequence,sourceKind,sourceId,targetActorId,channel,amount,messageKey,priority,aggregationKey,anchorRoute,colorPolicy,playerVisible,developerOnly
"battle.display.g1.0001","battle.ledger.g1.0001",1500,1,1,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",29,"battle.item.enemy_shell_damage",60,"wb_i007_orange_404310007.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0002","battle.ledger.g1.0002",3000,1,2,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",42,"battle.item.enemy_shell_damage",60,"wb_i008_orange_404310008.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0003","battle.ledger.g1.0003",4500,1,3,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",53,"battle.item.enemy_shell_damage",60,"wb_i009_orange_404310009.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0004","battle.ledger.g1.0004",6000,1,4,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",46,"battle.item.enemy_shell_damage",60,"wb_i010_orange_404310010.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0005","battle.ledger.g1.0005",6000,1,5,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.1","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0006","battle.ledger.g1.0007",6700,1,6,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0007","battle.ledger.g1.0006",6700,1,7,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.1","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0008","battle.ledger.g1.0008",7500,1,8,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",30,"battle.item.enemy_shell_damage",60,"wb_i011_orange_404310011.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0009","battle.ledger.g1.0008",7500,1,9,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",25,"battle.item.enemy_hp_damage",70,"wb_i011_orange_404310011.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0010","battle.ledger.g1.0008",7500,1,10,"Enemy","battle.application.g1.005","shougunu.phase1.dev.enemy","EnemyShellBreak",0,"battle.enemy.shell_break",95,"cue.1.8","ShieldBreakAnchor","enemy.mechanic",true,false
