applicationSequence,battleTick,sourceBaseItemId,sourceItemInstanceId,requestId,resolvedPreMitigationDamageUnits,shellDamageApplied,hpDamageApplied,enemyLifecycle,enemyCurrentHp,enemyCurrentShell,basicEarned,basicResolved,basicDebt,thresholdOccurrences,activeActionId,activeActionStatus,playerCurrentHp,displayEventCount,accepted,reason
1,1500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,29,0,"LayeredShellOn",980,171,0,0,0,"","","",9999,1,true,""
2,3000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,42,0,"LayeredShellOn",980,129,0,0,0,"","","",9999,2,true,""
3,4500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,53,0,"LayeredShellOn",980,76,0,0,0,"","","",9999,3,true,""
4,6000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,46,0,"LayeredShellOn",980,30,1,0,1,"","shougunu.phase1.basic_attack","Windup",9999,5,true,""
5,7500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,30,25,"CoreExposed",955,0,1,1,0,"","","",9987,11,true,""
6,9000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,0,76,"CoreExposed",879,0,1,1,0,"S1-A:Pending","","",9987,12,true,""
7,10500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,0,29,"CoreExposed",850,0,1,1,0,"S1-A:Pending","","",9987,13,true,""
8,12000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,0,42,"CoreExposed",808,0,2,1,1,"S1-A:Pending","shougunu.phase1.basic_attack","Windup",9987,15,true,""
9,13500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,53,0,"LayeredShellOn",808,147,2,2,0,"S1-A:Pending","shougunu.phase1.skill1.shell_repair","Windup",9975,20,true,""
10,15000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,46,0,"LayeredShellOn",808,131,2,2,0,"S1-A:Resolved","shougunu.phase1.skill1.shell_repair","Recovering",9975,22,true,""
11,16500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,55,0,"LayeredShellOn",808,76,2,2,0,"S1-A:Resolved","","",9975,23,true,""
12,18000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,76,0,"CoreExposed",808,0,3,2,1,"S1-A:Resolved","","",9975,26,true,""
13,19500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,0,29,"CoreExposed",779,0,3,3,0,"S1-A:Resolved","shougunu.phase1.basic_attack","Recovering",9963,30,true,""
14,21000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,0,42,"CoreExposed",737,0,3,3,0,"S1-A:Resolved","","",9963,31,true,""
15,22500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,0,53,"CoreExposed",684,0,3,3,0,"S1-A:Resolved;S2-A:Pending","","",9963,32,true,""
