battleTick,enemyEffectId,actionPatternId,requestedDamage,shieldDamageApplied,hpDamageApplied,beforeHp,afterHp,defeated,decision
6700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9999,9987,false,"Accepted"
12700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9987,9975,false,"Accepted"
19300,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9975,9963,false,"Accepted"
25700,"battle.effect_request.rope_heavy_strike","shougunu.phase1.skill2.rope_heavy_strike",24,0,24,9963,9939,false,"Accepted"
27301,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9939,9927,false,"Accepted"
30700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9927,9915,false,"Accepted"
37000,"battle.effect_request.ground_seal_area_burst","shougunu.phase1.skill3.ground_seal_burst",36,0,36,9915,9879,false,"Accepted"
38901,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9879,9867,false,"Accepted"
42700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9867,9855,false,"Accepted"
48700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9855,9843,false,"Accepted"
54700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9843,9831,false,"Accepted"
58700,"battle.effect_request.rope_heavy_strike","shougunu.phase1.skill2.rope_heavy_strike",24,0,24,9831,9807,false,"Accepted"
60700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9807,9795,false,"Accepted"
66700,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9795,9783,false,"Accepted"
71500,"battle.effect_request.ground_seal_area_burst","shougunu.phase1.skill3.ground_seal_burst",36,0,36,9783,9747,false,"Accepted"
73401,"battle.effect_request.direct_player_damage","shougunu.phase1.basic_attack",12,0,12,9747,9735,false,"Accepted"
