"fixtureId","scenario","expectedReason","actualReason","resultLifecycle","status"
"NEG-001","duplicate-event-id","APPLICATION_EVENT_DUPLICATE","APPLICATION_EVENT_DUPLICATE","LayeredShellOn","PASS"
"NEG-002","stale-sequence","APPLICATION_SEQUENCE_NOT_INCREASING","APPLICATION_SEQUENCE_NOT_INCREASING","LayeredShellOn","PASS"
"NEG-003","wrong-generation","RESET_GENERATION_MISMATCH","RESET_GENERATION_MISMATCH","LayeredShellOn","PASS"
"NEG-004","wrong-target","ENEMY_INSTANCE_MISMATCH","ENEMY_INSTANCE_MISMATCH","LayeredShellOn","PASS"
"NEG-005","ledger-rejected","BATTLE_LEDGER_REJECTED","BATTLE_LEDGER_REJECTED","LayeredShellOn","PASS"
"NEG-006","zero-delta","ZERO_APPLIED_DAMAGE","ZERO_APPLIED_DAMAGE","LayeredShellOn","PASS"
"NEG-007","negative-delta-invalid","DAMAGE_NEGATIVE","DAMAGE_NEGATIVE","Invalid","PASS"
"NEG-008","cross-channel-before-shell-break-invalid","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","Invalid","PASS"
"NEG-009","shell-overflow-invalid","SHELL_DAMAGE_EXCEEDS_STATE","SHELL_DAMAGE_EXCEEDS_STATE","Invalid","PASS"
"NEG-010","shell-channel-during-core-invalid","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","Invalid","PASS"
"NEG-011","mandatory-threshold-before-defeat","TERMINAL_ORDERING_VIOLATION","TERMINAL_ORDERING_VIOLATION","Invalid","PASS"
"NEG-012","reset-generation-not-increasing","RESET_GENERATION_NOT_INCREASING","RESET_GENERATION_NOT_INCREASING","LayeredShellOn","PASS"
