"rowId","battleTick","rowKind","applicationEventId","applicationSequence","nominalPulseMagnitude","shellDamageApplied","hpDamageApplied","lifecycle","currentHp","shellLayerIndex","currentShell","basicEarned","basicResolved","pendingThresholdCount","latestCue","accepted","rejectionReason"
"NOM-001","1500","BattleApplication","nominal.application.001","1","29","29","0","LayeredShellOn","980","1","171","0","0","0","ShellHit","true",""
"NOM-002","3000","BattleApplication","nominal.application.002","2","42","42","0","LayeredShellOn","980","1","129","0","0","0","ShellHit","true",""
"NOM-003","4500","BattleApplication","nominal.application.003","3","53","53","0","LayeredShellOn","980","1","76","0","0","0","ShellHit","true",""
"NOM-004","6000","BattleApplication","nominal.application.004","4","46","46","0","LayeredShellOn","980","1","30","1","0","0","ShellHit","true",""
"NOM-005","7500","BattleApplication","nominal.application.005","5","55","30","25","CoreExposed","955","1","0","1","1","0","Hit","true",""
"NOM-006","9000","BattleApplication","nominal.application.006","6","76","0","76","CoreExposed","879","1","0","1","1","1","Hit","true",""
"NOM-007","10500","BattleApplication","nominal.application.007","7","29","0","29","CoreExposed","850","1","0","1","1","1","Hit","true",""
"NOM-008","12000","BattleApplication","nominal.application.008","8","42","0","42","CoreExposed","808","1","0","2","1","1","Hit","true",""
"NOM-009","15000","BattleApplication","nominal.application.009","9","53","53","0","LayeredShellOn","808","2","147","2","2","1","ShellHit","true",""
"NOM-010","16500","BattleApplication","nominal.application.010","10","46","46","0","LayeredShellOn","808","2","131","2","2","0","ShellHit","true",""
"NOM-011","18000","BattleApplication","nominal.application.011","11","55","55","0","LayeredShellOn","808","2","76","2","2","0","ShellHit","true",""
"NOM-012","18000","BattleApplication","nominal.application.012","12","76","76","0","CoreExposed","808","2","0","3","2","0","CoreExpose","true",""
"NOM-013","19500","BattleApplication","nominal.application.013","13","29","0","29","CoreExposed","779","2","0","3","3","0","Hit","true",""
"NOM-014","21000","BattleApplication","nominal.application.014","14","42","0","42","CoreExposed","737","2","0","3","3","0","Hit","true",""
"NOM-015","22500","BattleApplication","nominal.application.015","15","53","0","53","CoreExposed","684","2","0","3","3","1","Hit","true",""
"NOM-016","25500","BattleApplication","nominal.application.016","16","46","46","0","LayeredShellOn","684","3","154","4","3","1","ShellHit","true",""
"NOM-017","26500","BattleApplication","nominal.application.017","17","55","55","0","LayeredShellOn","684","3","99","4","3","0","ShellHit","true",""
"NOM-018","27500","BattleApplication","nominal.application.018","18","76","76","0","LayeredShellOn","684","3","23","4","4","0","ShellHit","true",""
"NOM-019","28500","BattleApplication","nominal.application.019","19","29","23","6","CoreExposed","678","3","0","4","4","0","Hit","true",""
"NOM-020","30000","BattleApplication","nominal.application.020","20","42","0","42","CoreExposed","636","3","0","5","4","0","Hit","true",""
