"fieldName","fullRuntime","presentationSafe","reason"
"enemyInstanceId","true","true","player-observable presentation projection"
"contentId","true","true","player-observable presentation projection"
"presentationKey","true","true","player-observable presentation projection"
"resetGeneration","true","true","player-observable presentation projection"
"revision","true","true","player-observable presentation projection"
"lifecycle","true","true","player-observable presentation projection"
"maxHp","true","true","player-observable presentation projection"
"currentHp","true","true","player-observable presentation projection"
"shellLayerIndex","true","true","player-observable presentation projection"
"maxSequentialShellLayers","true","true","player-observable presentation projection"
"shellLayerMax","true","true","player-observable presentation projection"
"currentShell","true","true","player-observable presentation projection"
"targetable","true","true","player-observable presentation projection"
"vulnerable","true","true","player-observable presentation projection"
"coreExposeActive","true","true","player-observable presentation projection"
"coreExposeRemainingTicks","true","true","player-observable presentation projection"
"latestCue","true","true","player-observable presentation projection"
"errors","true","true","player-observable presentation projection"
"presentationSafeCanonicalSignature","true","true","player-observable presentation projection"
"phaseId","true","false","internal reducer, queue, dedupe or diagnostics state"
"devOnly","true","false","internal reducer, queue, dedupe or diagnostics state"
"isEnabled","true","false","internal reducer, queue, dedupe or diagnostics state"
"entersFormalFlow","true","false","internal reducer, queue, dedupe or diagnostics state"
"runtimeBoundToBattle","true","false","internal reducer, queue, dedupe or diagnostics state"
"coreExposeStartTick","true","false","internal reducer, queue, dedupe or diagnostics state"
"coreExposeEndTick","true","false","internal reducer, queue, dedupe or diagnostics state"
"recoveryAvailable","true","false","internal reducer, queue, dedupe or diagnostics state"
"lastAcceptedBattleTick","true","false","internal reducer, queue, dedupe or diagnostics state"
"lastAcceptedApplicationSequence","true","false","internal reducer, queue, dedupe or diagnostics state"
"acceptedDamageApplicationCount","true","false","internal reducer, queue, dedupe or diagnostics state"
"basicEarnedCount","true","false","internal reducer, queue, dedupe or diagnostics state"
"basicResolvedCount","true","false","internal reducer, queue, dedupe or diagnostics state"
"basicDebt","true","false","internal reducer, queue, dedupe or diagnostics state"
"acceptedApplicationEventIds","true","false","internal reducer, queue, dedupe or diagnostics state"
"thresholdOccurrences","true","false","internal reducer, queue, dedupe or diagnostics state"
"activeAction","true","false","internal reducer, queue, dedupe or diagnostics state"
"cues","true","false","internal reducer, queue, dedupe or diagnostics state"
"developerDiagnostics","true","false","internal reducer, queue, dedupe or diagnostics state"
"canonicalSignature","true","false","internal reducer, queue, dedupe or diagnostics state"
"actionCatalogCanonicalSignature","true","false","internal reducer, queue, dedupe or diagnostics state"
"blindWomanActor","false","false","forbidden or unresolved domain; not authored"
"blindWomanHp","false","false","forbidden or unresolved domain; not authored"
"blindWomanTargetable","false","false","forbidden or unresolved domain; not authored"
"damageTransferTarget","false","false","forbidden or unresolved domain; not authored"
"baD3CopyScope","false","false","forbidden or unresolved domain; not authored"
"baD4FormalForms","false","false","forbidden or unresolved domain; not authored"
