"rowId","section","field","actual","expected","status","notes"
"SPEC-001","identity","schemaId","ShougunuPhase1RuntimeAndActionContract.v1","ShougunuPhase1RuntimeAndActionContract.v1","PASS","immutable schema"
"SPEC-002","identity","contentId","bone_aspect_boss_c1_bone_guard","bone_aspect_boss_c1_bone_guard","PASS","accepted P1 carrier identity"
"SPEC-003","identity","phaseId","bone_aspect.phase.shougunu.phase1","bone_aspect.phase.shougunu.phase1","PASS","Phase1 only"
"SPEC-004","boundary","flags","devOnly=true|isEnabled=false|entersFormalFlow=false|runtimeBoundToBattle=false","devOnly=true|isEnabled=false|entersFormalFlow=false|runtimeBoundToBattle=false","PASS","no formal route binding"
"SPEC-005","tuning","hp","980","980","PASS","initial=max"
"SPEC-006","tuning","shell","200|7","200|7","PASS","sequential shell layers"
"SPEC-007","tuning","coreExpose","6000","6000","PASS","ticks; ticksPerSecond=1000"
"SPEC-008","tuning","skill1Repair","30","30","PASS","current damaged nonzero shell only"
"SPEC-009","debt","basicInterval","4","4","PASS","accepted unique applications only"
"SPEC-010","qa","checkCount","89","89","PASS","all deterministic checks"
"CHECK-baseline.BossArtSurvey","verification","baseline.BossArtSurvey","9|93659d9b894251e73ad85a0d854c8a7c62d0f795c54ca38a5d3bf2065b841dc6","9|93659d9b894251e73ad85a0d854c8a7c62d0f795c54ca38a5d3bf2065b841dc6","PASS","deterministic same-source assertion"
"CHECK-baseline.GapSurvey","verification","baseline.GapSurvey","8|0a79e5e9a40cb8e88d0d25fc0db97972e03452cf3168878df98ed26871d9fca0","8|0a79e5e9a40cb8e88d0d25fc0db97972e03452cf3168878df98ed26871d9fca0","PASS","deterministic same-source assertion"
"CHECK-baseline.P0","verification","baseline.P0","8|2ff9b38ebfba74650be776b2cc0bac362161901a870e2c89145e959cdf4e27c5","8|2ff9b38ebfba74650be776b2cc0bac362161901a870e2c89145e959cdf4e27c5","PASS","deterministic same-source assertion"
"CHECK-baseline.P1","verification","baseline.P1","21|21fbae0ab9dbfcaa65084cb63132cf6674534958a93beb6868113597933da209","21|21fbae0ab9dbfcaa65084cb63132cf6674534958a93beb6868113597933da209","PASS","deterministic same-source assertion"
"CHECK-baseline.Vocabulary","verification","baseline.Vocabulary","17|3e1a95be4d747423e8829939fafd31bb4eafa292c87c1d743f8d9ebe667941cc","17|3e1a95be4d747423e8829939fafd31bb4eafa292c87c1d743f8d9ebe667941cc","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.BuildSandbox","verification","baseline.broad.BuildSandbox","186|eae1e45367a3f970858a4befe0920bee15c350caaf4d0cddb9de363b5238a228","186|eae1e45367a3f970858a4befe0920bee15c350caaf4d0cddb9de363b5238a228","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.BuildSettings","verification","baseline.broad.BuildSettings","1|8acc1a59a38b35b90a92e81fb101ce4377bca9c9300ddee0e235f7efa4fc8197","1|8acc1a59a38b35b90a92e81fb101ce4377bca9c9300ddee0e235f7efa4fc8197","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.Configs","verification","baseline.broad.Configs","121|2383359ab713475d8d85748032965c3188f47c436e3644d40abfb54260807769","121|2383359ab713475d8d85748032965c3188f47c436e3644d40abfb54260807769","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.CrossSystem","verification","baseline.broad.CrossSystem","63|dfd3445869710d3b28e3ddacdca20a7850ea8c0125246599b14e1ed649e1a64d","63|dfd3445869710d3b28e3ddacdca20a7850ea8c0125246599b14e1ed649e1a64d","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.EditorEnemySystem","verification","baseline.broad.EditorEnemySystem","28|8dd2e42698d3bbab13305f27d222c9787590a708473cdeaa8d2a3ffa0d23a817","28|8dd2e42698d3bbab13305f27d222c9787590a708473cdeaa8d2a3ffa0d23a817","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.EnemySystem","verification","baseline.broad.EnemySystem","117|04402d30a62c54e7fd3ed08349c5553a66487eca64b6fe9daa0418fb367b7591","117|04402d30a62c54e7fd3ed08349c5553a66487eca64b6fe9daa0418fb367b7591","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.Governance","verification","baseline.broad.Governance","18|1988a87a8a0a6864807db6c52708d26a326430d94c8945fa63804018c0dc46e3","18|1988a87a8a0a6864807db6c52708d26a326430d94c8945fa63804018c0dc46e3","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.Items","verification","baseline.broad.Items","148|bcc4b21367ecc7e7ccac018581e1eacdaf567a9d5cc9a1662d755a2c4ef4f2d4","141|4b41e4dbede32a14a661f0f985cb1682051c30836b54d811a4c55546652b18e4 OR task-start aggregate unchanged after excluding exact 7-path Item Owner Lease","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.Packages","verification","baseline.broad.Packages","2|11efaaf4e1df1215e977f884d2d5e2c2bdbbbd1e62337b0517f6a0502a929cb6","2|11efaaf4e1df1215e977f884d2d5e2c2bdbbbd1e62337b0517f6a0502a929cb6","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.Prefabs","verification","baseline.broad.Prefabs","5|a0274a939eeed890c98522bde495a37b2f4b533fdcd753bdb2896cf6b5be485e","5|a0274a939eeed890c98522bde495a37b2f4b533fdcd753bdb2896cf6b5be485e","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.ProjectSettings","verification","baseline.broad.ProjectSettings","21|1969814e5ec3983ba426b7d5f19f13de7f480277cb5118a92d06c66b58fcbac7","21|1969814e5ec3983ba426b7d5f19f13de7f480277cb5118a92d06c66b58fcbac7","PASS","deterministic same-source assertion"
