"rowId","rowKind","thresholdId","actionPatternId","basisPoints","triggerTick","triggerSequence","resolved","queueRule","status"
"THR-001","nominal-threshold","S1-A","shougunu.phase1.skill1.shell_repair","9000","9000","1","true","descending threshold FIFO; one trigger per generation","PASS"
"THR-002","nominal-threshold","S2-A","shougunu.phase1.skill2.rope_heavy_strike","7500","22500","2","true","descending threshold FIFO; one trigger per generation","PASS"
"THR-003","nominal-threshold","S3-A","shougunu.phase1.skill3.ground_seal_burst","6000","31500","3","true","descending threshold FIFO; one trigger per generation","PASS"
"THR-004","nominal-threshold","S1-B","shougunu.phase1.skill1.shell_repair","4500","42000","4","true","descending threshold FIFO; one trigger per generation","PASS"
"THR-005","nominal-threshold","S2-B","shougunu.phase1.skill2.rope_heavy_strike","3000","54000","5","true","descending threshold FIFO; one trigger per generation","PASS"
"THR-006","nominal-threshold","S3-B","shougunu.phase1.skill3.ground_seal_burst","1500","63000","6","true","descending threshold FIFO; one trigger per generation","PASS"
"QUEUE-007","queue-rule","","","","","","","pending threshold actions are considered before Basic debt when legal","PASS"
"QUEUE-008","queue-rule","","","","","","","threshold actions remain pending during CoreExposed and Recovering","PASS"
"QUEUE-009","queue-rule","","","","","","","Skill1 remains pending while shell is full or zero","PASS"
"QUEUE-010","queue-rule","","","","","","","Basic becomes legal after the 600-tick CoreExpose reactive guard","PASS"
"QUEUE-011","queue-rule","","","","","","","one action is active at a time","PASS"
"QUEUE-012","queue-rule","","","","","","","Basic debt is consumed only after Battle accepts resolve","PASS"
